Country,year,titles
 China,2013,"440,000"
 United States,2013,"304,912"
 United Kingdom,2011,"184,000"
 Japan,2017,"139,078"
 Russia,2013,"101,981"
 Germany,2013,"93,600"
 India,2013,"90,000"
 Indonesia,2018,"89,000+"
 France,2016,"77,986"
 Iran,2014,"72,871"
 Turkey,2017,"66,890"
 South Korea,2018,"63,476"
 Italy,2013,"61,966"
 Brazil,2012,"57,473"
 Spain,2011,"44,000"
 Australia,2014,"28,234"
 Taiwan,2010,"28,084"
 Argentina,2014,"28,010"
 Vietnam,2009,"24,589"
 Poland,2015,"21,130"
 Canada,1996,"19,900"
 Czech Republic,2011,"18,985"
 Colombia,2017,"17,066"
 Netherlands,2014,"16,502"
 Malaysia,2015,"15,354"
 Romania,2008,"14,984"
 Serbia,2016,"14,833"
 Ukraine,2004,"14,790"
 Hong Kong,2005,"14,603"
 Belgium,1991,"13,913"
 Finland,2006,"13,656"
 Thailand,2009,"13,607"
 Belarus,2009,"12,885"
 Denmark,1996,"12,352"
  Switzerland,2001,"12,156"
 Singapore,2007,"12,000+"
 Hungary,2012,"11,645"
 Norway,2015,"10,204"
 Bulgaria,2017,"10,068"
 Slovakia,2006,"9,400"
 Egypt,2000,"9,022"
 Israel,2013,"8,411"
 Austria,1996,"8,056"
 Portugal,1996,"7,868"
 Mexico,2012,"7,521"
 Greece,2002,"6,826"
 Chile,2012,"5,641"
 South Africa,1995,"5,418"
 Sri Lanka,1996,"4,115"
 Peru,2006,"4,101"
 Sweden,2010,"4,074"
 Algeria,2008,"3,955"
 Estonia,2017,"3,916"
 Saudi Arabia,2014,"2,387"
 Pakistan,2012,"3,811"
 Lebanon,2005,"3,686"
 Myanmar,1993,"3,660"
 New Zealand,2003,"3,600"
 Ecuador,2010,"2,854"
 Afghanistan,1990,"2,795"
 Venezuela,2003,"2,061"
 Luxembourg,2001,"2,000"
 Latvia,1996,"1,965"
 Philippines,1996,"1,507"
 Cuba,2003,"1,488"
 Iceland,2014,"1,402"
 Costa Rica,2003,"1,315"
 Nigeria,1991,"1,314"
 Kazakhstan,1996,"1,226"
 Syria,2004,"1,138"
 Uzbekistan,1996,"1,003"
 Eritrea,2015,970
 Cyprus,1996,930
 Morocco,1996,930
 Tunisia,1996,720
 Dominican Republic,2003,705
 Uruguay,2003,605
 Bolivia,2003,584
 Georgia,2015,"4,173"
 Azerbaijan,1996,542
 Jordan,1996,511
 Panama,2003,506
 Turkmenistan,1994,450
 Guatemala,2003,446
 Kyrgyzstan,1998,420
 Malta,1995,404
 Fiji,1994,401
 Armenia,1996,396
 Paraguay,2003,390
 Albania,1991,390
 Nicaragua,2003,306
 Kenya,1994,300
 United Arab Emirates,1993,293
 Honduras,2003,290
 Uganda,1996,288
 Mongolia,1992,285
 El Salvador,2003,250
 Ethiopia,1991,240
 Zimbabwe,1992,232
  Vatican City,1996,228
 Qatar,1996,209
 Kuwait,1992,196
 Tanzania,1990,172
 Botswana,1991,158
 Tajikistan,1996,132
 Papua New Guinea,1991,122
 Madagascar,1996,119
 Malawi,1996,117
 Palestine,1996,114
 Namibia,1990,106
 Brunei,2009,91
 Laos,1995,88
 Benin,1994,84
 Mauritius,1996,80
 Réunion,1992,69
 Democratic Republic of the Congo,1992,64
 Andorra,1994,57
 Suriname,1996,47
 Guyana,1996,42
 Monaco,1990,41
 Bahrain,1996,40
 Ghana,1992,28
 Libya,1994,26
 Angola,1995,22
 Mali,1995,14
 Gambia,1996,14
 Burkina Faso,1996,12
 Oman,1996,7
