country_iso,year,diversity_ethnicFractionalization,diversity_linguisticFractionalization,diversity_religiousFractionalization
ASM,2020,0.0,0.1733,0.6395
COM,2020,0.0,0.0103,0.0137
MYT,2020,0.0,0.7212,0.062
FRO,2020,0.0,0.0,0.3147
GUF,2020,0.0,0.1154,0.4959
PYF,2020,0.0,0.6078,0.5813
GRL,2020,0.0,0.2188,0.4592
GLP,2020,0.0,0.0933,0.3069
GUM,2020,0.0,0.732,0.4082
MAC,2020,0.0,0.2519,0.5511
MTQ,2020,0.0,0.0,0.2336
ABW,2020,0.0,0.3889,0.4107
NCL,2020,0.0,0.6633,0.5462
MNP,2020,0.0,0.7754,0.4811
BMU,2020,0.0,0.0,0.7112
TLS,2020,0.0,0.5261,0.4254
PRI,2020,0.0,0.0352,0.4952
REU,2020,0.0,0.1578,0.1952
STP,2020,0.0,0.2322,0.1866
IMN,2020,0.0,0.0,0.4729
VIR,2020,0.0,0.314,0.6359
YEM,2020,0.0,0.008,0.0023
PRK,2020,0.002,0.0021,0.6604
JPN,2020,0.0119,0.0178,0.5406
KOR,2020,0.0392,0.0028,0.4891
TUN,2020,0.0394,0.0124,0.0104
VUT,2020,0.0413,0.5794,0.7044
MLT,2020,0.0414,0.0907,0.1223
BGD,2020,0.0454,0.0925,0.209
PRT,2020,0.0468,0.0198,0.1438
KIR,2020,0.0511,0.0237,0.5541
NOR,2020,0.0586,0.0673,0.2048
SWE,2020,0.06,0.1968,0.2342
MHL,2020,0.0603,0.0734,0.5207
HKG,2020,0.062,0.2128,0.4191
ISL,2020,0.0798,0.082,0.1913
DNK,2020,0.0819,0.1049,0.2333
TON,2020,0.0869,0.3782,0.6214
AUS,2020,0.0929,0.3349,0.8211
CYP,2020,0.0939,0.3962,0.3962
HTI,2020,0.095,0.0,0.4704
FRA,2020,0.1032,0.1221,0.4029
NLD,2020,0.1054,0.5143,0.7222
AUT,2020,0.1068,0.1522,0.4146
SLB,2020,0.111,0.5254,0.6708
ITA,2020,0.1145,0.1147,0.3027
POL,2020,0.1183,0.0468,0.1712
IRL,2020,0.1206,0.0312,0.155
GBR,2020,0.1211,0.0532,0.6944
ARM,2020,0.1272,0.1291,0.4576
LBN,2020,0.1314,0.1312,0.7886
FIN,2020,0.1315,0.1412,0.2531
BRB,2020,0.1423,0.0926,0.6934
HUN,2020,0.1522,0.0297,0.5244
CHN,2020,0.1538,0.1327,0.6643
GRC,2020,0.1576,0.03,0.153
TUV,2020,0.1629,0.1372,0.2524
ATG,2020,0.1643,0.1063,0.684
DEU,2020,0.1682,0.1642,0.6571
PRY,2020,0.1689,0.5975,0.2123
LCA,2020,0.1769,0.3169,0.332
SAU,2020,0.18,0.0949,0.127
EGY,2020,0.1836,0.0237,0.1979
KNA,2020,0.1842,0.0,0.6614
CHL,2020,0.1861,0.1871,0.3841
HND,2020,0.1867,0.0553,0.2357
SLV,2020,0.1978,0.0,0.3559
DMA,2020,0.2003,0.0,0.4628
SYC,2020,0.2025,0.1606,0.2323
AZE,2020,0.2047,0.2054,0.4899
KHM,2020,0.2105,0.2104,0.0965
ALB,2020,0.2204,0.0399,0.4719
SVN,2020,0.2216,0.2201,0.2868
CRI,2020,0.2368,0.0489,0.241
VNM,2020,0.2383,0.2377,0.508
PHL,2020,0.2385,0.836,0.3056
RUS,2020,0.2452,0.2485,0.4398
URY,2020,0.2504,0.0817,0.3548
SVK,2020,0.2539,0.2551,0.5655
ARG,2020,0.255,0.0618,0.2236
LSO,2020,0.255,0.2543,0.7211
GRD,2020,0.2661,0.0,0.5898
PNG,2020,0.2718,0.3526,0.5523
TWN,2020,0.2744,0.5028,0.6845
SMR,2020,0.2927,0.0,0.1975
BDI,2020,0.2951,0.2977,0.5158
VCT,2020,0.3066,0.0175,0.7028
ROU,2020,0.3069,0.1723,0.2373
TUR,2020,0.32,0.2216,0.0049
BLR,2020,0.3222,0.4666,0.6116
CZE,2020,0.3222,0.3233,0.6591
LTU,2020,0.3223,0.3219,0.4141
RWA,2020,0.3238,0.0,0.5066
DZA,2020,0.3394,0.4427,0.0091
ISR,2020,0.3436,0.5525,0.3469
GNQ,2020,0.3467,0.322,0.1195
MNG,2020,0.3682,0.3734,0.0799
IRQ,2020,0.3689,0.3694,0.4844
HRV,2020,0.369,0.0763,0.4447
SGP,2020,0.3857,0.3835,0.6561
ZWE,2020,0.3874,0.4472,0.7363
TKM,2020,0.3918,0.3984,0.2327
NZL,2020,0.3969,0.1657,0.811
BGR,2020,0.4021,0.3031,0.5965
BWA,2020,0.4102,0.411,0.5986
UZB,2020,0.4125,0.412,0.2133
JAM,2020,0.4129,0.1098,0.616
LKA,2020,0.415,0.4645,0.4853
ESP,2020,0.4165,0.4132,0.4514
CPV,2020,0.4174,0.0,0.0766
IND,2020,0.4182,0.8069,0.326
BHS,2020,0.4228,0.1855,0.6815
DOM,2020,0.4294,0.0395,0.3118
PLW,2020,0.4312,0.3157,0.7147
OMN,2020,0.4373,0.3567,0.4322
MUS,2020,0.4634,0.4547,0.6385
UKR,2020,0.4737,0.4741,0.6157
MAR,2020,0.4841,0.4683,0.0035
NIC,2020,0.4844,0.0473,0.429
USA,2020,0.4901,0.5647,0.8241
GEO,2020,0.4923,0.4749,0.6543
VEN,2020,0.4966,0.0686,0.135
BHR,2020,0.5021,0.4344,0.5528
EST,2020,0.5062,0.4944,0.4985
TJK,2020,0.5107,0.5473,0.3386
GTM,2020,0.5122,0.4586,0.3753
LAO,2020,0.5139,0.6382,0.5453
LUX,2020,0.5302,0.644,0.0911
CHE,2020,0.5314,0.5441,0.6083
SYR,2020,0.5399,0.1817,0.431
BRA,2020,0.5408,0.0468,0.6054
