country_iso,ease_of_business,year
AFG,173.0,2019
AGO,177.0,2019
ALB,82.0,2019
ARE,16.0,2019
ARG,126.0,2019
ARM,47.0,2019
ATG,113.0,2019
AUS,14.0,2019
AUT,27.0,2019
AZE,34.0,2019
BDI,166.0,2019
BEL,46.0,2019
BEN,149.0,2019
BFA,151.0,2019
BGD,168.0,2019
BGR,61.0,2019
BHR,43.0,2019
BHS,119.0,2019
BIH,90.0,2019
BLR,49.0,2019
BLZ,135.0,2019
BOL,150.0,2019
BRA,124.0,2019
BRB,128.0,2019
BRN,66.0,2019
BTN,89.0,2019
BWA,87.0,2019
CAF,184.0,2019
CAN,23.0,2019
CHE,36.0,2019
CHL,59.0,2019
CHN,31.0,2019
CIV,110.0,2019
CMR,167.0,2019
COD,183.0,2019
COG,180.0,2019
COL,67.0,2019
COM,160.0,2019
CPV,137.0,2019
CRI,74.0,2019
CYP,54.0,2019
CZE,41.0,2019
DEU,22.0,2019
DJI,112.0,2019
DMA,111.0,2019
DNK,4.0,2019
DOM,115.0,2019
DZA,157.0,2019
ECU,129.0,2019
EGY,114.0,2019
ERI,189.0,2019
ESP,30.0,2019
EST,18.0,2019
ETH,159.0,2019
FIN,20.0,2019
FJI,102.0,2019
FRA,32.0,2019
FSM,158.0,2019
GAB,169.0,2019
GBR,8.0,2019
GEO,7.0,2019
GHA,118.0,2019
GIN,156.0,2019
GMB,155.0,2019
GNB,174.0,2019
GNQ,178.0,2019
GRC,79.0,2019
GRD,146.0,2019
GTM,96.0,2019
GUY,134.0,2019
HKG,3.0,2019
HND,133.0,2019
HRV,51.0,2019
HTI,179.0,2019
HUN,52.0,2019
IDN,73.0,2019
IND,63.0,2019
IRL,24.0,2019
IRN,127.0,2019
IRQ,172.0,2019
ISL,26.0,2019
ISR,35.0,2019
ITA,58.0,2019
JAM,71.0,2019
JOR,75.0,2019
JPN,29.0,2019
KAZ,25.0,2019
KEN,56.0,2019
KGZ,80.0,2019
KHM,144.0,2019
KIR,164.0,2019
KNA,139.0,2019
KOR,5.0,2019
KWT,83.0,2019
LAO,154.0,2019
LBN,143.0,2019
LBR,175.0,2019
LBY,186.0,2019
LCA,93.0,2019
LKA,99.0,2019
LSO,122.0,2019
LTU,11.0,2019
LUX,72.0,2019
LVA,19.0,2019
MAR,53.0,2019
MDA,48.0,2019
MDG,161.0,2019
MDV,147.0,2019
MEX,60.0,2019
MHL,153.0,2019
MKD,17.0,2019
MLI,148.0,2019
MLT,88.0,2019
MMR,165.0,2019
MNE,50.0,2019
MNG,81.0,2019
MOZ,138.0,2019
MRT,152.0,2019
MUS,13.0,2019
MWI,109.0,2019
MYS,12.0,2019
NAM,104.0,2019
NER,132.0,2019
NGA,131.0,2019
NIC,142.0,2019
NLD,42.0,2019
NOR,9.0,2019
NPL,94.0,2019
NZL,1.0,2019
OMN,68.0,2019
PAK,108.0,2019
PAN,86.0,2019
PER,76.0,2019
PHL,95.0,2019
PLW,145.0,2019
PNG,120.0,2019
POL,40.0,2019
PRI,65.0,2019
PRT,39.0,2019
PRY,125.0,2019
PSE,117.0,2019
QAT,77.0,2019
ROU,55.0,2019
RUS,28.0,2019
RWA,38.0,2019
SAU,62.0,2019
SDN,171.0,2019
SEN,123.0,2019
SGP,2.0,2019
SLB,136.0,2019
SLE,163.0,2019
SLV,91.0,2019
SMR,92.0,2019
SOM,190.0,2019
SRB,44.0,2019
SSD,185.0,2019
STP,170.0,2019
SUR,162.0,2019
SVK,45.0,2019
SVN,37.0,2019
SWE,10.0,2019
SWZ,121.0,2019
SYC,100.0,2019
SYR,176.0,2019
TCD,182.0,2019
TGO,97.0,2019
THA,21.0,2019
TJK,106.0,2019
TLS,181.0,2019
TON,103.0,2019
TTO,105.0,2019
TUN,78.0,2019
TUR,33.0,2019
TZA,141.0,2019
UGA,116.0,2019
UKR,64.0,2019
URY,101.0,2019
USA,6.0,2019
UZB,69.0,2019
VCT,130.0,2019
VEN,188.0,2019
VNM,70.0,2019
VUT,107.0,2019
WSM,98.0,2019
XKX,57.0,2019
YEM,187.0,2019
ZAF,84.0,2019
ZMB,85.0,2019
ZWE,140.0,2019
