country_iso,year,electrification
ABW,1990,100.0
ALB,1990,100.0
AND,1990,100.0
ARE,1990,100.0
AUS,1990,100.0
AUT,1990,100.0
BEL,1990,100.0
BGR,1990,100.0
BHS,1990,100.0
BIH,1990,100.0
BLR,1990,100.0
BMU,1990,100.0
BOL,1990,57.20701218
BRA,1990,87.475116
BRN,1990,100.0
CAN,1990,100.0
CEB,1990,100.0
CHE,1990,100.0
CHL,1990,92.257427
CHN,1990,93.24479675
CIV,1990,36.65949249
COL,1990,89.9
CUW,1990,100.0
CYP,1990,100.0
CZE,1990,100.0
DEU,1990,100.0
DNK,1990,100.0
EAP,1990,93.24479675
EAS,1990,94.04778099
ECA,1990,100.0
ECS,1990,100.0
EMU,1990,100.0
ESP,1990,100.0
EST,1990,100.0
EUU,1990,100.0
FIN,1990,100.0
FRA,1990,100.0
FRO,1990,100.0
GBR,1990,100.0
GIB,1990,100.0
GRC,1990,100.0
GRL,1990,100.0
HIC,1990,99.79767345
HKG,1990,100.0
HRV,1990,100.0
HUN,1990,100.0
IMN,1990,100.0
IRL,1990,100.0
ISL,1990,100.0
ISR,1990,100.0
ITA,1990,100.0
JAM,1990,70.334586
JOR,1990,96.8
JPN,1990,100.0
KWT,1990,100.0
LIE,1990,100.0
LTE,1990,93.64665133
LTU,1990,100.0
LUX,1990,100.0
LVA,1990,100.0
MCO,1990,100.0
MDA,1990,100.0
MKD,1990,100.0
MLT,1990,100.0
MNE,1990,100.0
NAC,1990,100.0
NGA,1990,27.3
NLD,1990,100.0
NOR,1990,100.0
NZL,1990,100.0
OED,1990,99.88455603
PAN,1990,70.19
POL,1990,100.0
PRT,1990,100.0
PST,1990,100.0
PYF,1990,100.0
QAT,1990,100.0
ROU,1990,100.0
RUS,1990,100.0
SDN,1990,32.8
SGP,1990,100.0
SMR,1990,100.0
SRB,1990,100.0
SVK,1990,100.0
SVN,1990,100.0
SWE,1990,100.0
TCA,1990,88.7
TEA,1990,93.24479675
TEC,1990,100.0
UKR,1990,100.0
UMC,1990,93.51005622
URY,1990,97.16044617
USA,1990,100.0
VIR,1990,100.0
XKX,1990,100.0
ZMB,1990,13.9
ABW,1991,99.27687073
ALB,1991,100.0
AND,1991,100.0
ARE,1991,100.0
AUS,1991,100.0
AUT,1991,100.0
BEL,1991,100.0
BGD,1991,14.29
BGR,1991,100.0
BHS,1991,100.0
BIH,1991,100.0
BLR,1991,100.0
BLZ,1991,67.0
BMU,1991,100.0
BOL,1991,58.55694199
BRA,1991,90.1516571
BRN,1991,100.0
BWA,1991,10.1
CAN,1991,100.0
CEB,1991,100.0
CHE,1991,100.0
CHL,1991,94.62760925
CHN,1991,93.57578278
CIV,1991,37.78728104
CMR,1991,29.0
COL,1991,90.91477203
CUW,1991,100.0
CYP,1991,100.0
CZE,1991,100.0
DEU,1991,100.0
DNK,1991,100.0
DOM,1991,78.2
EAP,1991,87.39907802
EAS,1991,88.70229421
ECA,1991,100.0
ECS,1991,100.0
EMU,1991,100.0
ESP,1991,100.0
EST,1991,100.0
EUU,1991,100.0
FIN,1991,100.0
FRA,1991,100.0
FRO,1991,100.0
GBR,1991,100.0
GIB,1991,100.0
GRC,1991,100.0
GRL,1991,100.0
HIC,1991,99.83670746
HKG,1991,100.0
HND,1991,54.781937
HRV,1991,100.0
HUN,1991,100.0
IDN,1991,48.9
IMN,1991,100.0
IRL,1991,100.0
ISL,1991,100.0
ISR,1991,100.0
ITA,1991,100.0
JAM,1991,76.66819
JOR,1991,97.44158173
JPN,1991,100.0
KWT,1991,100.0
LIE,1991,100.0
LTE,1991,94.17256791
LTU,1991,100.0
LUX,1991,100.0
LVA,1991,100.0
MCO,1991,100.0
MDA,1991,100.0
MKD,1991,100.0
MLT,1991,100.0
MNE,1991,100.0
NAC,1991,100.0
NGA,1991,34.38976669
NLD,1991,100.0
NOR,1991,100.0
NZL,1991,100.0
OED,1991,99.91918817
PAN,1991,72.42736816
POL,1991,100.0
PRT,1991,100.0
PST,1991,100.0
PYF,1991,100.0
QAT,1991,100.0
ROU,1991,100.0
RUS,1991,100.0
SDN,1991,26.85222626
SGP,1991,100.0
SLV,1991,69.60788000000001
SMR,1991,100.0
SRB,1991,100.0
SVK,1991,100.0
SVN,1991,100.0
SWE,1991,100.0
TCA,1991,90.74128723
TEA,1991,87.39907802
TEC,1991,100.0
UGA,1991,5.6
