country_iso,year,feature_films_produced
AUS,2011,43.0
AUS,2012,29.0
AUS,2013,26.0
AUS,2014,39.0
AUS,2015,33.0
AUS,2016,42.0
AUS,2017,55.0
AUT,2011,54.0
AUT,2012,54.0
AUT,2013,46.0
AUT,2014,45.0
AUT,2015,40.0
AUT,2016,46.0
AUT,2017,44.0
BEL,2011,42.0
BEL,2012,55.0
BEL,2013,70.0
BEL,2014,73.0
BEL,2015,69.0
BEL,2016,81.0
BEL,2017,87.0
CAN,2011,86.0
CAN,2012,98.0
CAN,2013,93.0
CAN,2014,94.0
CAN,2015,103.0
CAN,2016,105.0
CAN,2017,92.0
CZE,2011,45.0
CZE,2012,46.0
CZE,2013,45.0
CZE,2014,61.0
CZE,2015,56.0
CZE,2016,79.0
CZE,2017,54.0
DNK,2011,43.0
DNK,2012,59.0
DNK,2013,69.0
DNK,2014,55.0
DNK,2015,71.0
DNK,2016,62.0
DNK,2017,54.0
FIN,2011,42.0
FIN,2012,49.0
FIN,2013,49.0
FIN,2014,46.0
FIN,2015,45.0
FIN,2016,38.0
FIN,2017,41.0
FRA,2011,272.0
FRA,2012,279.0
FRA,2013,270.0
FRA,2014,258.0
FRA,2015,300.0
FRA,2016,283.0
FRA,2017,300.0
DEU,2011,212.0
DEU,2012,220.0
DEU,2013,223.0
DEU,2014,229.0
DEU,2015,226.0
DEU,2016,244.0
DEU,2017,233.0
GRC,2011,43.0
GRC,2012,44.0
GRC,2013,69.0
GRC,2014,43.0
GRC,2015,42.0
GRC,2016,73.0
GRC,2017,85.0
HUN,2012,32.0
HUN,2013,38.0
HUN,2015,41.0
HUN,2016,51.0
HUN,2017,37.0
ISL,2011,13.0
ISL,2012,8.0
ISL,2013,7.0
ISL,2014,15.0
ISL,2015,13.0
ISL,2016,23.0
ISL,2017,13.0
IRL,2011,32.0
IRL,2012,38.0
IRL,2013,34.0
IRL,2014,33.0
IRL,2015,33.0
IRL,2016,29.0
ITA,2011,155.0
ITA,2012,166.0
ITA,2013,167.0
ITA,2014,201.0
ITA,2015,185.0
ITA,2016,165.0
ITA,2017,173.0
JPN,2011,441.0
JPN,2012,554.0
JPN,2013,591.0
JPN,2014,615.0
JPN,2015,581.0
JPN,2016,610.0
JPN,2017,594.0
KOR,2011,216.0
KOR,2012,204.0
KOR,2013,207.0
KOR,2014,248.0
KOR,2015,269.0
KOR,2016,339.0
KOR,2017,494.0
LUX,2011,16.0
LUX,2017,13.0
MEX,2011,73.0
MEX,2012,112.0
MEX,2013,126.0
MEX,2014,130.0
MEX,2015,140.0
MEX,2016,162.0
MEX,2017,176.0
NLD,2011,73.0
NLD,2012,79.0
NLD,2013,68.0
NLD,2014,87.0
NLD,2015,87.0
NLD,2016,85.0
NLD,2017,92.0
NZL,2011,25.0
NZL,2012,24.0
NZL,2013,25.0
NZL,2014,33.0
NZL,2015,28.0
NZL,2016,22.0
NZL,2017,20.0
NOR,2011,35.0
NOR,2012,26.0
NOR,2013,29.0
NOR,2014,34.0
NOR,2015,23.0
NOR,2016,30.0
NOR,2017,38.0
POL,2011,51.0
