country_iso,year,gdp_per_capta_usd
ABW,2013,25025.09956
ABW,2014,25533.56978
ABW,2015,25796.38025
ABW,2016,25239.60041
ABW,2017,25630.26649
AFG,2013,637.16504
AFG,2014,613.85633
AFG,2015,578.46635
AFG,2016,547.22811
AFG,2017,556.30214
AFG,2018,520.8966
AGO,2013,5254.88234
AGO,2014,5408.4105
AGO,2015,4166.97968
AGO,2016,3506.07289
AGO,2017,4095.81294
AGO,2018,3432.38574
ALB,2013,4413.08289
ALB,2014,4578.66793
ALB,2015,3952.83078
ALB,2016,4124.10854
ALB,2017,4532.8892
ALB,2018,5253.63006
AND,2013,40626.75163
AND,2014,42300.33413
AND,2015,36039.6535
AND,2016,37224.10892
AND,2017,39134.39337
AND,2018,42029.76274
ARE,2013,42412.63028
ARE,2014,43751.83889
ARE,2015,38663.38381
ARE,2016,38141.84676
ARE,2017,40325.382
ARE,2018,43004.94865
ARG,2013,13080.25473
ARG,2014,12334.79825
ARG,2015,13789.06042
ARG,2016,12790.24247
ARG,2017,14591.86338
ARG,2018,11652.56629
ARM,2013,3838.1858
ARM,2014,3986.23162
ARM,2015,3607.2967
ARM,2016,3591.82928
ARM,2017,3914.50127
ARM,2018,4212.07094
ASM,2013,11505.39371
ASM,2014,11525.15639
ASM,2015,11843.33118
ASM,2016,11714.89568
ASM,2017,11398.77742
ATG,2013,13035.09364
ATG,2014,13780.78237
ATG,2015,14526.58808
ATG,2016,15494.30547
ATG,2017,15824.66781
ATG,2018,16864.38336
AUS,2013,68150.10704
AUS,2014,62510.79117
AUS,2015,56748.42026
AUS,2016,50019.96777
AUS,2017,54093.60219
AUS,2018,57305.29902
AUT,2013,50716.70871
AUT,2014,51717.49594
AUT,2015,44176.67174
AUT,2016,45103.32981
AUT,2017,47380.82964
AUT,2018,51512.90548
AZE,2013,7875.75695
AZE,2014,7891.31315
AZE,2015,5500.3205
AZE,2016,3880.73873
AZE,2017,4147.08972
AZE,2018,4721.17809
BDI,2013,256.976
BDI,2014,274.85795
BDI,2015,305.54977
BDI,2016,282.14968
BDI,2017,293.00906
BDI,2018,275.4296
BEL,2013,46680.38982
BEL,2014,47355.31201
BEL,2015,40441.05204
BEL,2016,41449.09736
BEL,2017,43507.2382
BEL,2018,46556.09957
BEN,2013,915.31562
BEN,2014,943.67465
BEN,2015,783.96308
BEN,2016,788.5492
BEN,2017,827.42981
BEN,2018,901.95405
BFA,2013,699.77941
BFA,2014,703.82006
BFA,2015,575.31445
BFA,2016,583.83262
BFA,2017,642.04043
BFA,2018,731.17172
BGD,2013,981.83988
BGD,2014,1118.85366
BGD,2015,1248.4534
BGD,2016,1401.62063
BGD,2017,1563.99408
BGD,2018,1698.2628
BGR,2013,7646.83987
BGR,2014,7864.76067
BGR,2015,6993.78348
BGR,2016,7469.45564
BGR,2017,8228.01157
BGR,2018,9272.6293
BHR,2013,24744.35763
BHR,2014,24989.40012
BHR,2015,22688.9444
BHR,2016,22619.11667
BHR,2017,23715.48275
BHR,2018,24050.75751
BHS,2013,28944.78822
BHS,2014,29563.74635
BHS,2015,31512.85655
BHS,2016,31325.29483
BHS,2017,31857.89015
BIH,2013,5131.39451
BIH,2014,5329.63504
BIH,2015,4727.27755
BIH,2016,4994.68314
BIH,2017,5394.59122
BIH,2018,5951.3233
BLR,2013,7978.87261
BLR,2014,8318.51269
BLR,2015,5949.10631
BLR,2016,5022.62664
BLR,2017,5761.74712
BLR,2018,6289.93855
BLZ,2013,4652.509
BLZ,2014,4790.94126
BLZ,2015,4883.17901
BLZ,2016,4904.03434
BLZ,2017,4956.80804
BLZ,2018,5025.1781
BMU,2013,85748.06541
BOL,2013,2908.20009
BOL,2014,3081.87883
BOL,2015,3035.97221
BOL,2016,3076.65895
BOL,2017,3351.12405
BOL,2018,3548.59014
BRA,2013,12300.32258
BRA,2014,12112.5903
BRA,2015,8814.00099
BRA,2016,8712.88704
BRA,2017,9880.94654
BRA,2018,8920.7621
BRB,2013,16224.28736
BRB,2014,16179.58396
BRB,2015,16066.4718
BRB,2016,15847.14272
BRB,2017,16327.60723
BRN,2013,44740.08502
BRN,2014,41726.78397
BRN,2015,31164.56203
BRN,2016,27157.34623
BRN,2017,28572.10942
BRN,2018,31627.74208
BTN,2013,2532.01564
BTN,2014,2749.35266
BTN,2015,2829.89125
BTN,2016,3012.9614
BTN,2017,3390.71407
BTN,2018,3360.26687
BWA,2013,7224.96517
BWA,2014,7780.63838
BWA,2015,6799.87523
BWA,2016,7243.85602
BWA,2017,7893.67593
BWA,2018,8258.64167
CAF,2013,382.3403
CAF,2014,426.68456
CAF,2015,380.40429
CAF,2016,406.53196
CAF,2017,471.60323
CAF,2018,509.97097
CAN,2013,52504.6557
CAN,2014,50835.51118
CAN,2015,43495.05439
CAN,2016,42279.90082
CAN,2017,45069.92725
CAN,2018,46210.54762
CHE,2013,85112.4644
CHE,2014,86605.56338
CHE,2015,82081.59712
CHE,2016,80037.50304
CHE,2017,80333.44494
CHE,2018,82838.92944
CHL,2013,15842.94009
CHL,2014,14670.99718
CHL,2015,13574.1715
CHL,2016,13748.0884
CHL,2017,15037.35011
CHL,2018,15923.35906
CHN,2013,7050.64592
CHN,2014,7651.36604
CHN,2015,8033.38804
CHN,2016,8078.79047
CHN,2017,8759.04158
CHN,2018,9770.84709
CIV,2013,1415.46928
CIV,2014,1559.38665
CIV,2015,1426.45785
CIV,2016,1481.6523
CIV,2017,1557.18295
CIV,2018,1715.53124
CMR,2013,1465.22233
CMR,2014,1540.56818
CMR,2015,1326.96928
CMR,2016,1363.40385
CMR,2017,1421.58749
CMR,2018,1526.87571
COD,2013,457.96373
COD,2014,486.78708
COD,2015,497.31696
COD,2016,471.31884
COD,2017,467.07424
COD,2018,561.77718
COG,2013,3047.06459
COG,2014,2992.93135
COG,2015,1761.32357
COG,2016,1814.06342
COG,2017,1702.57135
COG,2018,2147.76946
COL,2013,8212.66783
COL,2014,8114.08426
COL,2015,6175.87603
COL,2016,5871.22352
COL,2017,6375.93206
COL,2018,6651.29129
COM,2013,1504.92086
COM,2014,1511.81608
COM,2015,1271.05704
COM,2016,1287.42097
COM,2017,1312.36617
COM,2018,1445.45081
CPV,2013,3615.97904
CPV,2014,3588.67405
CPV,2015,3043.01398
CPV,2016,3130.96338
CPV,2017,3295.34111
CPV,2018,3654.00734
CRI,2013,10490.08065
CRI,2014,10547.15185
CRI,2015,11299.13618
CRI,2016,11666.45661
CRI,2017,11752.5436
CRI,2018,12026.54753
CUB,2013,6837.71289
CUB,2014,7133.34209
CUB,2015,7694.01192
CUB,2016,8060.79589
CUB,2017,8541.21067
CUW,2013,20462.71795
CUW,2014,20258.00969
CUW,2015,19951.3279
CUW,2016,19555.36585
CUW,2017,19457.53152
CYM,2017,56334.21399
CYP,2013,27942.30127
CYP,2014,27407.15286
CYP,2015,23217.48415
CYP,2016,24019.13787
CYP,2017,25760.7627
CYP,2018,28159.3017
CZE,2013,19916.01939
CZE,2014,19744.55861
CZE,2015,17715.61685
CZE,2016,18463.38658
CZE,2017,20379.89604
CZE,2018,23078.57349
DEU,2013,46530.91143
DEU,2014,48142.8272
DEU,2015,41394.65816
DEU,2016,42443.46507
DEU,2017,44681.08258
DEU,2018,48195.5799
DJI,2013,1499.76702
DJI,2014,1619.05148
DJI,2015,1787.4775
DJI,2016,1898.87599
DJI,2017,1953.9035
DJI,2018,2050.20473
DMA,2013,7068.53574
DMA,2014,7364.99652
DMA,2015,7597.75045
DMA,2016,8070.29092
DMA,2017,6951.30354
DMA,2018,7031.70975
DNK,2013,61191.1937
DNK,2014,62548.98473
DNK,2015,53254.856
DNK,2016,54467.10452
DNK,2017,57218.85485
DNK,2018,60726.46654
DOM,2013,6236.10437
DOM,2014,6499.14988
DOM,2015,6691.71692
DOM,2016,6957.56451
DOM,2017,7222.55404
DOM,2018,7650.07275
DZA,2013,5499.58776
DZA,2014,5493.05677
DZA,2015,4177.88897
DZA,2016,3948.8119
DZA,2017,4048.28526
DZA,2018,4278.85006
ECU,2013,6056.33083
ECU,2014,6377.09153
ECU,2015,6124.49164
ECU,2016,6060.09333
ECU,2017,6213.50128
ECU,2018,6344.87198
EGY,2013,3264.37879
EGY,2014,3378.83136
EGY,2015,3598.97095
EGY,2016,3525.02016
EGY,2017,2440.51017
EGY,2018,2549.13946
ESP,2013,29211.77375
ESP,2014,29623.16445
ESP,2015,25817.38661
ESP,2016,26622.29914
ESP,2017,28208.26105
ESP,2018,30523.85924
EST,2013,19072.23852
EST,2014,20247.1993
EST,2015,17412.44867
EST,2016,18228.05825
EST,2017,20200.37559
EST,2018,22927.74442
ETH,2013,499.53157
ETH,2014,566.92647
ETH,2015,639.30436
ETH,2016,716.88004
ETH,2017,768.01042
ETH,2018,772.31223
FIN,2013,49638.07713
FIN,2014,49914.61864
FIN,2015,42494.65662
FIN,2016,43493.41934
FIN,2017,45809.97338
FIN,2018,49648.14926
FJI,2013,4840.69372
FJI,2014,5605.57036
FJI,2015,5390.74526
FJI,2016,5647.34736
FJI,2017,6006.36062
FJI,2018,6202.16227
FRA,2013,42592.93409
FRA,2014,43008.64738
FRA,2015,36613.37522
FRA,2016,36962.22229
FRA,2017,38679.12715
FRA,2018,41463.64402
FRO,2013,54853.6256
FRO,2014,59440.03076
FRO,2015,52404.65933
FRO,2016,55822.91472
FSM,2013,2983.59798
FSM,2014,2959.62065
FSM,2015,2894.34501
FSM,2016,2993.20056
FSM,2017,3018.3969
FSM,2018,3058.43182
GAB,2013,9680.82434
GAB,2014,9650.57438
GAB,2015,7381.74675
GAB,2016,6979.7092
GAB,2017,7212.53574
GAB,2018,8029.82238
GBR,2013,42938.42518
GBR,2014,46967.66814
GBR,2015,44472.1517
GBR,2016,40539.91961
GBR,2017,39932.06029
GBR,2018,42491.36444
GEO,2013,4341.43512
GEO,2014,4438.6875
GEO,2015,3756.38377
GEO,2016,3857.28173
GEO,2017,4045.41705
GEO,2018,4344.63095
GHA,2013,2378.15951
GHA,2014,1968.85826
GHA,2015,1766.0057
GHA,2016,1931.38947
GHA,2017,2025.88586
GHA,2018,2202.31216
GIN,2013,769.00394
GIN,2014,787.23807
GIN,2015,769.25601
GIN,2016,733.02076
GIN,2017,821.65146
GIN,2018,885.25123
GMB,2013,696.15212
GMB,2014,622.0541
GMB,2015,668.3812
GMB,2016,671.10529
GMB,2017,672.78053
GMB,2018,712.4524
GNB,2013,634.48245
GNB,2014,622.48172
GNB,2015,603.15851
GNB,2016,661.00765
GNB,2017,736.72557
GNB,2018,777.96992
GNQ,2013,20384.92453
GNQ,2014,19368.23091
GNQ,2015,11278.92894
GNQ,2016,9244.0518
GNQ,2017,9738.43422
GNQ,2018,10173.96302
GRC,2013,21874.8195
GRC,2014,21760.9798
GRC,2015,18167.77372
GRC,2016,18116.45962
GRC,2017,18883.46007
GRC,2018,20324.25356
GRD,2013,7789.77638
GRD,2014,8369.88676
GRD,2015,9096.87065
GRD,2016,9628.34749
GRD,2017,10163.62985
GRD,2018,10833.65833
GRL,2013,47535.58995
GRL,2014,50484.92757
GRL,2015,44536.40131
GRL,2016,48295.56244
GTM,2013,3452.92168
GTM,2014,3687.83695
GTM,2015,3923.57334
GTM,2016,4140.59006
GTM,2017,4470.6108
GTM,2018,4549.01008
GUM,2013,33265.38119
GUM,2014,34394.09748
GUM,2015,35278.92594
GUM,2016,35550.56428
GUM,2017,35664.50168
GUY,2013,3934.86526
GUY,2014,4031.60066
GUY,2015,4166.13483
GUY,2016,4542.62207
GUY,2017,4586.05457
GUY,2018,4634.68134
HKG,2013,38403.77771
HKG,2014,40315.28556
HKG,2015,42431.88828
HKG,2016,43734.24999
HKG,2017,46220.50455
HKG,2018,48717.29121
HND,2013,2088.09794
HND,2014,2190.65072
HND,2015,2286.20004
HND,2016,2326.29703
HND,2017,2432.93536
HND,2018,2482.73021
HRV,2013,13665.91418
HRV,2014,13609.49731
HRV,2015,11780.13124
HRV,2016,12366.82154
HRV,2017,13383.6835
HRV,2018,14869.09068
HTI,2013,812.68869
HTI,2014,831.95982
HTI,2015,815.72828
HTI,2016,735.75512
HTI,2017,765.61398
HTI,2018,868.2848
HUN,2013,13668.22605
HUN,2014,14197.837
HUN,2015,12503.68207
HUN,2016,12839.58454
HUN,2017,14278.8745
HUN,2018,15938.8368
IDN,2013,3623.91158
IDN,2014,3491.62479
IDN,2015,3331.69513
IDN,2016,3562.84576
IDN,2017,3836.91381
IDN,2018,3893.59608
IMN,2013,80431.6728
IMN,2014,88974.22865
IMN,2015,81606.28003
IMN,2016,79155.54167
IND,2013,1449.60591
IND,2014,1573.88149
IND,2015,1605.60543
IND,2016,1729.26802
IND,2017,1981.49904
IND,2018,2015.59049
IRL,2013,51590.18845
IRL,2014,55492.98268
IRL,2015,61995.42278
IRL,2016,63197.08237
IRL,2017,69649.88274
IRL,2018,78806.432
IRN,2013,6111.44061
IRN,2014,5608.60251
IRN,2015,4916.08594
IRN,2016,5265.90663
IRN,2017,5627.74927
IRQ,2013,7076.87718
IRQ,2014,6818.80462
IRQ,2015,4989.80307
IRQ,2016,4649.46812
IRQ,2017,5143.66123
IRQ,2018,5878.03857
ISL,2013,49522.23697
ISL,2014,54242.05468
ISL,2015,52428.59576
ISL,2016,61757.94931
ISL,2017,71314.7742
ISL,2018,73201.70255
ISR,2013,36344.31551
ISR,2014,37733.59292
ISR,2015,35855.27504
ISR,2016,37371.62691
ISR,2017,40543.58417
ISR,2018,41613.99808
ITA,2013,35370.27526
ITA,2014,35396.66572
ITA,2015,30170.5166
ITA,2016,30830.92266
ITA,2017,32155.20587
ITA,2018,34318.35112
JAM,2013,4964.83279
JAM,2014,4817.92593
JAM,2015,4892.89745
JAM,2016,4842.04501
JAM,2017,5060.54492
JAM,2018,5355.58264
JOR,2013,3952.34031
JOR,2014,4047.55314
JOR,2015,4097.41144
JOR,2016,4109.57482
JOR,2017,4168.6416
JOR,2018,4247.76873
JPN,2013,40454.44746
JPN,2014,38109.41211
JPN,2015,34524.46986
JPN,2016,38794.33094
JPN,2017,38331.9794
JPN,2018,39286.73765
KAZ,2013,13890.63177
KAZ,2014,12807.26069
KAZ,2015,10510.77189
KAZ,2016,7714.84184
KAZ,2017,9030.31881
KAZ,2018,9331.04695
KEN,2013,1210.38801
KEN,2014,1315.80454
KEN,2015,1336.88335
KEN,2016,1410.52757
KEN,2017,1568.20154
KEN,2018,1710.5101
KGZ,2013,1282.43716
KGZ,2014,1279.76978
KGZ,2015,1121.08284
KGZ,2016,1120.66651
KGZ,2017,1242.76964
KGZ,2018,1281.36366
KHM,2013,1013.4204
KHM,2014,1093.49619
KHM,2015,1162.90492
KHM,2016,1269.59126
KHM,2017,1385.25998
KHM,2018,1512.12671
KIR,2013,1715.76533
KIR,2014,1642.7626
KIR,2015,1542.57525
KIR,2016,1584.80745
KIR,2017,1625.57597
KIR,2018,1625.2861
KNA,2013,16878.19046
KNA,2014,18057.61531
KNA,2015,18286.31939
KNA,2016,18575.75173
KNA,2017,19060.57072
KNA,2018,19829.42832
KOR,2013,25890.01867
KOR,2014,27811.36638
KOR,2015,27105.07623
KOR,2016,27608.24743
KOR,2017,29742.83886
KOR,2018,31362.75147
KWT,2013,49388.1094
KWT,2014,44062.3051
KWT,2015,29869.52939
KWT,2016,27653.1644
KWT,2017,29474.54143
KWT,2018,34243.95291
LAO,2013,1825.66511
LAO,2014,1998.33521
LAO,2015,2134.70422
LAO,2016,2308.80262
LAO,2017,2423.8462
LAO,2018,2567.54322
LBN,2013,7923.85172
LBN,2014,7712.06285
LBN,2015,7649.83261
LBN,2016,7634.94654
LBN,2017,7838.34338
LBN,2018,8269.78768
LBR,2013,721.93006
LBR,2014,721.18279
LBR,2015,710.38386
LBR,2016,714.62339
LBR,2017,698.70176
LBR,2018,674.20948
LBY,2013,10363.78949
LBY,2014,6466.91027
LBY,2015,4337.91914
LBY,2016,4038.97068
LBY,2017,5792.06511
LBY,2018,7235.02812
LCA,2013,8343.79537
LCA,2014,8650.81828
LCA,2015,9160.73416
LCA,2016,9377.88686
LCA,2017,10003.25987
LCA,2018,10315.02608
LIE,2013,173058.3174
LIE,2014,178845.631
LIE,2015,167290.94
LIE,2016,165028.245
LKA,2013,3610.28936
LKA,2014,3819.25353
LKA,2015,3843.78067
LKA,2016,3886.2915
LKA,2017,4104.63098
LKA,2018,4102.48135
LSO,2013,1245.24792
LSO,2014,1279.49445
LSO,2015,1219.17785
LSO,2016,1119.71976
LSO,2017,1232.78692
LSO,2018,1324.28277
LTU,2013,15693.78673
LTU,2014,16545.12267
LTU,2015,14291.90642
LTU,2016,14982.53305
LTU,2017,16809.64826
LTU,2018,19089.70751
LUX,2013,113625.1329
LUX,2014,118823.6484
LUX,2015,100428.368
LUX,2016,101305.5277
LUX,2017,104498.7387
LUX,2018,114340.4987
LVA,2013,15032.28201
LVA,2014,15716.36907
LVA,2015,13639.69412
LVA,2016,14133.68295
LVA,2017,15684.55852
LVA,2018,18088.92725
MAC,2013,89287.45402
MAC,2014,93777.1068
MAC,2015,75340.98698
MAC,2016,73954.95677
MAC,2017,81208.88207
MAC,2018,86355.40765
MAR,2013,3121.68118
MAR,2014,3171.69919
MAR,2015,2875.25799
MAR,2016,2897.66344
MAR,2017,3036.17106
MAR,2018,3237.88337
MCO,2013,177593.3519
MCO,2014,189170.8957
MCO,2015,165920.2236
MCO,2016,169904.1821
MCO,2017,166726.0519
MDA,2013,2668.68303
MDA,2014,2674.11633
MDA,2015,2179.23362
MDA,2016,2272.40571
MDA,2017,2724.49309
MDA,2018,3189.35581
MDG,2013,461.72092
MDG,2014,452.46154
MDG,2015,402.08831
MDG,2016,400.03628
MDG,2017,448.4008
MDG,2018,460.75278
MDV,2013,7928.45737
MDV,2014,8499.36576
MDV,2015,9033.39041
MDV,2016,9282.72355
MDV,2017,9801.62454
MDV,2018,10223.63649
MEX,2013,10725.18332
MEX,2014,10922.37605
MEX,2015,9605.95235
MEX,2016,8739.14247
MEX,2017,9281.10148
MEX,2018,9698.08419
MHL,2013,3351.02743
MHL,2014,3202.59711
MHL,2015,3128.4998
MHL,2016,3368.80402
MHL,2017,3516.71432
MHL,2018,3621.17409
MKD,2013,5210.67583
MKD,2014,5468.48087
MKD,2015,4840.27312
MKD,2016,5129.15896
MKD,2017,5417.64202
MKD,2018,6083.71895
MLI,2013,805.25967
MLI,2014,847.15027
MLI,2015,751.1705
MLI,2016,779.87493
MLI,2017,828.61322
MLI,2018,901.4031
MLT,2013,23830.93706
MLT,2014,25961.32788
MLT,2015,24046.27535
MLT,2016,25128.93738
MLT,2017,27241.09064
MLT,2018,30074.74119
MMR,2013,1162.33144
MMR,2014,1251.82076
MMR,2015,1133.00282
MMR,2016,1192.49534
MMR,2017,1249.82876
MMR,2018,1325.95292
MNE,2013,7186.43192
MNE,2014,7378.34529
MNE,2015,6514.2727
MNE,2016,7028.93658
MNE,2017,7784.06529
MNE,2018,8760.69229
MNG,2013,4366.0759
MNG,2014,4158.52571
MNG,2015,3918.57917
MNG,2016,3660.15075
MNG,2017,3671.94842
MNG,2018,4103.69749
MNP,2013,14274.24065
MNP,2014,15278.90787
MNP,2015,16690.5701
MNP,2016,22246.74308
MNP,2017,28163.78487
MOZ,2013,626.69776
MOZ,2014,645.24888
MOZ,2015,547.23809
MOZ,2016,391.55289
MOZ,2017,441.61784
MOZ,2018,490.16758
MRT,2013,1477.36154
MRT,2014,1366.80896
MRT,2015,1194.31252
MRT,2016,1135.55865
MRT,2017,1161.78546
MRT,2018,1218.59641
MUS,2013,9637.00265
MUS,2014,10153.93822
MUS,2015,9260.4473
MUS,2016,9681.61857
MUS,2017,10484.90836
MUS,2018,11238.69039
MWI,2013,348.43027
MWI,2014,371.26975
MWI,2015,380.59703
MWI,2016,315.77733
MWI,2017,356.71757
MWI,2018,389.39803
MYS,2013,10970.12328
MYS,2014,11319.07976
MYS,2015,9799.36753
MYS,2016,9671.02472
MYS,2017,10117.56903
MYS,2018,11238.95737
NAM,2013,5694.08263
NAM,2014,5624.13534
NAM,2015,5032.88976
NAM,2016,4786.2353
NAM,2017,5646.45601
NAM,2018,5931.45388
NER,2013,414.38861
NER,2014,427.73723
NER,2015,360.85338
NER,2016,362.13113
NER,2017,375.86949
NER,2018,411.68894
NGA,2013,2998.07284
NGA,2014,3222.69354
NGA,2015,2730.43032
NGA,2016,2175.99967
NGA,2017,1968.55959
NGA,2018,2028.18197
NIC,2013,1811.63804
NIC,2014,1934.06401
NIC,2015,2049.85142
NIC,2016,2107.57424
NIC,2017,2168.19124
NIC,2018,2028.89689
NLD,2013,52184.06185
NLD,2014,52830.17423
NLD,2015,45175.23189
NLD,2016,46007.85292
NLD,2017,48554.99228
NLD,2018,53024.05921
NOR,2013,103059.2482
NOR,2014,97199.9191
NOR,2015,74521.56993
NOR,2016,70941.52527
NOR,2017,75704.2487
NOR,2018,81807.19804
NPL,2013,715.92374
NPL,2014,743.41338
NPL,2015,792.55289
NPL,2016,777.1476
NPL,2017,900.5739
NPL,2018,1025.79836
NRU,2013,10038.9491
NRU,2014,9872.03259
NRU,2015,8013.14784
NRU,2016,7820.90949
NRU,2017,8844.41715
NRU,2018,9030.07106
NZL,2013,42949.14223
NZL,2014,44533.78309
NZL,2015,38559.54704
NZL,2016,40026.8522
NZL,2017,42260.12518
NZL,2018,41966.00918
OMN,2013,20926.55405
OMN,2014,20131.9813
OMN,2015,16150.88726
OMN,2016,14721.64733
OMN,2017,15170.35174
OMN,2018,16418.92693
PAK,2013,1208.90431
PAK,2014,1251.1641
PAK,2015,1356.66773
PAK,2016,1368.45433
PAK,2017,1466.8431
PAK,2018,1472.89313
PAN,2013,11889.12763
