year,gii_creative_goods,country_iso
2019,11.9,CHN
2019,10.1,CZE
2019,9.9,HKG
2019,9.8,MYS
2019,9.6,MEX
2019,8.7,THA
2019,8.5,SVK
2019,7.0,PHL
2019,6.1,HUN
2019,5.9,VNM
2019,4.4,SGP
2019,4.4,POL
2019,4.2,ARE
2019,4.1,NLD
2019,3.8,CHE
2019,3.6,KOR
2019,3.3,USA
2019,3.1,LVA
2019,2.9,IDN
2019,2.9,GBR
2019,2.9,TUR
2019,2.7,IND
2019,2.5,PAN
2019,2.2,ITA
2019,2.2,DOM
2019,2.2,DEU
2019,2.0,JPN
2019,2.0,TUN
2019,2.0,LTU
2019,1.8,SWE
2019,1.7,ISR
2019,1.7,FRA
2019,1.6,DNK
2019,1.6,BEL
2019,1.5,BHR
2019,1.5,JOR
2019,1.5,PRT
2019,1.4,EST
2019,1.3,BOL
2019,1.3,IRL
2019,1.1,EGY
2019,1.1,GRC
2019,1.0,CAN
2019,1.0,SVN
2019,0.9,AUT
2019,0.9,ESP
2019,0.9,MUS
2019,0.8,ZAF
2019,0.8,BGR
2019,0.8,HRV
2019,0.7,SRB
2019,0.7,ROU
2019,0.7,SLV
2019,0.6,AUS
2019,0.6,ARM
2019,0.5,FIN
2019,0.5,LBN
2019,0.5,OMN
2019,0.5,CYP
2019,0.5,NOR
2019,0.5,NZL
2019,0.5,UGA
2019,0.4,BLR
2019,0.4,LKA
2019,0.4,CRI
2019,0.4,SAU
2019,0.4,BIH
2019,0.3,RUS
2019,0.3,NAM
2019,0.3,PER
2019,0.3,NIC
2019,0.3,PAK
2019,0.3,ZWE
2019,0.3,GTM
2019,0.3,KEN
2019,0.3,KHM
2019,0.2,BRA
2019,0.2,KWT
2019,0.2,COL
2019,0.2,NPL
2019,0.2,MLT
2019,0.2,UKR
2019,0.2,MDA
2019,0.2,JAM
2019,0.2,MKD
2019,0.2,BWA
2019,0.2,RWA
2019,0.2,QAT
2019,0.2,ALB
2019,0.2,CHL
2019,0.2,BRN
2019,0.1,TTO
2019,0.1,KAZ
2019,0.1,MNE
2019,0.1,MDG
2019,0.1,TZA
2019,0.1,GEO
2019,0.1,ARG
2019,0.1,KGZ
2019,0.1,LUX
2019,0.1,MAR
2019,0.1,SEN
2019,0.1,CIV
2019,0.1,MWI
2019,0.1,ISL
2019,0.1,URY
2019,0.1,BGD
2019,0.1,HND
2019,0.1,BDI
2019,0.1,ECU
2019,0.1,IRN
2019,0.0,TGO
2019,0.0,NER
2019,0.0,PRY
2019,0.0,ETH
2019,0.0,ZMB
2019,0.0,GHA
2019,0.0,MLI
2019,0.0,BFA
2019,0.0,GIN
2019,0.0,CMR
2019,0.0,AZE
2019,0.0,YEM
2019,0.0,DZA
2019,0.0,MNG
2019,0.0,NGA
2019,0.0,MOZ
2019,0.0,BEN
