year,gii_creative_services,country_iso
2019,4.2,CRI
2019,4.0,LUX
2019,5.9,MLT
2019,2.5,ISR
2019,2.5,USA
2019,2.0,GBR
2019,1.9,HRV
2019,1.9,SGP
2019,1.7,LBN
2019,1.7,NLD
2019,1.6,EST
2019,1.6,URY
2019,1.5,LVA
2019,1.5,MNE
2019,1.5,ROU
2019,1.5,TGO
2019,1.4,SRB
2019,1.4,BEL
2019,1.4,BGR
2019,1.3,FRA
2019,1.3,JAM
2019,1.2,ALB
2019,1.2,AUT
2019,1.1,ARG
2019,1.1,POL
2019,1.1,SWE
2019,1.0,RUS
2019,1.0,ESP
2019,1.0,FIN
2019,0.9,SEN
2019,0.9,MDA
2019,0.9,SVN
2019,0.9,DEU
2019,0.8,CAN
2019,0.8,MKD
2019,0.8,HUN
2019,0.8,CHE
2019,0.7,GRC
2019,0.7,IND
2019,0.6,ISL
2019,0.6,ARM
2019,0.6,PRT
2019,0.6,LTU
2019,0.6,DNK
2019,0.6,NOR
2019,0.5,TUR
2019,0.5,CZE
2019,0.5,PAN
2019,0.5,CHN
2019,0.5,BRA
2019,0.5,GEO
2019,0.5,NZL
2019,0.4,MAR
2019,0.4,KOR
2019,0.4,JPN
2019,0.4,AUS
2019,0.4,SVK
2019,0.4,UKR
2019,0.4,KGZ
2019,0.4,ITA
2019,0.3,CMR
2019,0.3,QAT
2019,0.3,ZMB
2019,0.3,JOR
2019,0.3,CHL
2019,0.3,BDI
2019,0.3,MYS
2019,0.3,COL
2019,0.2,BLR
2019,0.2,ZAF
2019,0.2,ZWE
2019,0.2,IRL
2019,0.2,MNG
2019,0.2,DOM
2019,0.1,AZE
2019,0.1,HKG
2019,0.1,PAK
2019,0.1,MUS
2019,0.1,BFA
2019,0.1,EGY
2019,0.1,MWI
2019,0.1,MDG
2019,0.1,UGA
2019,0.1,PER
2019,0.1,ECU
2019,0.1,BGD
2019,0.1,NER
2019,0.1,CYP
2019,0.1,BOL
2019,0.1,GIN
2019,0.1,KAZ
2019,0.1,PHL
2019,0.1,CIV
2019,0.0,GTM
2019,0.0,NAM
2019,0.0,BIH
2019,0.0,NIC
2019,0.0,KEN
2019,0.0,IDN
2019,0.0,ETH
2019,0.0,TTO
2019,0.0,TJK
2019,0.0,MLI
2019,0.0,MOZ
2019,0.0,RWA
2019,0.0,BWA
2019,0.0,HND
2019,0.0,DZA
2019,0.0,TUN
2019,0.0,KWT
2019,0.0,BEN
2019,0.0,KHM
2019,0.0,SLV
2019,0.0,TZA
2019,0.0,SAU
2019,0.0,PRY
2019,0.0,THA
2019,0.0,MEX
2019,0.0,BRN
