year,gii_domestic_credit,country_iso
2019,203.8,HKG
2019,199.1,CYP
2019,192.2,USA
2019,175.3,CHE
2019,168.2,JPN
2019,165.4,DNK
2019,155.8,CHN
2019,152.9,NZL
2019,147.7,ZAF
2019,146.3,NOR
2019,144.8,KOR
2019,143.8,THA
2019,142.5,AUS
2019,136.2,GBR
2019,132.2,SWE
2019,130.7,VNM
2019,128.2,SGP
2019,118.8,MYS
2019,112.6,CHL
2019,111.9,NLD
2019,105.9,LUX
2019,105.7,ESP
2019,105.5,LBN
2019,104.1,PRT
2019,102.3,MUS
2019,101.6,FRA
2019,100.4,GRC
2019,99.2,KWT
2019,94.5,FIN
2019,89.8,ISL
2019,87.1,PAN
2019,86.7,KHM
2019,86.2,TUN
2019,84.1,AUT
2019,81.7,ITA
2019,79.8,NPL
2019,79.6,MLT
2019,78.8,ARE
2019,77.7,DEU
2019,77.3,QAT
2019,75.1,JOR
2019,75.0,OMN
2019,73.7,BHR
2019,70.9,TUR
2019,66.4,EST
2019,66.3,BEL
2019,66.1,IRN
2019,66.0,ISR
2019,64.5,BOL
2019,63.8,NAM
2019,63.0,MAR
2019,62.5,GEO
2019,62.0,CRI
2019,60.2,LVA
2019,59.9,SVK
2019,59.7,BRA
2019,57.4,HND
2019,57.4,HRV
2019,54.4,BIH
2019,54.1,SAU
2019,53.0,MNG
2019,52.7,RUS
2019,52.5,POL
2019,51.7,SLV
2019,51.6,CZE
2019,51.5,ARM
2019,50.6,BGR
2019,50.0,MKD
2019,49.7,IND
2019,49.4,COL
2019,48.9,MNE
2019,47.8,PHL
2019,47.6,BGD
2019,45.7,LKA
2019,44.8,SVN
2019,44.4,IRL
2019,43.0,SRB
2019,42.6,NIC
2019,42.3,PER
2019,41.4,LTU
2019,40.5,TTO
2019,40.0,PRY
2019,39.7,TGO
2019,39.5,BRN
2019,38.7,IDN
2019,38.4,UKR
2019,35.5,MEX
2019,35.0,ALB
2019,33.4,HUN
2019,33.3,GTM
2019,32.3,ECU
2019,32.0,JAM
2019,31.4,BWA
2019,31.3,BFA
2019,29.9,KAZ
2019,29.5,SEN
2019,29.3,KEN
2019,28.7,DOM
2019,28.5,EGY
2019,27.1,MDA
2019,27.1,MLI
2019,26.5,CIV
2019,26.4,ROU
2019,26.4,BLR
2019,26.3,URY
2019,25.6,MOZ
2019,24.8,DZA
2019,22.7,BEN
2019,22.2,AZE
2019,21.8,KGZ
2019,20.9,RWA
2019,17.0,PAK
2019,16.1,ARG
2019,15.7,NER
2019,15.5,BDI
2019,15.0,UGA
2019,14.5,CMR
2019,14.4,TZA
2019,14.2,NGA
2019,13.9,GHA
2019,13.7,TJK
2019,13.6,MDG
2019,11.2,ZMB
2019,10.5,MWI
2019,9.6,GIN
2019,5.6,YEM
