year,gii_ict_access,country_iso
2019,9.4,LUX
2019,9.3,ISL
2019,9.3,GBR
2019,9.1,HKG
2019,9.1,MLT
2019,9.0,DEU
2019,9.0,KOR
2019,8.8,NLD
2019,8.7,SGP
2019,8.7,CHE
2019,8.6,JPN
2019,8.6,NZL
2019,8.5,AUT
2019,8.5,USA
2019,8.5,ARE
2019,8.3,FRA
2019,8.3,SWE
2019,8.3,DNK
2019,8.2,BHR
2019,8.2,EST
2019,8.1,BEL
2019,8.1,IRL
2019,8.1,BLR
2019,8.1,SVN
2019,8.0,ESP
2019,8.0,AUS
2019,8.0,ISR
2019,8.0,PRT
2019,8.0,CAN
2019,8.0,GRC
2019,8.0,CYP
2019,7.9,QAT
2019,7.8,KWT
2019,7.8,HUN
2019,7.8,NOR
2019,7.7,ARM
2019,7.7,SRB
2019,7.7,OMN
2019,7.7,BRN
2019,7.6,HRV
2019,7.5,KAZ
2019,7.5,URY
2019,7.5,MYS
2019,7.5,SAU
2019,7.5,TTO
2019,7.4,LVA
2019,7.4,MNE
2019,7.4,ITA
2019,7.4,MUS
2019,7.4,POL
2019,7.4,RUS
2019,7.4,FIN
2019,7.4,SVK
2019,7.4,LTU
2019,7.3,ARG
2019,7.3,MDA
2019,7.3,CHL
2019,7.3,IRN
2019,7.2,GEO
2019,7.2,CZE
2019,7.1,ROU
2019,7.0,BGR
2019,6.8,MKD
2019,6.7,AZE
2019,6.7,UKR
2019,6.6,BIH
2019,6.6,CRI
2019,6.5,LBN
2019,6.5,TUR
2019,6.4,MAR
2019,6.4,PAN
2019,6.2,BRA
2019,6.2,JOR
2019,6.1,COL
2019,6.0,CHN
2019,5.7,TUN
2019,5.7,THA
2019,5.6,EGY
2019,5.5,MEX
2019,5.4,ZAF
2019,5.4,JAM
2019,5.3,ALB
2019,5.3,DZA
2019,5.2,BWA
2019,5.1,IDN
2019,5.1,ECU
2019,5.1,PER
2019,5.0,LKA
2019,4.9,MNG
2019,4.9,VNM
2019,4.9,GTM
2019,4.8,BOL
2019,4.8,SLV
2019,4.7,PHL
2019,4.7,KGZ
2019,4.6,DOM
2019,4.6,GHA
2019,4.5,NAM
2019,4.4,NIC
2019,4.4,PRY
2019,4.2,NPL
2019,4.2,KHM
2019,4.1,HND
2019,4.0,KEN
2019,3.8,IND
2019,3.8,SEN
2019,3.7,CIV
2019,3.6,ZWE
2019,3.6,BGD
2019,3.6,MLI
2019,3.5,PAK
2019,3.5,CMR
2019,3.4,TGO
2019,3.2,BFA
2019,3.1,BEN
2019,3.1,ZMB
2019,3.0,NGA
2019,3.0,GIN
2019,2.8,RWA
2019,2.7,UGA
2019,2.6,TZA
2019,2.4,BDI
2019,2.3,MWI
2019,2.3,ETH
2019,2.2,MDG
2019,2.1,MOZ
