year,gii_ict_services_imports,country_iso
2019,8.1,CYP
2019,4.2,CHE
2019,3.9,QAT
2019,3.7,FIN
2019,3.5,NER
2019,3.3,SWE
2019,3.1,MLI
2019,3.1,LUX
2019,3.0,DNK
2019,2.8,NOR
2019,2.7,SGP
2019,2.6,SEN
2019,2.6,MNE
2019,2.5,MDG
2019,2.5,URY
2019,2.3,ROU
2019,2.3,NLD
2019,2.3,AUT
2019,2.3,ISL
2019,2.3,BEL
2019,2.2,BFA
2019,2.2,FRA
2019,2.2,EST
2019,2.1,ISR
2019,2.1,DEU
2019,2.1,SRB
2019,2.0,LKA
2019,1.9,MDA
2019,1.9,CIV
2019,1.8,GBR
2019,1.8,LBN
2019,1.7,ITA
2019,1.7,LVA
2019,1.7,JPN
2019,1.6,BRA
2019,1.6,MUS
2019,1.6,BDI
2019,1.6,ESP
2019,1.5,ARG
2019,1.5,USA
2019,1.5,SVN
2019,1.5,ALB
2019,1.5,HRV
2019,1.5,MOZ
2019,1.5,RUS
2019,1.5,IRL
2019,1.5,MWI
2019,1.4,MYS
2019,1.4,NZL
2019,1.4,CRI
2019,1.4,COL
2019,1.4,MKD
2019,1.4,SAU
2019,1.3,IDN
2019,1.3,CZE
2019,1.3,POL
2019,1.3,JAM
2019,1.3,HUN
2019,1.2,PER
2019,1.2,ZAF
2019,1.2,MLT
2019,1.2,IND
2019,1.1,BEN
2019,1.1,PRT
2019,1.1,BGR
2019,1.1,MNG
2019,1.1,CMR
2019,1.1,EGY
2019,1.1,GRC
2019,1.0,BWA
2019,1.0,AUS
2019,1.0,SVK
2019,0.9,PAK
2019,0.9,ARE
2019,0.9,GTM
2019,0.9,NAM
2019,0.9,CAN
2019,0.9,BOL
2019,0.9,UKR
2019,0.9,ZWE
2019,0.9,NGA
2019,0.8,HND
2019,0.8,PHL
2019,0.8,LTU
2019,0.8,CHN
2019,0.8,BRN
2019,0.8,TGO
2019,0.7,CHL
2019,0.7,ETH
2019,0.7,GEO
2019,0.7,DZA
2019,0.7,KWT
2019,0.7,BLR
2019,0.7,ZMB
2019,0.6,KGZ
2019,0.6,RWA
2019,0.6,KHM
2019,0.6,UGA
2019,0.6,KAZ
2019,0.6,SLV
2019,0.6,BIH
2019,0.5,ARM
2019,0.5,MAR
2019,0.5,IRN
2019,0.5,KOR
2019,0.5,AZE
2019,0.5,DOM
2019,0.5,TTO
2019,0.4,YEM
2019,0.4,TUN
2019,0.4,BHR
2019,0.3,HKG
2019,0.3,PAN
2019,0.3,OMN
2019,0.3,TZA
2019,0.3,KEN
2019,0.3,NIC
2019,0.2,JOR
2019,0.2,GIN
2019,0.2,BGD
2019,0.2,NPL
2019,0.2,TJK
2019,0.2,THA
2019,0.2,TUR
2019,0.0,MEX
2019,0.0,VNM
2019,0.0,ECU
2019,0.0,PRY
