year,gii_innovation_output,country_iso
2019,63.5,CHE
2019,57.5,NLD
2019,56.9,SWE
2019,54.4,GBR
2019,52.8,CHN
2019,52.6,USA
2019,51.6,FIN
2019,51.6,ISR
2019,51.1,DEU
2019,50.1,IRL
2019,49.2,LUX
2019,47.5,DNK
2019,47.2,KOR
2019,45.0,FRA
2019,44.6,SGP
2019,44.4,HKG
2019,44.3,JPN
2019,44.0,ISL
2019,43.8,EST
2019,43.4,MLT
2019,43.4,CZE
2019,41.4,CAN
2019,41.1,CYP
2019,39.6,BEL
2019,39.1,AUT
2019,38.7,HUN
2019,38.5,NOR
2019,38.4,ESP
2019,37.9,ITA
2019,36.4,SVN
2019,36.3,AUS
2019,36.0,NZL
2019,35.6,SVK
2019,35.2,LVA
2019,34.6,PRT
2019,34.1,UKR
2019,33.9,VNM
2019,32.6,BGR
2019,32.4,MYS
2019,32.3,LTU
2019,31.7,POL
2019,30.7,PHL
2019,30.7,THA
2019,30.3,MNG
2019,30.3,MDA
2019,30.0,MNE
2019,29.9,IRN
2019,29.3,CRI
2019,28.6,TUR
2019,28.6,ARM
2019,28.5,IND
2019,28.3,HRV
2019,28.0,ROU
2019,27.6,GRC
2019,27.4,MEX
2019,27.2,KWT
2019,26.9,SRB
2019,26.7,ARE
2019,26.1,RUS
2019,25.8,GEO
2019,25.3,URY
2019,25.0,CHL
2019,24.9,MKD
2019,24.2,KEN
2019,23.5,TUN
2019,23.3,MAR
2019,22.9,BRA
2019,22.3,ZAF
2019,22.1,JAM
2019,22.1,QAT
2019,22.1,JOR
2019,21.9,PAN
2019,21.8,TZA
2019,21.6,EGY
2019,21.6,ARG
2019,20.9,COL
2019,20.8,LKA
2019,20.8,IDN
2019,20.4,BIH
2019,20.1,ETH
2019,20.1,SEN
2019,20.0,LBN
2019,19.7,TJK
2019,19.7,KHM
2019,19.5,SAU
2019,19.4,PER
2019,19.3,BHR
2019,19.2,DOM
2019,19.1,PAK
2019,18.8,AZE
2019,18.7,CIV
2019,18.3,KAZ
2019,18.3,ALB
2019,18.2,PRY
2019,18.1,BLR
2019,18.0,MUS
2019,17.7,GHA
2019,17.7,ECU
2019,17.5,TTO
2019,17.3,MLI
2019,16.9,OMN
2019,16.8,GTM
2019,16.7,NAM
2019,16.5,HND
2019,16.4,NGA
2019,16.1,CMR
2019,15.5,UGA
2019,15.5,BGD
2019,15.5,MDG
2019,15.4,ZWE
2019,15.3,KGZ
2019,15.3,MWI
2019,15.1,BOL
2019,14.8,MOZ
2019,14.3,BFA
2019,14.2,SLV
2019,14.0,BWA
2019,13.3,DZA
2019,13.0,NPL
2019,13.0,BRN
2019,12.7,ZMB
2019,12.1,NIC
2019,11.3,RWA
2019,11.2,GIN
2019,9.4,BEN
2019,8.8,BDI
2019,8.3,NER
2019,7.3,TGO
2019,6.4,YEM
