year,gii_institutions,country_iso
2019,94.9,SGP
2019,93.9,NOR
2019,93.6,FIN
2019,92.3,CAN
2019,92.1,NZL
2019,91.7,DNK
2019,91.1,HKG
2019,90.9,NLD
2019,90.1,SWE
2019,89.9,JPN
2019,89.7,USA
2019,89.1,CHE
2019,88.8,AUS
2019,87.1,GBR
2019,86.8,ISL
2019,86.4,DEU
2019,86.0,AUT
2019,85.5,IRL
2019,83.2,FRA
2019,82.3,SVN
2019,82.0,BEL
2019,81.8,PRT
2019,81.7,EST
2019,80.7,LUX
2019,80.3,CYP
2019,79.7,KOR
2019,78.9,BRN
2019,78.8,ARE
2019,78.6,CZE
2019,78.1,ESP
2019,77.9,ISR
2019,77.2,LVA
2019,76.0,LTU
2019,75.3,ITA
2019,75.2,MLT
2019,74.3,GEO
2019,73.6,POL
2019,73.1,SVK
2019,73.0,CHL
2019,71.6,MYS
2019,71.6,HUN
2019,71.3,JAM
2019,69.7,MKD
2019,69.3,URY
2019,69.3,HRV
2019,68.9,MNE
2019,68.7,SRB
2019,68.3,BGR
2019,68.3,KAZ
2019,68.1,RWA
2019,67.2,GRC
2019,67.1,ROU
2019,66.2,QAT
2019,66.0,BHR
2019,65.9,ZAF
2019,65.8,ALB
2019,65.8,THA
2019,65.7,BWA
2019,64.5,AZE
2019,64.1,CHN
2019,64.0,COL
2019,63.6,MUS
2019,63.4,TTO
2019,63.2,ARM
2019,62.9,PAN
2019,62.8,MEX
2019,62.1,JOR
2019,61.9,CRI
2019,61.5,OMN
2019,61.2,PER
2019,61.2,NAM
2019,61.1,MAR
2019,61.1,TUN
2019,60.9,RUS
2019,60.4,SEN
2019,59.8,MNG
2019,59.5,IND
2019,59.2,KEN
2019,58.9,BIH
2019,58.9,BRA
2019,58.6,VNM
2019,58.4,MDA
2019,57.7,BLR
2019,57.5,CIV
2019,57.4,TUR
2019,56.7,ARG
2019,56.6,BEN
2019,56.4,BFA
2019,56.0,PHL
2019,55.6,KWT
2019,55.2,UGA
2019,54.6,KGZ
2019,54.4,NER
2019,54.3,DOM
2019,53.9,SLV
2019,53.9,UKR
2019,53.4,TGO
2019,53.4,TZA
2019,53.2,IDN
2019,53.1,PAK
2019,52.5,NIC
2019,51.8,LBN
2019,51.4,MLI
2019,51.3,SAU
2019,51.3,MWI
2019,51.1,DZA
2019,50.7,LKA
2019,50.6,GIN
2019,49.9,MDG
2019,49.8,NPL
2019,49.6,CMR
2019,49.6,KHM
2019,49.4,PRY
2019,49.3,NGA
2019,48.9,GHA
2019,48.8,IRN
2019,48.1,GTM
2019,47.9,EGY
2019,47.5,ETH
2019,47.1,ZMB
2019,46.9,HND
2019,46.0,TJK
2019,45.6,BDI
2019,45.5,BGD
2019,44.7,ECU
2019,43.7,MOZ
2019,37.6,ZWE
2019,36.8,BOL
2019,27.5,YEM
