year,gii_mobile_apps,country_iso
2019,27.9,CYP
2019,3.2,FIN
2019,2.9,ISR
2019,2.8,LTU
2019,2.0,HKG
2019,1.9,BLR
2019,1.9,EST
2019,1.8,SWE
2019,1.6,LUX
2019,1.5,SGP
2019,1.4,DNK
2019,1.3,KOR
2019,1.2,VNM
2019,1.1,FRA
2019,1.0,CHE
2019,0.9,LBN
2019,0.9,USA
2019,0.7,GBR
2019,0.7,UKR
2019,0.7,MDA
2019,0.7,SRB
2019,0.6,SVN
2019,0.5,TUR
2019,0.5,CAN
2019,0.5,IRL
2019,0.5,RUS
2019,0.5,CZE
2019,0.5,NLD
2019,0.5,ROU
2019,0.5,NOR
2019,0.5,NZL
2019,0.4,JOR
2019,0.4,AUT
2019,0.4,POL
2019,0.4,JPN
2019,0.4,BRA
2019,0.3,AUS
2019,0.3,ESP
2019,0.3,MLT
2019,0.3,DEU
2019,0.3,LVA
2019,0.3,IND
2019,0.3,SVK
2019,0.2,MKD
2019,0.2,BGR
2019,0.2,HUN
2019,0.2,ARE
2019,0.2,ARG
2019,0.1,IDN
2019,0.1,URY
2019,0.1,THA
2019,0.1,GEO
2019,0.1,HRV
2019,0.1,MYS
2019,0.1,PAK
2019,0.1,PAN
2019,0.1,GRC
2019,0.1,ITA
2019,0.1,PRT
2019,0.1,ARM
2019,0.1,CHL
2019,0.1,BEL
2019,0.0,PHL
2019,0.0,ISL
2019,0.0,NPL
2019,0.0,MEX
2019,0.0,KWT
2019,0.0,BGD
2019,0.0,LKA
2019,0.0,ECU
2019,0.0,MAR
2019,0.0,COL
2019,0.0,CRI
2019,0.0,KHM
2019,0.0,ZAF
2019,0.0,YEM
2019,0.0,SAU
2019,0.0,QAT
2019,0.0,TUN
2019,0.0,BIH
2019,0.0,NGA
2019,0.0,EGY
2019,0.0,MNG
2019,0.0,PER
2019,0.0,KGZ
2019,0.0,HND
2019,0.0,BHR
2019,0.0,BOL
2019,0.0,KEN
2019,0.0,KAZ
2019,0.0,PRY
2019,0.0,DOM
2019,0.0,AZE
2019,0.0,DZA
2019,0.0,SLV
2019,0.0,IRN
2019,0.0,GTM
2019,0.0,ETH
