year,gii_patent_applications,country_iso
2019,53.7,CHN
2019,17.5,DEU
2019,47.8,JPN
2019,78.2,KOR
2019,16.5,CHE
2019,15.1,USA
2019,13.1,FIN
2019,12.5,DNK
2019,11.5,LUX
2019,11.2,SWE
2019,10.2,SVN
2019,10.0,NLD
2019,9.7,AUT
2019,9.3,IRN
2019,8.8,FRA
2019,6.4,GBR
2019,6.2,UKR
2019,6.0,KGZ
2019,6.0,BEL
2019,5.8,RUS
2019,5.6,ITA
2019,5.4,NZL
2019,5.2,MLT
2019,5.1,ISL
2019,4.5,ISR
2019,4.4,NOR
2019,4.2,TUR
2019,3.9,POL
2019,3.9,ARM
2019,3.1,BLR
2019,3.1,MNG
2019,3.1,MDA
2019,3.0,SGP
2019,2.7,CZE
2019,2.5,PRT
2019,2.4,KAZ
2019,2.4,ROU
2019,2.3,CAN
2019,2.2,IRL
2019,2.2,EST
2019,2.2,ESP
2019,2.0,HUN
2019,2.0,AUS
2019,2.0,GRC
2019,1.9,LVA
2019,1.9,BIH
2019,1.9,CYP
2019,1.9,GEO
2019,1.7,SRB
2019,1.7,BRA
2019,1.6,MKD
2019,1.6,IND
2019,1.5,HRV
2019,1.5,BGR
2019,1.3,LBN
2019,1.2,TUN
2019,1.2,MYS
2019,1.2,SVK
2019,1.1,LTU
2019,1.1,AZE
2019,1.0,LKA
2019,1.0,MNE
2019,0.9,ZAF
2019,0.9,CHL
2019,0.9,VNM
2019,0.8,COL
2019,0.8,KEN
2019,0.8,EGY
2019,0.8,THA
2019,0.7,HKG
2019,0.7,BOL
2019,0.7,IDN
2019,0.7,SAU
2019,0.7,MAR
2019,0.6,ALB
2019,0.5,MEX
2019,0.4,MOZ
2019,0.4,ARG
2019,0.4,JAM
2019,0.4,SEN
2019,0.4,NAM
2019,0.4,PHL
2019,0.3,CMR
2019,0.3,NER
2019,0.3,PAN
2019,0.3,PRY
2019,0.3,URY
2019,0.3,JOR
2019,0.3,NPL
2019,0.2,ZWE
2019,0.2,DZA
2019,0.2,BRN
2019,0.2,PER
2019,0.2,CRI
2019,0.2,MDG
2019,0.2,MLI
2019,0.2,CIV
2019,0.2,YEM
2019,0.2,UGA
2019,0.2,BHR
2019,0.2,PAK
2019,0.2,ZMB
2019,0.2,BFA
2019,0.2,TGO
2019,0.1,MWI
2019,0.1,ARE
2019,0.1,RWA
2019,0.1,BEN
2019,0.1,DOM
2019,0.1,GHA
2019,0.1,BGD
2019,0.1,HND
2019,0.1,TJK
2019,0.1,ECU
2019,0.1,QAT
2019,0.1,SLV
2019,0.1,BWA
2019,0.1,TTO
2019,0.1,NGA
2019,0.0,OMN
2019,0.0,KHM
2019,0.0,GIN
2019,0.0,MUS
2019,0.0,NIC
2019,0.0,GTM
2019,0.0,TZA
