year,gii_rule_of_law,country_iso
2019,2.0,FIN
2019,2.0,NOR
2019,1.9,SWE
2019,1.9,CHE
2019,1.9,NZL
2019,1.9,DNK
2019,1.8,NLD
2019,1.8,SGP
2019,1.8,AUT
2019,1.8,CAN
2019,1.7,LUX
2019,1.7,HKG
2019,1.7,AUS
2019,1.7,GBR
2019,1.6,USA
2019,1.6,DEU
2019,1.6,ISL
2019,1.6,JPN
2019,1.4,FRA
2019,1.4,IRL
2019,1.3,BEL
2019,1.3,EST
2019,1.2,KOR
2019,1.1,MLT
2019,1.1,PRT
2019,1.1,CZE
2019,1.0,SVN
2019,1.0,ISR
2019,1.0,CHL
2019,1.0,ESP
2019,1.0,LTU
2019,0.9,LVA
2019,0.9,CYP
2019,0.8,ARE
2019,0.7,QAT
2019,0.7,MUS
2019,0.6,BRN
2019,0.6,URY
2019,0.6,SVK
2019,0.5,HUN
2019,0.5,BWA
2019,0.5,POL
2019,0.5,CRI
2019,0.4,BHR
2019,0.4,OMN
2019,0.4,MYS
2019,0.4,ROU
2019,0.3,HRV
2019,0.3,GEO
2019,0.3,ITA
2019,0.3,JOR
2019,0.2,NAM
2019,0.1,GHA
2019,0.1,RWA
2019,0.1,KWT
2019,0.1,SAU
2019,0.1,GRC
2019,0.1,TUN
2019,0.1,VNM
2019,0.1,LKA
2019,0.0,THA
2019,0.0,PAN
2019,0.0,MNE
2019,0.0,IND
2019,0.0,ZAF
2019,0.0,BGR
2019,-0.1,TTO
2019,-0.1,SEN
2019,-0.2,ARM
2019,-0.2,JAM
2019,-0.2,MAR
2019,-0.2,SRB
2019,-0.2,BIH
2019,-0.2,MKD
2019,-0.2,ARG
2019,-0.3,TUR
2019,-0.3,CHN
2019,-0.3,BRA
2019,-0.3,UGA
2019,-0.3,MNG
2019,-0.3,ZMB
2019,-0.3,IDN
2019,-0.4,COL
2019,-0.4,MWI
2019,-0.4,ALB
2019,-0.4,BFA
2019,-0.4,KAZ
2019,-0.4,KEN
2019,-0.4,MDA
2019,-0.4,PHL
2019,-0.4,DOM
2019,-0.4,TZA
2019,-0.5,ETH
2019,-0.5,PER
2019,-0.5,EGY
2019,-0.6,AZE
2019,-0.6,MEX
2019,-0.6,BEN
2019,-0.6,CIV
2019,-0.6,NIC
2019,-0.7,PRY
2019,-0.7,BGD
2019,-0.7,NER
2019,-0.7,NPL
2019,-0.7,IRN
2019,-0.7,ECU
2019,-0.7,UKR
2019,-0.7,TGO
2019,-0.7,PAK
2019,-0.8,MLI
2019,-0.8,RUS
2019,-0.8,BLR
2019,-0.8,LBN
2019,-0.9,SLV
2019,-0.9,MDG
2019,-0.9,DZA
2019,-0.9,NGA
2019,-0.9,KGZ
2019,-1.0,MOZ
2019,-1.0,CMR
2019,-1.0,HND
2019,-1.1,KHM
2019,-1.1,GTM
2019,-1.2,BOL
2019,-1.2,GIN
2019,-1.4,TJK
2019,-1.4,ZWE
2019,-1.4,BDI
2019,-1.8,YEM
