year,gii_top_level_domains,country_iso
2019,278.3,ISL
2019,388.9,USA
2019,260.8,MLT
2019,252.9,LUX
2019,219.6,NLD
2019,212.8,CAN
2019,209.4,CYP
2019,200.1,HKG
2019,184.9,PAN
2019,175.6,AUS
2019,169.9,IRL
2019,168.9,GBR
2019,164.9,CHE
2019,147.2,DEU
2019,141.2,NOR
2019,135.5,DNK
2019,120.2,SWE
2019,113.9,FRA
2019,100.4,AUT
2019,90.6,NZL
2019,81.3,FIN
2019,77.9,ESP
2019,71.3,SGP
2019,64.8,ITA
2019,63.7,BGR
2019,62.3,ISR
2019,59.2,BEL
2019,58.4,SVN
2019,52.4,PRT
2019,47.5,CZE
2019,43.0,JPN
2019,39.6,HRV
2019,36.8,MUS
2019,36.5,LTU
2019,33.4,GRC
2019,32.7,TUR
2019,31.6,CRI
2019,30.2,ARE
2019,29.1,HUN
2019,27.5,EST
2019,26.5,LVA
2019,23.6,NAM
2019,22.5,KOR
2019,21.3,KWT
2019,20.8,BRN
2019,19.3,POL
2019,18.8,MKD
2019,18.4,ALB
2019,18.1,LBN
2019,18.0,URY
2019,17.3,MYS
2019,15.1,THA
2019,14.7,PER
2019,14.6,JOR
2019,13.0,BHR
2019,12.8,ROU
2019,12.5,UKR
2019,12.1,TTO
2019,11.6,GTM
2019,10.2,QAT
2019,9.9,RUS
2019,8.5,ARG
2019,8.5,ZAF
2019,8.5,ARM
2019,8.4,SVK
2019,8.0,COL
2019,7.9,SAU
2019,7.9,NIC
2019,7.6,BIH
2019,7.6,TUN
2019,7.1,DOM
2019,7.0,MEX
2019,7.0,SLV
2019,6.9,VNM
2019,6.9,CHN
2019,6.1,CHL
2019,5.9,ECU
2019,5.6,MDA
2019,5.1,IRN
2019,5.0,BOL
2019,5.0,JAM
2019,4.9,GEO
2019,4.9,BLR
2019,4.8,OMN
2019,4.8,PRY
2019,4.4,MAR
2019,4.4,BRA
2019,4.3,IDN
2019,4.2,MNE
2019,4.0,SRB
2019,3.3,EGY
2019,3.2,PHL
2019,3.0,BWA
2019,2.8,AZE
2019,2.8,SEN
2019,2.8,NER
2019,2.7,KEN
2019,2.7,IND
2019,2.2,KHM
2019,2.2,LKA
2019,1.8,MNG
2019,1.8,GHA
2019,1.8,BEN
2019,1.8,TGO
2019,1.7,PAK
2019,1.6,HND
2019,1.4,NGA
2019,1.4,DZA
2019,1.4,CIV
2019,1.3,NPL
2019,1.1,ZWE
2019,1.0,BGD
2019,1.0,YEM
2019,1.0,KAZ
2019,0.7,UGA
2019,0.6,KGZ
2019,0.5,CMR
2019,0.5,MWI
2019,0.5,TZA
2019,0.5,RWA
2019,0.5,MLI
2019,0.4,MDG
2019,0.4,ZMB
2019,0.2,BFA
2019,0.2,TJK
2019,0.2,GIN
2019,0.2,BDI
2019,0.1,MOZ
2019,0.1,ETH
