year,gii_wikipedia_edits,country_iso
2019,148.4,ISR
2019,133.5,EST
2019,106.6,SWE
2019,104.8,ISL
2019,104.3,NOR
2019,102.5,ARM
2019,99.7,LVA
2019,98.1,FIN
2019,87.7,LUX
2019,86.3,NLD
2019,84.1,HKG
2019,83.0,SVN
2019,69.3,GBR
2019,68.1,URY
2019,64.7,FRA
2019,59.7,NZL
2019,58.8,ESP
2019,56.1,CZE
2019,54.3,LTU
2019,54.2,AUT
2019,53.7,HUN
2019,52.1,DEU
2019,51.2,CYP
2019,49.5,IRL
2019,49.0,CAN
2019,48.0,DNK
2019,47.4,CHE
2019,47.2,AUS
2019,47.1,MKD
2019,46.2,BGR
2019,44.5,GEO
2019,44.1,ITA
2019,41.9,MLT
2019,41.7,BIH
2019,40.2,SRB
2019,34.3,POL
2019,33.2,HRV
2019,31.1,UKR
2019,30.7,BEL
2019,26.8,SVK
2019,26.2,AZE
2019,26.1,USA
2019,24.3,GRC
2019,24.3,MNE
2019,23.8,SGP
2019,23.4,PRT
2019,22.2,BLR
2019,21.7,JOR
2019,19.7,RUS
2019,18.6,JPN
2019,17.7,KOR
2019,17.3,KAZ
2019,17.1,MDA
2019,16.3,KWT
2019,16.2,BHR
2019,16.2,CHL
2019,16.0,ALB
2019,15.7,MNG
2019,14.6,PAN
2019,12.5,ROU
2019,12.1,ARG
2019,11.0,CRI
2019,9.9,ARE
2019,9.4,IRN
2019,9.4,MYS
2019,8.4,QAT
2019,8.0,TTO
2019,7.5,LBN
2019,7.3,KGZ
2019,7.1,VNM
2019,6.3,BRA
2019,6.2,LKA
2019,6.1,NPL
2019,6.0,SAU
2019,5.9,MUS
2019,5.8,PER
2019,5.7,OMN
2019,5.7,DOM
2019,5.7,BRN
2019,5.6,THA
2019,5.2,MAR
2019,5.0,ECU
2019,4.8,SLV
2019,4.7,COL
2019,4.4,TUR
2019,4.2,PRY
2019,4.2,ZAF
2019,3.9,GTM
2019,3.8,PHL
2019,3.7,DZA
2019,3.6,NAM
2019,3.5,BOL
2019,3.4,MEX
2019,2.9,TUN
2019,2.9,HND
2019,2.6,TJK
2019,2.5,EGY
2019,2.3,JAM
2019,2.0,IDN
2019,1.8,KHM
2019,1.6,PAK
2019,1.1,YEM
2019,1.0,KEN
2019,1.0,BGD
2019,1.0,IND
2019,0.9,BEN
2019,0.6,UGA
2019,0.5,CIV
2019,0.4,MDG
2019,0.4,BWA
2019,0.3,CHN
2019,0.3,NGA
2019,0.3,ZWE
2019,0.2,SEN
2019,0.2,TZA
2019,0.2,MOZ
2019,0.2,RWA
2019,0.2,TGO
2019,0.1,CMR
2019,0.1,ZMB
2019,0.1,MLI
2019,0.1,BDI
2019,0.0,ETH
2019,0.0,MWI
2019,0.0,BFA
2019,0.0,GIN
2019,0.0,NER
