year,global_innovation_index,country_iso
2019,67.2,CHE
2019,63.7,SWE
2019,61.7,USA
2019,61.4,NLD
2019,61.3,GBR
2019,59.8,FIN
2019,58.4,DNK
2019,58.4,SGP
2019,58.2,DEU
2019,57.4,ISR
2019,56.6,KOR
2019,56.1,IRL
2019,55.5,HKG
2019,54.8,CHN
2019,54.7,JPN
2019,54.2,FRA
2019,53.9,CAN
2019,53.5,LUX
2019,51.9,NOR
2019,51.5,ISL
2019,50.9,AUT
2019,50.3,AUS
2019,50.2,BEL
2019,50.0,EST
2019,49.6,NZL
2019,49.4,CZE
2019,49.0,MLT
2019,48.3,CYP
2019,47.9,ESP
2019,46.3,ITA
2019,45.3,SVN
2019,44.6,PRT
2019,44.5,HUN
2019,43.2,LVA
2019,42.7,MYS
2019,42.2,ARE
2019,42.0,SVK
2019,41.5,LTU
2019,41.3,POL
2019,40.3,BGR
2019,38.9,GRC
2019,38.8,VNM
2019,38.6,THA
2019,37.8,HRV
2019,37.7,MNE
2019,37.6,RUS
2019,37.4,UKR
2019,37.0,GEO
2019,36.9,TUR
2019,36.8,ROU
2019,36.6,CHL
2019,36.6,IND
2019,36.3,MNG
2019,36.2,PHL
2019,36.1,CRI
2019,36.1,MEX
2019,35.7,SRB
2019,35.5,MDA
2019,35.3,MKD
2019,34.6,KWT
2019,34.4,IRN
2019,34.3,URY
2019,34.0,ZAF
2019,34.0,ARM
2019,33.9,QAT
2019,33.8,BRA
2019,33.0,COL
2019,32.9,SAU
2019,32.9,PER
2019,32.8,TUN
2019,32.3,BRN
2019,32.1,BLR
2019,31.9,ARG
2019,31.6,MAR
2019,31.5,PAN
2019,31.4,BIH
2019,31.1,KEN
2019,31.1,BHR
2019,31.0,KAZ
2019,31.0,OMN
2019,30.8,JAM
2019,30.6,MUS
2019,30.3,ALB
2019,30.2,AZE
2019,29.7,IDN
2019,29.6,JOR
2019,28.6,DOM
2019,28.5,LBN
2019,28.5,LKA
2019,28.4,KGZ
2019,28.1,TTO
2019,27.5,EGY
2019,27.4,BWA
2019,27.4,RWA
2019,27.1,PRY
2019,26.8,SEN
2019,26.6,TZA
2019,26.6,KHM
2019,26.6,ECU
2019,26.4,TJK
2019,25.9,NAM
2019,25.6,UGA
2019,25.6,CIV
2019,25.5,HND
2019,25.4,PAK
2019,25.3,GHA
2019,25.1,GTM
2019,24.9,SLV
2019,24.9,NPL
2019,24.8,BOL
2019,24.2,ETH
2019,24.0,MLI
2019,24.0,DZA
2019,23.9,NGA
2019,23.9,CMR
2019,23.3,BGD
2019,23.3,BFA
2019,23.0,MWI
2019,22.9,MOZ
2019,22.5,NIC
2019,22.4,MDG
2019,22.3,ZWE
2019,20.4,BEN
2019,20.4,ZMB
2019,19.5,GIN
2019,18.5,TGO
2019,18.1,NER
2019,17.6,BDI
2019,14.5,YEM
