happiness_index,country_iso
7.769,FIN
7.6,DNK
7.553999999999999,NOR
7.494,ISL
7.4879999999999995,NLD
7.48,CHE
7.343,SWE
7.307,NZL
7.278,CAN
7.246,AUT
7.228,AUS
7.167000000000001,CRI
7.138999999999999,ISR
7.09,LUX
7.053999999999999,MNE
7.021,IRL
6.985,DEU
6.922999999999999,BEL
6.892,USA
6.852,CAF
6.825,ARE
6.726,MLT
6.595,MEX
6.5920000000000005,FRA
6.446000000000001,TWN
6.444,CHL
6.436,GTM
6.375,SAU
6.374,QAT
6.354,ESP
6.321000000000001,PAN
6.3,BRA
6.292999999999999,URY
6.2620000000000005,SGP
6.252999999999999,SLV
6.223,ITA
6.199,BHR
6.1979999999999995,SVK
6.192,TTO
6.182,POL
6.1739999999999995,UZB
6.149,LTU
6.125,COL
6.117999999999999,SVN
6.105,NIC
6.1,RKS
6.086,ARG
6.07,ROU
6.046,CYP
6.028,ECU
6.021,KWT
6.007999999999999,THA
5.94,LVA
5.895,ZAF
5.893,EST
5.89,JAM
5.888,MUS
5.886,JPN
5.86,HND
5.809,KAZ
5.779,SOM
5.757999999999999,HUN
5.742999999999999,PRY
5.718,CYP
5.697,PER
5.693,PRT
5.653,PAK
5.648,TUN
5.631,PHL
5.603,SRB
5.529,MDA
5.525,LBY
5.523,MNE
5.4670000000000005,TJK
5.432,HRV
5.43,HKG
5.425,DOM
5.386,BIH
5.372999999999999,TUR
5.3389999999999995,MYS
5.3229999999999995,BLR
5.287000000000001,GRC
5.285,MNG
5.274,NCL
5.265,NGA
5.261,KGZ
5.247000000000001,TKM
5.211,DZA
5.207999999999999,MAR
5.207999999999999,AZE
5.197,LBN
5.192,IDN
5.191,CHN
5.175,VNM
5.082,BTN
5.044,CMR
5.011,BGR
4.996,GHA
4.944,CIV
4.913,NPL
4.906000000000001,JOR
4.883,BEN
4.7989999999999995,GAB
4.796,LBN
4.7219999999999995,ZAF
4.718999999999999,ALB
4.707,SEN
4.7,KHM
4.696000000000001,ATF
4.681,SEN
4.668,SOM
4.638999999999999,NAM
4.628,NER
4.587,BFA
4.559,ARM
4.548,IRQ
4.534,GIN
4.519,GEO
4.516,GMB
4.5089999999999995,KEN
4.49,MRT
4.466,MOZ
4.461,TUN
4.456,BGD
4.437,IRQ
4.418,MNG
4.39,MLI
4.374,SLE
4.3660000000000005,LKA
4.36,MMR
4.35,TCD
4.332,UKR
4.2860000000000005,ETH
4.212,SWZ
4.189,UGA
4.166,EGY
4.107,ZMB
4.085,TGO
4.015,IND
3.975,LBR
3.9730000000000003,COM
3.9330000000000003,MDG
3.802,LSO
3.775,BDI
3.6630000000000003,ZWE
3.597,HTI
3.488,BWA
3.4619999999999997,SRB
3.41,MWI
3.38,YEM
3.3339999999999996,RWA
3.2310000000000003,PAN
3.2030000000000003,AFG
3.083,CAF
2.853,SSD
