year,total_hospital_density_per_100k,country_iso
2013,0.37,AFG
2013,1.36,ALB
2013,1.11,ATG
2013,4.03,ARM
2013,7.97,AZE
2013,1.06,BHS
2013,0.17,BGD
2013,1.05,BRB
2013,7.45,BLR
2013,2.11,BLZ
2013,0.41,BEN
2013,1.72,BTN
2013,1.07,BOL
2013,1.02,BIH
2013,1.29,BWA
2013,1.44,BRN
2013,0.31,BFA
2013,0.5,BDI
2013,1.0,CPV
2013,0.57,KHM
2013,0.79,CMR
2013,2.27,CAN
2013,0.48,CAF
2013,0.65,TCD
2013,1.04,CHL
2013,0.68,COM
2013,0.84,CRI
2013,1.71,CIV
2013,1.54,HRV
2013,2.04,CUB
2013,7.54,CYP
2013,1.29,CZE
2013,6.86,PRK
2013,0.45,COD
2013,1.01,DNK
2013,5.56,DMA
2013,0.33,ECU
2013,0.62,EGY
2013,0.47,SLV
2013,0.36,ERI
2013,1.94,EST
2013,0.8,EST
2013,0.22,ETH
2013,0.0,FJI
2013,1.38,FIN
2013,3.53,GAB
2013,0.7,GMB
2013,2.21,GEO
2013,1.36,GHA
2013,0.94,GRD
2013,0.34,GTM
2013,0.37,GIN
2013,56.45,GNB
2013,3.38,GUY
2013,0.24,HTI
2013,0.36,HND
2013,1.02,HUN
2013,3.64,ISL
2013,0.43,IDN
2013,0.95,IRQ
2013,0.56,ISR
2013,2.08,ITA
2013,0.75,JAM
2013,1.94,JOR
2013,3.52,KAZ
2013,1.47,KEN
2013,0.0,KIR
2013,2.63,KGZ
2013,2.25,LAO
2013,1.56,LVA
2013,3.09,LBN
2013,0.37,LBR
2013,2.64,LBY
2013,2.15,LTU
2013,1.13,LUX
2013,0.47,MDG
2013,0.4,MWI
2013,0.47,MYS
2013,6.67,MDV
2013,0.46,MLI
2013,0.93,MLT
2013,3.8,MHL
2013,1.03,MRT
2013,0.96,MUS
2013,3.51,MEX
2013,4.83,FSM
2013,10.57,MCO
2013,2.5,MNG
2013,2.09,MNE
2013,0.63,MMR
2013,1.91,NAM
2013,9.95,NRU
2013,0.38,NPL
2013,0.76,NLD
2013,0.95,NIC
2013,0.55,NER
2013,1.35,OMN
2013,0.53,PAK
2013,0.91,PAN
2013,1.57,PNG
2013,2.43,PRY
2013,1.81,PHL
2013,0.94,POL
2013,,PRT
2013,3.42,KOR
2013,2.12,MDA
2013,1.68,ROU
2013,7.38,KNA
2013,1.65,LCA
2013,0.0,VCT
2013,4.2,WSM
2013,3.18,SMR
2013,,STP
2013,1.04,SAU
2013,0.16,SEN
2013,1.09,SRB
2013,1.08,SYC
2013,,SLE
2013,0.5,SGP
2013,1.54,SVK
2013,1.25,SVN
2013,0.67,ZAF
2013,1.63,ESP
2013,0.1,LKA
2013,1.35,SDN
2013,0.37,SUR
2013,4.68,TJK
2013,1.84,THA
2014,4.08,KOR
2013,0.6,TGO
2013,3.8,TON
2013,,TTO
2013,2.33,TUN
2013,1.55,TUR
2014,0.02,TUV
2013,0.4,UGA
2013,3.93,URY
2013,2.37,VUT
2013,2.97,YEM
2013,0.45,ZMB
2013,0.52,ZWE
