country_iso,year,literacy_rate
BRB,1970,99.26808167
GRD,1970,97.79447174
VCT,1970,95.63215637
MNA,1972,39.38610077
SOM,1972,5.404650211
TMN,1972,39.00685120000001
MNA,1973,39.86267853
TMN,1973,39.48749161
LAC,1974,76.4107666
LCN,1974,78.57080078
MEA,1974,43.72486877
MNA,1974,40.350860600000004
TLA,1974,77.89219666
TMN,1974,39.979831700000005
ARE,1975,53.51488113
BFA,1975,8.685150146
CAF,1975,18.23616982
EAR,1975,48.98603058
IBD,1975,61.82381058
IBT,1975,58.77996063
KWT,1975,59.56438828
LAC,1975,76.4305191
LCN,1975,78.58927917
LMC,1975,49.4342804
LMY,1975,58.22198105
MEA,1975,44.21202087
MIC,1975,59.42646027
MNA,1975,40.88713837
SAS,1975,36.16165161
TLA,1975,77.91140747
TMN,1975,40.52067947
TSA,1975,36.16165161
TUR,1975,61.62768173
URY,1975,93.86106873
BOL,1976,63.20814896
CMR,1976,41.21620941
EAP,1976,63.85319138
EAR,1976,49.20119858
EAS,1976,65.7590332
EGY,1976,38.19675827
IBD,1976,61.99391174
IBT,1976,58.93246078
IRN,1976,36.51839828
LAC,1976,76.8260498
LCN,1976,78.94712829999999
LMC,1976,49.6126709
LMY,1976,58.37461853
LTE,1976,69.01711273
MEA,1976,44.7015419
MIC,1976,59.58034897
MLI,1976,9.433810234
MNA,1976,41.41075897
NCL,1976,91.30036926
SAS,1976,36.16728973
SWZ,1976,55.32503891
TEA,1976,63.37805176
TLA,1976,78.28220367
TMN,1976,41.04875946
TON,1976,99.59246063
TSA,1976,36.16728973
UMC,1976,67.6371994
WLD,1976,65.19396210000001
EAP,1977,64.02174377
EAR,1977,49.82175827
EAS,1977,65.95391083
IBD,1977,62.3421402
IBT,1977,59.26702881
LAC,1977,77.29167938
LCN,1977,79.36488342
LMC,1977,50.15552139
LMY,1977,58.71234894
LTE,1977,69.12107086
MDV,1977,82.29995728
MEA,1977,45.30434036
MIC,1977,59.92596054
MNA,1977,42.06404114
SAS,1977,36.82207108
TEA,1977,63.5488205
TLA,1977,78.71543884
TMN,1977,41.70761108
TSA,1977,36.82207108
UMC,1977,67.82337952
WLD,1977,65.50241089
ARB,1978,47.17525101
EAP,1978,65.13854218
EAR,1978,50.4405899
EAS,1978,66.98686218
IBD,1978,63.15571976
IBT,1978,59.98915863
LAC,1978,77.77864838
LCN,1978,79.81111908
LMC,1978,50.71332169
LMY,1978,59.442951199999996
LTE,1978,70.04414368
MEA,1978,45.97380829
MIC,1978,60.69229126
MNA,1978,42.79674911
POL,1978,98.74273682
RWA,1978,38.24343109
SAS,1978,37.47076035
TEA,1978,64.68029022
TLA,1978,79.17828369
TMN,1978,42.44655991
TSA,1978,37.47076035
UMC,1978,68.75827026
WLD,1978,66.11704254
AFG,1979,18.15768051
ARB,1979,47.65140152
BDI,1979,22.50855064
BEN,1979,16.48278999
EAP,1979,66.29557037
EAR,1979,51.03562164
EAS,1979,68.05796814
GNB,1979,19.95825005
IBD,1979,63.96286011
IBT,1979,60.70854187
JOR,1979,66.79680634
LAC,1979,78.21791077
LCN,1979,80.21520996
LMC,1979,51.29830933
LMY,1979,60.17087936
LTE,1979,70.99262238
MEA,1979,46.67699051
MIC,1979,61.45643997
MNA,1979,43.55038834
SAS,1979,38.10517120000001
TEA,1979,65.85253143
TLA,1979,79.597229
TMN,1979,43.20661926
TSA,1979,38.10517120000001
UMC,1979,69.66723633
VNM,1979,83.82594299
VUT,1979,52.87392044
WLD,1979,66.73040771
ARB,1980,48.190979
ARG,1980,93.91285706
ASM,1980,97.34416199
BRA,1980,74.58673096
COM,1980,47.91923141
EAP,1980,66.81149292
EAR,1980,51.10604095
EAS,1980,68.51947784
GUM,1980,96.42064667
HUN,1980,98.85829163
IBD,1980,64.47821808
IBT,1980,61.18629074
IDB,1980,48.53673172
IDN,1980,67.31266785
KWT,1980,67.51766205
LAC,1980,78.63060759999999
LCN,1980,80.59134674
LMC,1980,51.21968079
LMY,1980,60.65351105
LTE,1980,71.89743805
MEA,1980,47.43193817
MEX,1980,82.98924255
MIC,1980,61.95087051
MNA,1980,44.38497925
MOZ,1980,26.99770927
MYS,1980,69.51632690000001
PAN,1980,88.0717392
PHL,1980,83.31723022
PLW,1980,91.92141724
PRI,1980,86.74606323
SAS,1980,38.72108841
SGP,1980,82.90605164
TEA,1980,66.37522888
THA,1980,87.98175812
TLA,1980,79.98989868
TMN,1980,44.04832077
TSA,1980,38.72108841
TTO,1980,94.97032166
TUR,1980,65.69434357
UMC,1980,70.62486267
WLD,1980,67.13516235
ZAF,1980,76.20049286
ARB,1981,48.72034073
BGD,1981,29.22723007
BHR,1981,69.75350952
BRN,1981,77.73549652
CUB,1981,97.84664917
DOM,1981,73.06456757
EAP,1981,68.50621796
EAR,1981,51.87763977
EAS,1981,70.11669159
ESP,1981,92.80976868
GRC,1981,90.51232147
IBD,1981,65.38546753
IBT,1981,61.97566986
IDA,1981,44.85261154
IDB,1981,48.645088200000004
IND,1981,40.76359177
ITA,1981,96.46054077
LAC,1981,79.04644775
LCN,1981,80.97885895
LDC,1981,41.23183823
LKA,1981,86.77792358
LMC,1981,51.984661100000004
LMY,1981,61.45259857
LTE,1981,72.81271362
MAC,1981,90.37818146
MEA,1981,48.15644073
MIC,1981,62.78771973
MNA,1981,45.18608093
MNE,1981,89.63529968
NPL,1981,20.57366943
PAK,1981,25.72518921
PER,1981,81.91845703
PRT,1981,79.43560791
SAS,1981,38.72034073
STP,1981,57.32426071
SYR,1981,55.65449905
TEA,1981,68.09223938
TLA,1981,80.38784027
TMN,1981,44.85625076
TSA,1981,38.72034073
UMC,1981,71.51981354
VEN,1981,84.73220062
WLD,1981,67.8274765
ARB,1982,49.31280136
CEB,1982,97.98486328
CHL,1982,91.12840271
CHN,1982,65.50508881
EAP,1982,69.36495209
EAR,1982,52.82164001
EAS,1982,70.87751007
ECU,1982,83.5526886
HTI,1982,34.73469162
IBD,1982,66.22316742
IBT,1982,62.73416901
IDA,1982,45.21340179
IDB,1982,49.09452057
IDX,1982,43.19889832
LAC,1982,79.46244049
LCN,1982,81.35733795
LDC,1982,41.53606033
LMC,1982,52.886291500000006
LMY,1982,62.22132111
LTE,1982,73.51553345
MAR,1982,30.25779915
MEA,1982,48.94219971
MIC,1982,63.59046936
MNA,1982,45.96107101
PRY,1982,78.45861053
SAS,1982,39.95093155
TEA,1982,68.96225739
TLA,1982,80.77571869
TMN,1982,45.63782883
TSA,1982,39.95093155
UMC,1982,72.24263
WLD,1982,68.46584320000001
ZWE,1982,77.79416656
ARB,1983,49.46091079999999
CEB,1983,98.00900269
EAP,1983,70.66796112
EAR,1983,53.43305969
EAS,1983,72.06401062
ECA,1983,93.70716095
IBD,1983,67.11998749
IBT,1983,63.53647995
IDA,1983,45.541088099999996
IDB,1983,49.41878891
IDX,1983,43.52835083
ISR,1983,91.75141144
LAC,1983,79.89407349
LCN,1983,81.75575256
LDC,1983,41.86174011
LMC,1983,53.38151932
LMY,1983,63.03390121
LTE,1983,74.60305786
MEA,1983,49.68362045
MIC,1983,64.43723297
MMR,1983,78.57041168
MNA,1983,46.780029299999995
OSS,1983,70.68493652
SAS,1983,40.60292816
TEA,1983,70.28240204
TEC,1983,94.21566772
TLA,1983,81.18425751
TMN,1983,46.46377945
TSA,1983,40.60292816
UMC,1983,73.37354279
WLD,1983,69.1450119
ARB,1984,50.22211838
BRB,1984,99.59999847
CEB,1984,98.04586029
CRI,1984,92.62904358
EAP,1984,71.7142868
EAR,1984,54.22085953
EAS,1984,73.02134705
ECA,1984,94.50653076
GRD,1984,98.59999847
IBD,1984,67.98512268
IBT,1984,64.32013702
IDA,1984,45.9156189
IDB,1984,49.73450089
IDX,1984,43.93341827
LAC,1984,80.30254364
LBR,1984,32.10676956
LBY,1984,60.16439056
LCN,1984,82.13156891
LDC,1984,42.24937057
LMC,1984,53.94602966
LMY,1984,63.82780075
LTE,1984,75.47052002
MEA,1984,50.62314987
MIC,1984,65.25650787
MNA,1984,47.79766846
OSS,1984,71.00148773
SAS,1984,41.25527954
TEA,1984,71.34248352
TEC,1984,94.93808746
TLA,1984,81.5693512
TMN,1984,47.49008179
TSA,1984,41.25527954
TUN,1984,48.19070053
UMC,1984,74.39875031
VUT,1984,58.20000076
WLD,1984,69.80885315
ARB,1985,51.00671005
ARE,1985,71.23529816
CEB,1985,98.07749939
EAP,1985,72.71466827
EAR,1985,54.87205124
EAS,1985,73.93724823
ECA,1985,94.76065826
IBD,1985,68.76293182
IBT,1985,65.03215027
IDA,1985,46.29721832
IDB,1985,50.05503082
IDX,1985,44.34672165
KWT,1985,74.49086761
LAC,1985,80.69790649
LCN,1985,82.49556732
LDC,1985,42.64260101
LIC,1985,45.25688934
LMC,1985,54.51049042
LMY,1985,64.54894257
LTE,1985,76.30850983
MDV,1985,92.23004913
MEA,1985,51.58504868
MIC,1985,65.99691772
MLT,1985,86.92984009
MNA,1985,48.86468124
OSS,1985,71.31638336
SAS,1985,41.909988399999996
SSA,1985,49.95809174
SSF,1985,49.96350098
TEA,1985,72.35601044
TEC,1985,95.17118073
TLA,1985,81.94220734
TMN,1985,48.56618118
TSA,1985,41.909988399999996
TSS,1985,49.96350098
TUR,1985,75.96823883
UMC,1985,75.28137207
URY,1985,95.37998199
WLD,1985,70.41400909
ARB,1986,51.924808500000005
CEB,1986,98.1027832
EAP,1986,73.64244079999999
EAR,1986,55.49100113
EAS,1986,74.7871933
ECA,1986,94.8504715
EGY,1986,44.42398834
FCS,1986,55.12725067
HPC,1986,44.05308914
IBD,1986,69.49056244
IBT,1986,65.69703674
IDA,1986,46.64706039
IDB,1986,50.37520981
IDX,1986,44.71194839
IRN,1986,52.31975937
LAC,1986,81.07952881
LCN,1986,82.84732056
LDC,1986,42.9827919
LIC,1986,45.65118027
LMC,1986,55.05397034
LMY,1986,65.22229767
LTE,1986,77.08598328
MEA,1986,52.6414299
MIC,1986,66.69123077
MNA,1986,50.03551102
