year,gii_human_capital,country_iso,gii_domestic_credit,mobile_subscriptions,broadband_subscriptions_per100,gii_ict_services_imports,diversity_ethnicFractionalization,diversity_linguisticFractionalization,diversity_religiousFractionalization,literacy_rate,electrification,gii_scientific_publications,book_titles,rd_in_gdp,creative_svc_audiovisual,creative_svc_other_personal_cultural_recreational,creative_svc_advertising_mktresearch_polling,creative_svc_architectural_engineering_technical,creative_svc_personal_cultural_recreational,creative_svc_research,rural_population,school_enrollment_tertiary,gii_creative_services,gii_rule_of_law,population,mortality_rate,secure_internet_servers,gii_institutions,gii_top_level_domains,gii_patent_applications,feature_films_produced,gii_patent_families,gii_mobile_apps,gii_research_talent_in_business,cultural_occupation,gii_creative_goods,life_expectancy,ease_of_business,gii_wikipedia_edits,gii_ict_access,gii_stem_assessment,poverty_ratio,foreign_investment,total_hospital_density_per_100k,gii_university_industry,gii_innovation_output,gdp_per_capta_usd,global_innovation_index
1960,,ABW,,0.0,,,,,,,,,,,,,,,,,,,,,54211.0,,,,,,,,,,,,,,,,,,,,,,,
1961,,ABW,,,,,,,,,,,,,,,,,,,,,,,55438.0,,,,,,,,,,,,,,,,,,,,,,,
1962,,ABW,,,,,,,,,,,,,,,,,,,,,,,56225.0,,,,,,,,,,,,,,,,,,,,,,,
1963,,ABW,,,,,,,,,,,,,,,,,,,,,,,56695.0,,,,,,,,,,,,,,,,,,,,,,,
1964,,ABW,,,,,,,,,,,,,,,,,,,,,,,57032.0,,,,,,,,,,,,,,,,,,,,,,,
1965,,ABW,,0.0,,,,,,,,,,,,,,,,,,,,,57360.0,,,,,,,,,,,,,,,,,,,,,,,
1966,,ABW,,,,,,,,,,,,,,,,,,,,,,,57715.0,,,,,,,,,,,,,,,,,,,,,,,
1967,,ABW,,,,,,,,,,,,,,,,,,,,,,,58055.0,,,,,,,,,,,,,,,,,,,,,,,
1968,,ABW,,,,,,,,,,,,,,,,,,,,,,,58386.0,,,,,,,,,,,,,,,,,,,,,,,
1969,,ABW,,,,,,,,,,,,,,,,,,,,,,,58726.0,,,,,,,,,,,,,,,,,,,,,,,
