country_iso,year,mobile_subscriptions
ABW,1960,0.0
AFG,1960,0.0
AGO,1960,0.0
ALB,1960,0.0
AND,1960,0.0
ARG,1960,0.0
ARM,1960,0.0
ASM,1960,0.0
ATG,1960,0.0
AUS,1960,0.0
AUT,1960,0.0
AZE,1960,0.0
BDI,1960,0.0
BEL,1960,0.0
BEN,1960,0.0
BFA,1960,0.0
BGD,1960,0.0
BGR,1960,0.0
BHR,1960,0.0
BHS,1960,0.0
BIH,1960,0.0
BLR,1960,0.0
BLZ,1960,0.0
BMU,1960,0.0
BOL,1960,0.0
BRA,1960,0.0
BRB,1960,0.0
BRN,1960,0.0
BTN,1960,0.0
BWA,1960,0.0
CAF,1960,0.0
CAN,1960,0.0
CHE,1960,0.0
CHL,1960,0.0
CHN,1960,0.0
CIV,1960,0.0
CMR,1960,0.0
COD,1960,0.0
COG,1960,0.0
COL,1960,0.0
COM,1960,0.0
CPV,1960,0.0
CRI,1960,0.0
CUB,1960,0.0
CYM,1960,0.0
CYP,1960,0.0
CZE,1960,0.0
DEU,1960,0.0
DJI,1960,0.0
DMA,1960,0.0
DNK,1960,0.0
DOM,1960,0.0
DZA,1960,0.0
ECU,1960,0.0
EGY,1960,0.0
ERI,1960,0.0
ESP,1960,0.0
EST,1960,0.0
ETH,1960,0.0
FIN,1960,0.0
FJI,1960,0.0
FRA,1960,0.0
FRO,1960,0.0
FSM,1960,0.0
GAB,1960,0.0
GBR,1960,0.0
GEO,1960,0.0
GHA,1960,0.0
GIB,1960,0.0
GIN,1960,0.0
GMB,1960,0.0
GNB,1960,0.0
GNQ,1960,0.0
GRC,1960,0.0
GRD,1960,0.0
GRL,1960,0.0
GTM,1960,0.0
GUM,1960,0.0
GUY,1960,0.0
HKG,1960,0.0
HND,1960,0.0
HRV,1960,0.0
HTI,1960,0.0
HUN,1960,0.0
IDN,1960,0.0
IND,1960,0.0
IRL,1960,0.0
IRN,1960,0.0
IRQ,1960,0.0
ISL,1960,0.0
ITA,1960,0.0
JAM,1960,0.0
JOR,1960,0.0
JPN,1960,0.0
KAZ,1960,0.0
KEN,1960,0.0
KGZ,1960,0.0
KHM,1960,0.0
KIR,1960,0.0
KNA,1960,0.0
KOR,1960,0.0
KWT,1960,0.0
LAO,1960,0.0
LBN,1960,0.0
LBR,1960,0.0
LBY,1960,0.0
LCA,1960,0.0
LKA,1960,0.0
LSO,1960,0.0
LTU,1960,0.0
LUX,1960,0.0
