country_iso,year,mortality_rate
AFG,2013,57.3
AFG,2014,55.1
AFG,2015,53.1
AFG,2016,51.2
AFG,2017,49.5
AFG,2018,47.9
AGO,2013,63.6
AGO,2014,60.5
AGO,2015,57.8
AGO,2016,55.5
AGO,2017,53.4
AGO,2018,51.6
ALB,2013,9.5
ALB,2014,8.9
ALB,2015,8.5
ALB,2016,8.2
ALB,2017,8
ALB,2018,7.8
AND,2013,3.4
AND,2014,3.2
AND,2015,3.1
AND,2016,3
AND,2017,2.8
AND,2018,2.7
ARE,2013,6.8
ARE,2014,6.8
ARE,2015,6.7
ARE,2016,6.6
ARE,2017,6.6
ARE,2018,6.5
ARG,2013,11.3
ARG,2014,10.7
ARG,2015,10.2
ARG,2016,9.7
ARG,2017,9.3
ARG,2018,8.8
ARM,2013,14.2
ARM,2014,13.5
ARM,2015,12.8
ARM,2016,12.2
ARM,2017,11.6
ARM,2018,11
ATG,2013,6.3
ATG,2014,6
ATG,2015,5.7
ATG,2016,5.4
ATG,2017,5.2
ATG,2018,5
AUS,2013,3.5
AUS,2014,3.3
AUS,2015,3.2
AUS,2016,3.2
AUS,2017,3.1
AUS,2018,3.1
AUT,2013,3.2
AUT,2014,3.1
AUT,2015,3
AUT,2016,3
AUT,2017,2.9
AUT,2018,2.9
AZE,2013,26.8
AZE,2014,25
AZE,2015,23.3
AZE,2016,21.8
AZE,2017,20.4
AZE,2018,19.2
BDI,2013,50.4
BDI,2014,47.9
BDI,2015,45.8
BDI,2016,44
BDI,2017,42.4
BDI,2018,41
BEL,2013,3.4
BEL,2014,3.3
BEL,2015,3.2
BEL,2016,3.1
BEL,2017,3
BEL,2018,2.9
BEN,2013,67
BEN,2014,65.7
BEN,2015,64.4
BEN,2016,63.2
BEN,2017,61.9
BEN,2018,60.5
BFA,2013,57.5
BFA,2014,55.4
BFA,2015,53.6
BFA,2016,51.9
BFA,2017,50.4
BFA,2018,49
BGD,2013,33
BGD,2014,31.3
BGD,2015,29.6
BGD,2016,28
BGD,2017,26.5
BGD,2018,25.1
BGR,2013,7.7
BGR,2014,7.3
BGR,2015,6.9
BGR,2016,6.5
BGR,2017,6.2
BGR,2018,5.9
BHR,2013,6.7
BHR,2014,6.6
BHR,2015,6.5
BHR,2016,6.4
BHR,2017,6.2
BHR,2018,6.1
BHS,2013,9.6
BHS,2014,9.3
BHS,2015,9.1
BHS,2016,8.8
BHS,2017,8.6
BHS,2018,8.3
BIH,2013,5.6
BIH,2014,5.4
BIH,2015,5.3
BIH,2016,5.2
BIH,2017,5.1
BIH,2018,5
BLR,2013,3.4
BLR,2014,3.2
BLR,2015,3
BLR,2016,2.9
BLR,2017,2.7
BLR,2018,2.6
BLZ,2013,14.5
BLZ,2014,13.9
BLZ,2015,13.2
BLZ,2016,12.5
BLZ,2017,11.8
BLZ,2018,11.2
BOL,2013,27.7
BOL,2014,26.2
BOL,2015,24.9
BOL,2016,23.8
BOL,2017,22.8
BOL,2018,21.8
BRA,2013,14.9
BRA,2014,14.5
BRA,2015,14
BRA,2016,14.6
BRA,2017,13.2
BRA,2018,12.8
BRB,2013,12.8
BRB,2014,12.6
BRB,2015,12.3
BRB,2016,12
BRB,2017,11.6
BRB,2018,11.3
BRN,2013,8.6
BRN,2014,8.8
BRN,2015,9.1
BRN,2016,9.4
BRN,2017,9.6
BRN,2018,9.8
BTN,2013,29.8
BTN,2014,28.6
BTN,2015,27.5
BTN,2016,26.5
BTN,2017,25.6
BTN,2018,24.8
BWA,2013,34.8
BWA,2014,34.5
BWA,2015,33.2
BWA,2016,32.3
BWA,2017,30.8
BWA,2018,30
CAF,2013,95.6
CAF,2014,93
CAF,2015,90.7
CAF,2016,88.3
CAF,2017,86.5
CAF,2018,84.5
CAN,2013,4.7
CAN,2014,4.7
CAN,2015,4.6
CAN,2016,4.5
CAN,2017,4.4
CAN,2018,4.3
CHE,2013,3.8
CHE,2014,3.8
CHE,2015,3.8
CHE,2016,3.8
CHE,2017,3.7
CHE,2018,3.7
CHL,2013,7.1
CHL,2014,6.9
CHL,2015,6.7
CHL,2016,6.5
CHL,2017,6.3
CHL,2018,6.2
CHN,2013,10.8
CHN,2014,10
CHN,2015,9.2
CHN,2016,8.5
CHN,2017,7.9
CHN,2018,7.4
CIV,2013,68.9
CIV,2014,66.9
CIV,2015,64.8
CIV,2016,62.9
CIV,2017,61
CIV,2018,59.4
CMR,2013,60
CMR,2014,57.9
CMR,2015,55.7
CMR,2016,54
CMR,2017,52.2
CMR,2018,50.6
COD,2013,77.9
COD,2014,75.9
COD,2015,73.9
COD,2016,71.9
COD,2017,70
COD,2018,68.2
COG,2013,40.7
COG,2014,39.8
COG,2015,38.9
COG,2016,38
COG,2017,37.1
COG,2018,36.2
COL,2013,14.4
COL,2014,13.9
COL,2015,13.5
COL,2016,13.1
COL,2017,12.6
COL,2018,12.2
COM,2013,58.9
COM,2014,57.4
COM,2015,56
COM,2016,54.4
COM,2017,52.8
COM,2018,51.3
CPV,2013,19.5
CPV,2014,18.9
CPV,2015,18.3
CPV,2016,17.8
CPV,2017,17.2
CPV,2018,16.7
CRI,2013,8.2
CRI,2014,8
CRI,2015,7.8
CRI,2016,7.7
CRI,2017,7.6
CRI,2018,7.6
CUB,2013,4.3
CUB,2014,4.2
CUB,2015,4.1
CUB,2016,3.9
CUB,2017,3.8
CUB,2018,3.7
CYP,2013,2.4
CYP,2014,2.3
CYP,2015,2.2
CYP,2016,2.1
CYP,2017,2
CYP,2018,1.9
CZE,2013,2.5
CZE,2014,2.5
CZE,2015,2.5
CZE,2016,2.6
CZE,2017,2.6
CZE,2018,2.7
DEU,2013,3.3
DEU,2014,3.3
DEU,2015,3.2
DEU,2016,3.2
DEU,2017,3.2
DEU,2018,3.1
DJI,2013,57.4
DJI,2014,55.8
DJI,2015,54.2
DJI,2016,52.6
DJI,2017,51.2
DJI,2018,49.8
DMA,2013,24.9
DMA,2014,27.2
DMA,2015,29.4
DMA,2016,31.1
DMA,2017,32.2
DMA,2018,32.9
DNK,2013,3.5
DNK,2014,3.5
DNK,2015,3.6
DNK,2016,3.6
DNK,2017,3.6
DNK,2018,3.6
DOM,2013,27.1
DOM,2014,26.6
DOM,2015,26
DOM,2016,25.4
DOM,2017,24.8
DOM,2018,24.1
DZA,2013,22.1
DZA,2014,21.8
DZA,2015,21.4
DZA,2016,21
DZA,2017,20.6
DZA,2018,20.1
ECU,2013,13.8
ECU,2014,13.4
ECU,2015,13
ECU,2016,12.7
ECU,2017,12.5
ECU,2018,12.2
EGY,2013,21.5
EGY,2014,20.8
EGY,2015,20
EGY,2016,19.4
EGY,2017,18.7
EGY,2018,18.1
ERI,2013,36
ERI,2014,35
ERI,2015,34.1
ERI,2016,33.1
ERI,2017,32.2
ERI,2018,31.3
ESP,2013,2.9
ESP,2014,2.8
ESP,2015,2.7
ESP,2016,2.7
ESP,2017,2.6
ESP,2018,2.5
EST,2013,2.9
EST,2014,2.7
EST,2015,2.5
EST,2016,2.3
EST,2017,2.2
EST,2018,2.1
ETH,2013,47.8
ETH,2014,45.7
ETH,2015,43.8
ETH,2016,42.1
ETH,2017,40.6
ETH,2018,39.1
FIN,2013,2.1
FIN,2014,1.9
FIN,2015,1.8
FIN,2016,1.6
FIN,2017,1.5
FIN,2018,1.4
FJI,2013,20.4
FJI,2014,20.6
FJI,2015,20.8
FJI,2016,21.1
FJI,2017,21.4
FJI,2018,21.6
FRA,2013,3.5
FRA,2014,3.4
FRA,2015,3.4
FRA,2016,3.4
FRA,2017,3.4
FRA,2018,3.4
FSM,2013,29.6
FSM,2014,28.8
FSM,2015,28
FSM,2016,27.3
FSM,2017,26.4
FSM,2018,25.6
GAB,2013,38.3
GAB,2014,37.4
GAB,2015,36.3
GAB,2016,34.8
GAB,2017,33.7
GAB,2018,32.7
GBR,2013,4
GBR,2014,3.9
GBR,2015,3.8
GBR,2016,3.7
GBR,2017,3.7
GBR,2018,3.6
GEO,2013,10.2
GEO,2014,9.7
GEO,2015,9.4
GEO,2016,9.1
GEO,2017,8.9
GEO,2018,8.7
GHA,2013,42
GHA,2014,40.4
GHA,2015,38.9
GHA,2016,37.4
GHA,2017,36.1
GHA,2018,34.9
GIN,2013,70.6
GIN,2014,69.6
GIN,2015,68.5
GIN,2016,67.5
GIN,2017,66.3
GIN,2018,64.9
