country_iso,year,poverty_ratio
IND,1977,61.6
ISR,1979,0.0
PAN,1979,8.1
USA,1979,0.5
ARG,1980,0.4
MDG,1980,46.1
AUS,1981,1.0
BRA,1981,21.4
CAN,1981,0.5
CRI,1981,24.7
EAS,1981,80.5
FCS,1981,52.1
HIC,1981,0.7
IDA,1981,50.8
LCN,1981,13.5
LIC,1981,59.8
LMC,1981,51.6
LMY,1981,53.1
SAS,1981,55.7
THA,1981,19.6
UMC,1981,53.5
URY,1981,0.0
VEN,1981,5.8
WLD,1981,42.1
BRA,1982,21.7
BGD,1983,29.9
BRA,1983,27.7
IND,1983,54.8
BRA,1984,26.9
EAS,1984,70.1
FCS,1984,53.5
HIC,1984,0.7
IDA,1984,52.9
IDN,1984,71.4
LCN,1984,16.5
LIC,1984,61.4
LMC,1984,50.0
LMY,1984,49.0
MAR,1984,11.1
MEA,1984,8.9
MYS,1984,2.9
RWA,1984,63.0
SAS,1984,53.0
UMC,1984,46.5
WLD,1984,39.2
AUS,1985,1.0
BGD,1985,25.4
BRA,1985,23.1
BWA,1985,42.6
CIV,1985,6.8
LKA,1985,13.3
NGA,1985,53.3
POL,1985,0.2
TUN,1985,15.0
ARG,1986,0.0
BRA,1986,10.5
CIV,1986,3.1
CRI,1986,13.2
DOM,1986,5.2
GTM,1986,48.6
IRN,1986,6.8
ISR,1986,0.2
JOR,1986,0.0
LSO,1986,49.4
USA,1986,0.5
ARG,1987,0.0
BRA,1987,17.8
CAN,1987,0.2
CHL,1987,11.7
CIV,1987,6.8
EAS,1987,59.2
ECU,1987,17.6
FCS,1987,52.7
GHA,1987,42.6
HIC,1987,0.7
HUN,1987,0.1
IDA,1987,52.8
IDN,1987,71.4
IND,1987,48.9
LCN,1987,13.5
LIC,1987,61.5
LMC,1987,48.2
LMY,1987,43.8
MEA,1987,8.1
MRT,1987,40.0
MYS,1987,2.1
PAK,1987,62.2
POL,1987,0.1
SAS,1987,50.1
TUR,1987,2.4
UMC,1987,37.4
VEN,1987,6.1
