country_iso,year,rd_in_gdp
AGO,2016,0.03229
ARE,2014,0.6936
ARE,2015,0.89504
ARE,2016,0.96366
ARE,2018,1.30316
ARG,2012,0.63491
ARG,2013,0.61849
ARG,2014,0.59396
ARG,2015,0.62262
ARG,2016,0.55815
ARG,2017,0.54152
ARM,2012,0.23853
ARM,2013,0.22216
ARM,2014,0.24151
ARM,2015,0.25002
ARM,2016,0.23305
ARM,2017,0.22788
ARM,2018,0.18913
AUS,2013,2.1787
AUS,2015,1.91943
AUT,2012,2.91472
AUT,2013,2.95492
AUT,2014,3.08429
AUT,2015,3.04979
AUT,2016,3.12523
AUT,2017,3.15743
AZE,2012,0.21427
AZE,2013,0.20969
AZE,2014,0.20978
AZE,2015,0.22232
AZE,2016,0.20637
AZE,2017,0.18468
AZE,2018,0.18484
BEL,2012,2.27334
BEL,2013,2.33393
BEL,2014,2.38729
BEL,2015,2.46123
BEL,2016,2.54569
BEL,2017,2.59448
BFA,2014,0.22183
BFA,2017,0.70072
BGR,2012,0.60479
BGR,2013,0.63724
BGR,2014,0.79377
BGR,2015,0.96015
BGR,2016,0.78006
BGR,2017,0.75239
BHR,2014,0.10116
BIH,2012,0.26533
BIH,2013,0.32132
BIH,2014,0.25725
BIH,2015,0.2186
BIH,2016,0.21594
BIH,2017,0.20048
BIH,2018,0.1988
BLR,2012,0.64603
BLR,2013,0.65191
BLR,2014,0.50548
BLR,2015,0.49999
BLR,2016,0.50063
BLR,2017,0.58411
BLR,2018,0.60817
BMU,2012,0.26754
BMU,2013,0.22474
BMU,2014,0.21586
BMU,2015,0.22036
BRA,2012,1.12684
BRA,2013,1.19567
BRA,2014,1.27131
BRA,2015,1.34264
BRA,2016,1.26417
BRA,2017,1.26326
BWA,2012,0.2588
BWA,2013,0.53728
CAN,2012,1.7766
CAN,2013,1.70964
CAN,2014,1.71824
CAN,2015,1.69718
CAN,2016,1.69728
CAN,2017,1.591
CAN,2018,1.55277
CHE,2012,3.18623
CHE,2015,3.3716
CHL,2012,0.3622
