country_iso,year,rural_population
ABW,2013,57.01
ABW,2014,56.959
ABW,2015,56.892
ABW,2016,56.808
ABW,2017,56.707
ABW,2018,56.589
AFG,2013,75.627
AFG,2014,75.413
AFG,2015,75.197
AFG,2016,74.98
AFG,2017,74.75
AFG,2018,74.505
AGO,2013,37.998
AGO,2014,37.269
AGO,2015,36.554
AGO,2016,35.851
AGO,2017,35.161
AGO,2018,34.486
ALB,2013,44.613
ALB,2014,43.577
ALB,2015,42.566
ALB,2016,41.579
ALB,2017,40.617
ALB,2018,39.681
AND,2013,11.463
AND,2014,11.559
AND,2015,11.655
AND,2016,11.752
AND,2017,11.85
AND,2018,11.938
ARE,2013,14.934
ARE,2014,14.625
ARE,2015,14.326
ARE,2016,14.035
ARE,2017,13.752
ARE,2018,13.478
ARG,2013,8.751
ARG,2014,8.623
ARG,2015,8.497
ARG,2016,8.373
ARG,2017,8.251
ARG,2018,8.13
ARM,2013,36.836
ARM,2014,36.888
ARM,2015,36.915
ARM,2016,36.918
ARM,2017,36.897
ARM,2018,36.851
ASM,2013,12.652
ASM,2014,12.712
ASM,2015,12.762
ASM,2016,12.802
ASM,2017,12.83
ASM,2018,12.847
ATG,2013,74.65
ATG,2014,74.825
ATG,2015,75
ATG,2016,75.154
ATG,2017,75.287
ATG,2018,75.401
AUS,2013,14.498
AUS,2014,14.398
AUS,2015,14.299
AUS,2016,14.2
AUS,2017,14.096
AUS,2018,13.988
AUT,2013,42.664
AUT,2014,42.474
AUT,2015,42.285
AUT,2016,42.095
AUT,2017,41.906
AUT,2018,41.703
AZE,2013,45.855
AZE,2014,45.578
AZE,2015,45.286
AZE,2016,44.979
AZE,2017,44.657
AZE,2018,44.32
BDI,2013,88.518
BDI,2014,88.224
BDI,2015,87.922
BDI,2016,87.612
BDI,2017,87.294
BDI,2018,86.968
BEL,2013,2.211
BEL,2014,2.167
BEL,2015,2.124
BEL,2016,2.081
BEL,2017,2.039
BEL,2018,1.999
BEN,2013,55.358
BEN,2014,54.834
BEN,2015,54.305
BEN,2016,53.771
BEN,2017,53.232
BEN,2018,52.688
BFA,2013,73.654
BFA,2014,73.066
BFA,2015,72.47
BFA,2016,71.866
BFA,2017,71.257
BFA,2018,70.642
BGD,2013,67.238
BGD,2014,66.465
BGD,2015,65.692
BGD,2016,64.917
BGD,2017,64.142
BGD,2018,63.368
BGR,2013,26.687
BGR,2014,26.349
BGR,2015,26.01
BGR,2016,25.671
BGR,2017,25.331
BGR,2018,24.992
BHR,2013,11.165
BHR,2014,11.085
BHR,2015,11.001
BHR,2016,10.91
BHR,2017,10.814
BHR,2018,10.713
BHS,2013,17.404
BHS,2014,17.332
BHS,2015,17.254
BHS,2016,17.168
BHS,2017,17.075
BHS,2018,16.975
BIH,2013,53.481
BIH,2014,53.16
BIH,2015,52.827
BIH,2016,52.482
BIH,2017,52.124
BIH,2018,51.755
BLR,2013,23.801
BLR,2014,23.307
BLR,2015,22.819
BLR,2016,22.339
BLR,2017,21.866
BLR,2018,21.405
BLZ,2013,54.718
BLZ,2014,54.665
BLZ,2015,54.594
BLZ,2016,54.505
BLZ,2017,54.399
BLZ,2018,54.276
BOL,2013,32.301
BOL,2014,31.953
BOL,2015,31.607
BOL,2016,31.262
BOL,2017,30.92
BOL,2018,30.575
BRA,2013,14.791
BRA,2014,14.508
BRA,2015,14.23
BRA,2016,13.958
BRA,2017,13.691
BRA,2018,13.431
BRB,2013,68.571
BRB,2014,68.672
BRB,2015,68.751
BRB,2016,68.807
BRB,2017,68.841
BRB,2018,68.853
BRN,2013,24.003
BRN,2014,23.668
BRN,2015,23.337
BRN,2016,23.01
BRN,2017,22.688
BRN,2018,22.371
BTN,2013,62.851
BTN,2014,62.082
BTN,2015,61.322
BTN,2016,60.572
BTN,2017,59.833
BTN,2018,59.105
BWA,2013,34.428
BWA,2014,33.632
BWA,2015,32.845
BWA,2016,32.067
BWA,2017,31.3
BWA,2018,30.554
CAF,2013,60.337
CAF,2014,60.041
CAF,2015,59.723
CAF,2016,59.382
CAF,2017,59.02
CAF,2018,58.636
CAN,2013,18.822
CAN,2014,18.782
CAN,2015,18.741
CAN,2016,18.7
CAN,2017,18.65
CAN,2018,18.589
CHE,2013,26.326
CHE,2014,26.304
CHE,2015,26.282
CHE,2016,26.261
CHE,2017,26.239
CHE,2018,26.203
CHL,2013,12.754
CHL,2014,12.697
CHL,2015,12.64
CHL,2016,12.578
CHL,2017,12.51
CHL,2018,12.436
CHN,2013,46.987
CHN,2014,45.741
CHN,2015,44.5
CHN,2016,43.264
CHN,2017,42.04
CHN,2018,40.848
CIV,2013,51.407
CIV,2014,50.986
CIV,2015,50.556
CIV,2016,50.119
CIV,2017,49.674
CIV,2018,49.221
CMR,2013,46.627
CMR,2014,46.024
CMR,2015,45.422
CMR,2016,44.821
CMR,2017,44.223
CMR,2018,43.626
COD,2013,58.373
COD,2014,57.82
COD,2015,57.26
COD,2016,56.693
COD,2017,56.12
COD,2018,55.54
COG,2013,35.373
COG,2014,34.915
COG,2015,34.457
COG,2016,33.999
COG,2017,33.541
COG,2018,33.084
COL,2013,20.939
COL,2014,20.585
COL,2015,20.236
COL,2016,19.892
COL,2017,19.554
COL,2018,19.222
COM,2013,71.777
COM,2014,71.662
COM,2015,71.53
COM,2016,71.381
COM,2017,71.216
COM,2018,71.035
CPV,2013,36.683
CPV,2014,36.19
CPV,2015,35.7
CPV,2016,35.216
CPV,2017,34.739
CPV,2018,34.268
CRI,2013,25.03
CRI,2014,24.059
CRI,2015,23.138
CRI,2016,22.265
CRI,2017,21.44
CRI,2018,20.66
CUB,2013,23.173
CUB,2014,23.139
CUB,2015,23.104
CUB,2016,23.07
CUB,2017,23.023
CUB,2018,22.963
CUW,2013,10.456
CUW,2014,10.557
CUW,2015,10.648
CUW,2016,10.728
CUW,2017,10.797
CUW,2018,10.855
CYP,2013,32.863
CYP,2014,32.969
CYP,2015,33.054
CYP,2016,33.119
CYP,2017,33.164
CYP,2018,33.19
CZE,2013,26.71
CZE,2014,26.616
CZE,2015,26.523
CZE,2016,26.43
CZE,2017,26.325
CZE,2018,26.208
DEU,2013,22.82
DEU,2014,22.81
DEU,2015,22.8
DEU,2016,22.776
DEU,2017,22.739
DEU,2018,22.688
DJI,2013,22.778
DJI,2014,22.686
DJI,2015,22.583
DJI,2016,22.472
DJI,2017,22.352
DJI,2018,22.223
DMA,2013,31.018
DMA,2014,30.72
DMA,2015,30.421
DMA,2016,30.12
DMA,2017,29.819
DMA,2018,29.517
DNK,2013,12.708
DNK,2014,12.59
DNK,2015,12.474
DNK,2016,12.358
DNK,2017,12.243
DNK,2018,12.126
DOM,2013,23.251
DOM,2014,22.33
DOM,2015,21.434
DOM,2016,20.564
DOM,2017,19.723
DOM,2018,18.926
DZA,2013,30.424
DZA,2014,29.779
DZA,2015,29.152
DZA,2016,28.541
DZA,2017,27.948
DZA,2018,27.371
ECU,2013,36.875
ECU,2014,36.739
ECU,2015,36.602
ECU,2016,36.466
ECU,2017,36.33
ECU,2018,36.179
EGY,2013,57.107
EGY,2014,57.161
EGY,2015,57.215
EGY,2016,57.268
EGY,2017,57.295
EGY,2018,57.296
ESP,2013,20.867
ESP,2014,20.634
ESP,2015,20.398
ESP,2016,20.16
ESP,2017,19.92
ESP,2018,19.679
EST,2013,31.878
EST,2014,31.731
EST,2015,31.584
EST,2016,31.437
EST,2017,31.283
EST,2018,31.12
ETH,2013,81.425
ETH,2014,81.002
ETH,2015,80.572
ETH,2016,80.134
ETH,2017,79.69
ETH,2018,79.237
FIN,2013,14.875
FIN,2014,14.825
FIN,2015,14.775
FIN,2016,14.725
FIN,2017,14.675
FIN,2018,14.618
FJI,2013,46.294
FJI,2014,45.784
FJI,2015,45.274
FJI,2016,44.765
FJI,2017,44.258
FJI,2018,43.752
FRA,2013,20.865
FRA,2014,20.606
FRA,2015,20.345
FRA,2016,20.083
FRA,2017,19.82
FRA,2018,19.556
FRO,2013,58.637
FRO,2014,58.499
FRO,2015,58.362
FRO,2016,58.223
FRO,2017,58.086
FRO,2018,57.936
FSM,2013,77.645
FSM,2014,77.601
FSM,2015,77.544
FSM,2016,77.474
FSM,2017,77.392
FSM,2018,77.297
GAB,2013,12.844
GAB,2014,12.349
GAB,2015,11.882
GAB,2016,11.441
GAB,2017,11.024
GAB,2018,10.63
GBR,2013,17.898
GBR,2014,17.635
GBR,2015,17.374
GBR,2016,17.114
GBR,2017,16.857
GBR,2018,16.602
GEO,2013,43.315
