"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ECONOMY,CATEGORY,,,,,,,,,,
Afghanistan,"Advertising, market research and public opinion polling",..,..,..,..,..,..,0.005589347,0.023603115,..,..
Afghanistan,"Architectural, engineering and other technical services",..,..,..,..,..,..,0.123334731,0.083703934,..,..
Afghanistan,Research and Development,..,..,..,..,..,..,7.15320346,0.174979874,..,..
Afghanistan,"Personal, cultural and recreational services",-,-,-,-,-,-,0.925616871,0.616532382,-,-
Afghanistan,  Audiovisual and related services,..,..,..,..,..,..,0.903259485,0.470953436,..,..
Afghanistan,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,0.022357386,0.145578946,..,..
Albania,"Advertising, market research and public opinion polling",0.008614593,..,0.012794422,0.006582578,3.765886047,0.414596643,0.137093269,0.460992447,0.869112053,1.281672387
Albania,"Architectural, engineering and other technical services",0.052799117,..,0.001116292,0.003989441,0.026722991,1.689139287,0.315322568,2.697572835,1.300713591,0.376551457
Albania,Research and Development,..,..,..,..,..,0.257281573,0.060255027,0.244579937,0.085639134,0.034463712
Albania,"Personal, cultural and recreational services",0.628587387,0.778015845,1.556110839,3.873680991,3.47039144,0.540069335,0.709938658,2.50815772,1.269732496,0.511809723
Albania,  Audiovisual and related services,0.009448263,..,0.000429343,2.569466146,3.157424109,0.057429283,0.15580976,0.370943349,0.055437695,0.047068932
Albania,"  Other other personal, cultural and recreational services",0.619278069,0.778015845,1.555681496,1.304214845,0.312967331,0.482640052,0.554128898,2.137214372,1.214294801,0.46474079
Algeria,"Advertising, market research and public opinion polling",..,..,1.475867571,1.443620757,1.80021179,2.206303725,3.318806571,2.832305104,2.494805499,..
Algeria,"Architectural, engineering and other technical services",..,..,5.185480654,6.086617245,3.529827039,4.212034384,4.693261817,6.73022995,4.643908427,..
Algeria,Research and Development,..,..,..,..,..,..,..,..,..,..
Algeria,"Personal, cultural and recreational services",-,-,0.159553251,0.156067109,0.282386163,0.171919771,0.134093195,0.196298374,0.15504577,-
Algeria,  Audiovisual and related services,-,-,0.079776625,0.117050332,0.141193082,0.085959885,0.067046597,0.028042625,0.039517274,-
Algeria,"  Other other personal, cultural and recreational services",..,..,0.079776625,0.039016777,0.141193082,0.085959885,0.067046597,0.168255749,0.115528496,..
American Samoa,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
American Samoa,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
American Samoa,Research and Development,..,..,..,..,..,..,..,..,..,..
American Samoa,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
American Samoa,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
American Samoa,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Andorra,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Andorra,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Andorra,Research and Development,..,..,..,..,..,..,..,..,..,..
Andorra,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Andorra,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Andorra,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Angola,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Angola,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Angola,Research and Development,..,..,..,..,..,..,..,..,..,..
Angola,"Personal, cultural and recreational services",0.535597064,0.883606801,2.579386399,-,2.940362396,3.96327212,2.338728053,1.747508686,2.076857947,-
Angola,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Angola,"  Other other personal, cultural and recreational services",0.535597064,0.883606801,2.579386399,-,2.940362396,3.96327212,2.338728053,1.747508686,2.076857947,..
Anguilla,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Anguilla,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Anguilla,Research and Development,..,..,..,..,..,..,..,..,..,..
Anguilla,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Anguilla,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Anguilla,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Research and Development,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Argentina,"Advertising, market research and public opinion polling",0.957796934,1.629303254,2.624038538,3.250461805,3.038540219,3.312632653,3.038278472,3.767338232,3.944505142,4.0827604
Argentina,"Architectural, engineering and other technical services",1.182690321,1.007724819,1.013500783,1.23659144,1.211305388,1.415373731,2.050095742,2.540896414,2.866852415,2.967337904
Argentina,Research and Development,1.218691041,1.449845409,1.916969506,2.099999252,1.885710977,2.087398608,2.340676575,2.679634508,3.004289453,3.109591528
Argentina,"Personal, cultural and recreational services",2.714276508,2.891181226,3.060082027,3.211946862,3.030704802,3.99611708,2.549466582,2.341937122,2.212205119,2.196452925
Argentina,  Audiovisual and related services,2.622941348,2.724582321,2.897008485,3.019995363,2.940501004,3.86390036,2.509802134,2.202986544,2.122120392,2.113415866
Argentina,"  Other other personal, cultural and recreational services",0.09133516,0.166598905,0.163088615,0.191951499,0.090223097,0.132200267,0.039664448,0.138950579,0.090091135,0.083037059
Armenia,"Advertising, market research and public opinion polling",0.051600334,0.439869032,0.300423756,0.3061435,0.286157559,0.322804711,..,..,..,..
Armenia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Armenia,Research and Development,..,..,..,..,..,..,..,..,..,..
Armenia,"Personal, cultural and recreational services",1.098556637,1.482265431,1.16228721,1.118744069,1.013618342,1.108730302,1.100104664,2.484504675,2.335736029,2.304357394
