"name","ethnicFractionalization","linguisticFractionalization","religiousFractionalization","pop2020"
"American Samoa",0,"0.1733","0.6395","55.1910"
"Comoros",0,"0.0103","0.0137","869.6010"
"Mayotte",0,"0.7212","0.0620","272.8150"
"Faroe Islands",0,0,"0.3147","48.8630"
"French Guiana",0,"0.1154","0.4959","298.6820"
"French Polynesia",0,"0.6078","0.5813","280.9080"
"Greenland",0,"0.2188","0.4592","56.7700"
"Guadeloupe",0,"0.0933","0.3069","400.1240"
"Guam",0,"0.7320","0.4082","168.7750"
"Macau",0,"0.2519","0.5511","649.3350"
"Martinique",0,0,"0.2336","375.2650"
"Aruba",0,"0.3889","0.4107","106.7660"
"New Caledonia",0,"0.6633","0.5462","285.4980"
"Northern Mariana Islands",0,"0.7754","0.4811","57.5590"
"Bermuda",0,0,"0.7112","62.2780"
"Timor-Leste",0,"0.5261","0.4254","1318.4450"
"Puerto Rico",0,"0.0352","0.4952","2860.8530"
"Reunion",0,"0.1578","0.1952","895.3120"
"Sao Tome and Principe",0,"0.2322","0.1866","219.1590"
"Isle of Man",0,0,"0.4729","85.0330"
"United States Virgin Islands",0,"0.3140","0.6359","104.4250"
"Yemen",0,"0.0080","0.0023","29825.9640"
"North Korea","0.0020","0.0021","0.6604","25778.8160"
"Japan","0.0119","0.0178","0.5406","126476.4610"
"South Korea","0.0392","0.0028","0.4891","51269.1850"
"Tunisia","0.0394","0.0124","0.0104","11818.6190"
"Vanuatu","0.0413","0.5794","0.7044","307.1450"
"Malta","0.0414","0.0907","0.1223","441.5430"
"Bangladesh","0.0454","0.0925","0.2090","164689.3830"
"Portugal","0.0468","0.0198","0.1438","10196.7090"
"Kiribati","0.0511","0.0237","0.5541","119.4490"
"Norway","0.0586","0.0673","0.2048","5421.2410"
"Sweden","0.0600","0.1968","0.2342","10099.2650"
"Marshall Islands","0.0603","0.0734","0.5207","59.1900"
"Hong Kong","0.0620","0.2128","0.4191","7496.9810"
"Iceland","0.0798","0.0820","0.1913","341.2430"
"Denmark","0.0819","0.1049","0.2333","5792.2020"
"Tonga","0.0869","0.3782","0.6214","105.6950"
"Australia","0.0929","0.3349","0.8211","25499.8840"
"Cyprus","0.0939","0.3962","0.3962","1207.3590"
"Haiti","0.0950",0,"0.4704","11402.5280"
"France","0.1032","0.1221","0.4029","65273.5110"
"Netherlands","0.1054","0.5143","0.7222","17134.8720"
"Austria","0.1068","0.1522","0.4146","9006.3980"
"Solomon Islands","0.1110","0.5254","0.6708","686.8840"
"Italy","0.1145","0.1147","0.3027","60461.8260"
"Poland","0.1183","0.0468","0.1712","37846.6110"
"Ireland","0.1206","0.0312","0.1550","4937.7860"
"United Kingdom","0.1211","0.0532","0.6944","67886.0110"
"Armenia","0.1272","0.1291","0.4576","2963.2430"
"Lebanon","0.1314","0.1312","0.7886","6825.4450"
"Finland","0.1315","0.1412","0.2531","5540.7200"
"Barbados","0.1423","0.0926","0.6934","287.3750"
"Hungary","0.1522","0.0297","0.5244","9660.3510"
"China","0.1538","0.1327","0.6643","1439323.7760"
"Greece","0.1576","0.0300","0.1530","10423.0540"
"Tuvalu","0.1629","0.1372","0.2524","11.7920"
"Antigua and Barbuda","0.1643","0.1063","0.6840","97.9290"
"Germany","0.1682","0.1642","0.6571","83783.9420"
"Paraguay","0.1689","0.5975","0.2123","7132.5380"
"Saint Lucia","0.1769","0.3169","0.3320","183.6270"
"Saudi Arabia","0.1800","0.0949","0.1270","34813.8710"
"Egypt","0.1836","0.0237","0.1979","102334.4040"
"Saint Kitts and Nevis","0.1842",0,"0.6614","53.1990"
"Chile","0.1861","0.1871","0.3841","19116.2010"
"Honduras","0.1867","0.0553","0.2357","9904.6070"
"El Salvador","0.1978",0,"0.3559","6486.2050"
"Dominica","0.2003",0,"0.4628","71.9860"
"Seychelles","0.2025","0.1606","0.2323","98.3470"
"Azerbaijan","0.2047","0.2054","0.4899","10139.1770"
"Cambodia","0.2105","0.2104","0.0965","16718.9650"
"Albania","0.2204","0.0399","0.4719","2877.7970"
"Slovenia","0.2216","0.2201","0.2868","2078.9380"
"Costa Rica","0.2368","0.0489","0.2410","5094.1180"
"Vietnam","0.2383","0.2377","0.5080","97338.5790"
"Philippines","0.2385","0.8360","0.3056","109581.0780"
"Russia","0.2452","0.2485","0.4398","145934.4620"
"Uruguay","0.2504","0.0817","0.3548","3473.7300"
"Slovakia","0.2539","0.2551","0.5655","5459.6420"
"Argentina","0.2550","0.0618","0.2236","45195.7740"
"Lesotho","0.2550","0.2543","0.7211","2142.2490"
"Grenada","0.2661",0,"0.5898","112.5230"
"Papua New Guinea","0.2718","0.3526","0.5523","8947.0240"
"Taiwan","0.2744","0.5028","0.6845","23816.7750"
"San Marino","0.2927",0,"0.1975","33.9310"
"Burundi","0.2951","0.2977","0.5158","11890.7840"
"Saint Vincent and the Grenadines","0.3066","0.0175","0.7028","110.9400"
"Romania","0.3069","0.1723","0.2373","19237.6910"
"Turkey","0.3200","0.2216","0.0049","84339.0670"
