Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,02/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.223107119,2.056259425,0.18696848,17.06170628,21.18339627,-3.858597828,-1.655890758,-5.875013862,-0.418843737,6.161619024,12.91308375,6.814224316,27.13850724,-6.828727173,-13.90165842,17.12805755,7.904919845,-4.743043369,-8.915590376,9.086771661,-18.01110874,0.687830688,-0.424770847,7.812573031,19.14548642,-12.41569319,8.768768362,9.458283576,-1.069090556,0.792699282,6.015721969,,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.013151224,0.024575271,0.009401115,0.015576924,,,0.001565217,-0.008126411,,0.032450496,0.247135743,0.005174216,,,,,,,,,,,,,,,,,,,,,1.232991823,1.280017457,3.575818629,4.364533544,3.414003887,1.93570173,0.399170734,0.451055983,1.203125109,0.293038637,0.284095348,0.234965317,0.209790229,0.849679315,0.483360246,0.255222349,0.616822256,
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0.630975104,0.883706872,2.086485073,1.803662496,1.095005676,3.680383595,3.308793892,1.472066849,1.493856279,1.960573064,-2.981627998,6.266630536,3.466087528,5.236863254,3.837036558,8.52948884,2.398993967,5.382318076,17.12159065,40.16725096,9.62386631,24.00911706,11.40619007,20.08101364,9.329241384,-3.526655479,-0.072001021,-1.368761628,1.896315051,3.136662133,-3.851110464,-2.704874717,-1.143768334,-5.208122718,2.510095009,8.630605234,-0.17752253,-6.057209206,-5.420744964,
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3.066661599,4.893212106,2.817722808,2.925485967,2.815939523,2.103151282,1.767893909,1.282642375,4.108776037,5.285434537,3.104825701,3.172710425,4.750177407,3.259768342,3.654851781,6.108981586,9.726426621,11.17062664,9.138103494,8.135268469,7.451384891,9.816243745,8.692975096,8.690477034,8.804977717,7.852228451,7.974727972,
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.464222452,-0.082959501,0.262023611,-0.793945622,-2.857048283,1.390372164,0.072791149,0.649516221,0.568188919,0.097391069,-0.493645899,1.780961386,2.948503509,1.535514692,1.590310278,0.485823387,0.67131727,0.027337095,0.388479632,0.287431538,0.503519013,0.504141814,0.773875996,0.952264248,1.056566727,0.059513224,0.660759867,1.525705136,1.698620264,0.466887852,0.544944956,1.284315867,0.881257724,1.722770181,2.224292652,3.897076867,4.956957444,5.004341582,4.316666533,4.237509058,3.336613349,1.808136403,1.845002315,1.478235461,1.09649366,1.023814956,1.333663006,1.212717677,1.220391896,
United Arab Emirates,ARE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,0.108351028,0.257273417,0.451274584,0.16453683,0.206818389,0.223951383,-0.034337775,0.203892014,0.106393608,0.407195241,-0.544187527,0.324685539,0.128404884,0.520707069,0.093548785,-0.22843531,0.050317964,0.239162943,0.721471949,0.105319789,0.608195467,0.408474867,0.294815986,0.340485312,-1.166835786,-0.485281533,1.14589217,0.086781366,3.422662713,6.767152113,6.03481604,5.765437532,5.500439718,1.604874609,0.447367364,3.035594892,2.039574748,2.55389516,2.503133911,2.746345355,2.387619324,2.690073033,2.741380444,2.507439402,
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.284224297,0.377464477,0.206489502,0.190792478,0.024738815,0.106009598,0.478175477,0.253605959,0.430419501,0.29746292,0.88095511,1.06384544,0.269252481,0.177920359,0.338845892,1.039396769,0.51742271,-0.017100757,0.908825708,1.341390409,1.298881665,1.285578854,1.936712402,1.179802812,1.411953029,2.17392759,2.553203406,3.127877939,2.438768962,8.460582171,3.665790595,0.806164135,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.04464008,2.8066719,1.779205536,0.96240665,1.977134618,0.584749932,1.791961345,2.283805943,
Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188593629,0.066593791,0.608291621,1.724422857,1.100209269,3.168053675,12.27077974,6.612580778,5.450433166,3.298067417,4.659499749,4.376570097,6.909902013,5.96010634,7.307315032,7.252331977,8.092349209,8.788694552,5.716037845,6.440668367,4.676727878,3.111931481,3.502114247,1.744736992,3.164508221,2.176846777,2.044111039,
American Samoa,ASM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
