Indicator,,GDP (current US$),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Country,,,,,,,,
Afghanistan,,20561054090,20484873230,19907111419,19362642267,20191764940,19362969582,..
Albania,,12776280961,13228247844,11386931490,11861352705,13025062196,15058879129,..
Algeria,,2.09755E+11,2.1381E+11,1.65979E+11,1.6013E+11,1.67555E+11,1.80689E+11,..
American Samoa,,641000000,643000000,661000000,653000000,634000000,..,..
Andorra,,3281585236,3350736367,2811489409,2877311947,3013387424,3236543909,..
Angola,,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11,1.05751E+11,..
Anguilla,,..,..,..,..,..,..,..
Antigua and Barbuda,,1192919630,1275576778,1359194741,1464630213,1510084751,1623804016,..
Argentina,,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.42696E+11,5.18475E+11,..
Armenia,,11121465767,11609512940,10553337673,10546135160,11527458566,12433089919,..
Aruba,,2581564246,2649720670,2691620112,2646927374,2700558659,..,..
Australia,,1.57618E+12,1.46748E+12,1.35152E+12,1.21003E+12,1.3308E+12,1.4322E+12,..
Austria,,4.30069E+11,4.41996E+11,3.81806E+11,3.94053E+11,4.16836E+11,4.55737E+11,..
Azerbaijan,,74164435946,75244294275,53074468085,37867518957,40865558912,46939529412,..
Bahamas,,10627600000,10957300000,11792300000,11838800000,12162100000,..,..
Bahrain,,32539547872,33387712766,31125851064,32250132979,35432686170,37746196809,..
Bangladesh,,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,2.49724E+11,2.74025E+11,..
Barbados,,4612500000,4608350000,4584150000,4529050000,4673500000,..,..
Belarus,,75527984234,78813839984,56454734397,47722657821,54726595249,59662495092,..
Belgium,,5.20925E+11,5.30808E+11,4.5594E+11,4.69677E+11,4.94902E+11,5.31767E+11,..
Belize,,1608442150,1692955750,1762500450,1806646250,1862614800,1925000000,..
Benin,,9157355680,9707432016,8291155881,8573159697,9246696924,10358985583,..
Bermuda,,5573710000,..,..,..,..,..,..
Bhutan,,1798333726,1976938530,2059809920,2219675781,2528007911,2534965163,..
Bolivia (Plurinational State of),,30659338784,32996188133,33000198263,33941126194,37508642258,40287647757,..
Bosnia and Herzegovina,,18178503835,18558343508,16211541253,16913330694,18080118128,19781776101,..
Botswana,,14901750765,16250750259,14420604206,15646323341,17406565823,18616018903,..
Brazil,,2.47281E+12,2.45599E+12,1.80221E+12,1.79628E+12,2.05359E+12,1.86863E+12,..
British Virgin Islands,,..,..,..,..,..,..,..
Brunei Darussalam,,18093829923,17098342541,12930394938,11400653949,12128089000,13567099498,..
Bulgaria,,55555171010,56814543481,50201314895,53240950226,58220973783,65132951116,..
