"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","China","Strength","Strength","11.9","100.0"
"1","Czech Republic (the)","Strength","Strength","10.1","100.0"
"1","Hong Kong, China","Strength","Strength","9.9","100.0"
"1","Malaysia","Strength","Strength","9.8","100.0"
"1","Mexico","Strength","Strength","9.6","100.0"
"1","Thailand","Strength","Strength","8.7","100.0"
"7","Slovakia","Strength","Strength","8.5","98.3"
"8","Philippines","Strength","Strength","7.0","80.4"
"9","Hungary","Strength","Strength","6.1","70.8"
"10","Viet Nam","Strength","Strength","5.9","68.2"
"11","Singapore","","","4.4","50.6"
"12","Poland","Strength","Strength","4.4","50.5"
"13","United Arab Emirates (the)","Strength","Strength","4.2","48.9"
"14","Netherlands (the)","","","4.1","47.7"
"15","Switzerland","","","3.8","43.6"
"16","Republic of Korea (the)","","","3.6","41.9"
"17","United States of America (the)","","","3.3","37.6"
"18","Latvia","","Strength","3.1","36.1"
"19","Indonesia","Strength","Strength","2.9","33.9"
"20","United Kingdom (the)","","","2.9","33.9"
"21","Turkey","","Strength","2.9","33.2"
"22","India","","","2.7","31.7"
"23","Panama","","Strength","2.5","28.7"
"24","Italy","","","2.2","25.9"
"25","Dominican Republic (the)","","Strength","2.2","25.3"
"26","Germany","","","2.2","25.2"
"27","Japan","","","2.0","23.4"
"28","Tunisia","","Strength","2.0","23.3"
"29","Lithuania","","","2.0","22.6"
"30","Sweden","","","1.8","20.5"
"31","Israel","","","1.7","19.9"
"32","France","","","1.7","19.2"
"33","Denmark","","","1.6","18.8"
"34","Belgium","","","1.6","18.0"
"35","Bahrain","","Strength","1.5","17.6"
"36","Jordan","","Strength","1.5","17.3"
"37","Portugal","","","1.5","16.8"
"38","Estonia","","","1.4","15.9"
"39","Bolivia (Plurinational State of)","","Strength","1.3","14.5"
"40","Ireland","","","1.3","14.4"
"41","Egypt","","Strength","1.1","12.8"
"42","Greece","","","1.1","12.6"
"43","Canada","","","1.0","11.2"
"44","Slovenia","","","1.0","11.0"
"45","Austria","","","0.9","10.6"
"46","Spain","","","0.9","10.1"
"47","Mauritius","","","0.9","10.0"
"48","South Africa","","","0.8","9.2"
"49","Bulgaria","","","0.8","9.1"
"50","Croatia","","","0.8","8.7"
"51","Serbia","","","0.7","8.4"
"52","Romania","","","0.7","8.3"
"53","El Salvador","","","0.7","7.6"
"54","Australia","","","0.6","7.2"
"55","Armenia","","","0.6","6.8"
"56","Finland","","","0.5","6.2"
"57","Lebanon","","","0.5","6.2"
"58","Oman","","","0.5","6.1"
"59","Cyprus","","","0.5","5.8"
"60","Norway","","","0.5","5.7"
"61","New Zealand","","","0.5","5.4"
"62","Uganda","Strength","Strength","0.5","5.4"
"63","Belarus","","","0.4","4.6"
"64","Sri Lanka","","","0.4","4.2"
"65","Costa Rica","","","0.4","4.1"
"66","Saudi Arabia","","","0.4","4.0"
"67","Bosnia and Herzegovina","","","0.4","4.0"
"68","Russian Federation (the)","","","0.3","3.9"
"69","Namibia","","","0.3","3.7"
"70","Peru","","","0.3","3.5"
"71","Nicaragua","","","0.3","3.5"
"72","Pakistan","","","0.3","3.4"
"73","Zimbabwe","Strength","Strength","0.3","3.4"
"74","Guatemala","","","0.3","3.2"
"75","Kenya","","","0.3","3.1"
"76","Cambodia","","","0.3","2.9"
"77","Brazil","","","0.2","2.8"
"78","Kuwait","","","0.2","2.8"
"79","Colombia","","","0.2","2.7"
"80","Nepal","Strength","","0.2","2.6"
"81","Malta","","","0.2","2.5"
"82","Ukraine","","","0.2","2.5"
"83","Republic of Moldova (the)","","","0.2","2.4"
"84","Jamaica","","","0.2","2.3"
"85","North Macedonia","","","0.2","2.2"
"86","Botswana","","","0.2","2.2"
"87","Rwanda","","","0.2","2.1"
"88","Qatar","","","0.2","2.0"
"89","Albania","","","0.2","1.9"
"90","Chile","","Weakness","0.2","1.9"
"91","Brunei Darussalam","","","0.2","1.8"
"92","Trinidad and Tobago","","","0.1","1.6"
"93","Kazakhstan","","","0.1","1.5"
"94","Montenegro","","","0.1","1.5"
"95","Madagascar","","","0.1","1.5"
"96","United Republic of Tanzania (the)","","","0.1","1.4"
"97","Georgia","","","0.1","1.3"
"98","Argentina","","","0.1","1.2"
"99","Kyrgyzstan","","","0.1","1.2"
"100","Luxembourg","Weakness","Weakness","0.1","1.1"
"101","Morocco","","","0.1","1.1"
"102","Senegal","","","0.1","1.0"
"103","Cote d'Ivoire","","","0.1","0.8"
"104","Malawi","","","0.1","0.8"
"105","Iceland","Weakness","Weakness","0.1","0.8"
"106","Uruguay","","Weakness","0.1","0.7"
"107","Bangladesh","","","0.1","0.6"
"108","Honduras","","","0.1","0.6"
"109","Burundi","","","0.1","0.5"
"110","Ecuador","","","0.1","0.5"
"111","Iran (Islamic Republic of)","","","0.1","0.5"
"112","Togo","","","0.0","0.3"
"113","Niger (the)","","","0.0","0.3"
"114","Paraguay","","","0.0","0.3"
"115","Ethiopia","","","0.0","0.3"
"116","Zambia","","","0.0","0.2"
"117","Ghana","","","0.0","0.2"
"118","Mali","","","0.0","0.1"
"119","Burkina Faso","","","0.0","0.1"
"120","Guinea","","","0.0","0.1"
"121","Cameroon","","Weakness","0.0","0.1"
"122","Azerbaijan","","Weakness","0.0","0.1"
"123","Yemen","","","0.0","0.1"
"124","Algeria","","","0.0","0.0"
"125","Mongolia","","Weakness","0.0","0.0"
"126","Nigeria","","Weakness","0.0","0.0"
"127","Mozambique","","Weakness","0.0","0.0"
"128","Benin","Weakness","Weakness","0.0","0.0"
