"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Costa Rica","Strength","Strength","4.2","100.0"
"1","Luxembourg","Strength","Strength","4.0","100.0"
"1","Malta","Strength","Strength","5.9","100.0"
"4","Israel","Strength","","2.5","62.3"
"5","United States of America (the)","Strength","","2.5","62.1"
"6","United Kingdom (the)","Strength","Strength","2.0","51.5"
"7","Croatia","Strength","Strength","1.9","48.9"
"8","Singapore","","","1.9","48.7"
"9","Lebanon","Strength","Strength","1.7","43.1"
"10","Netherlands (the)","","","1.7","42.0"
"11","Estonia","","","1.6","39.9"
"12","Uruguay","","Strength","1.6","39.3"
"13","Latvia","","Strength","1.5","38.6"
"14","Montenegro","Strength","Strength","1.5","37.7"
"15","Romania","Strength","Strength","1.5","37.5"
"16","Togo","Strength","Strength","1.5","36.9"
"17","Serbia","Strength","Strength","1.4","35.8"
"18","Belgium","","","1.4","35.8"
"19","Bulgaria","","Strength","1.4","35.3"
"20","France","","","1.3","32.7"
"21","Jamaica","","Strength","1.3","32.6"
"22","Albania","","Strength","1.2","29.3"
"23","Austria","","","1.2","29.2"
"24","Argentina","","Strength","1.1","28.6"
"25","Poland","","","1.1","28.5"
"26","Sweden","","","1.1","27.5"
"27","Russian Federation (the)","","","1.0","25.4"
"28","Spain","","","1.0","25.3"
"29","Finland","","","1.0","24.2"
"30","Senegal","Strength","Strength","0.9","23.7"
"31","Republic of Moldova (the)","Strength","","0.9","23.6"
"32","Slovenia","","","0.9","23.5"
"33","Germany","","","0.9","23.0"
"34","Canada","","","0.8","21.4"
"35","North Macedonia","","","0.8","20.7"
"36","Hungary","","","0.8","20.3"
"37","Switzerland","","","0.8","19.9"
"38","Greece","","","0.7","18.3"
"39","India","Strength","","0.7","17.2"
"40","Iceland","","","0.6","16.2"
"41","Armenia","","","0.6","15.9"
"42","Portugal","","","0.6","15.5"
"43","Lithuania","","","0.6","15.0"
"44","Denmark","","","0.6","14.8"
"45","Norway","","","0.6","14.3"
"46","Turkey","","","0.5","13.0"
"47","Czech Republic (the)","","","0.5","12.7"
"48","Panama","","","0.5","12.4"
"49","China","","","0.5","12.4"
"50","Brazil","","","0.5","12.2"
"51","Georgia","Strength","","0.5","11.8"
"52","New Zealand","","","0.5","11.4"
"53","Morocco","","","0.4","10.6"
"54","Republic of Korea (the)","","","0.4","10.5"
"55","Japan","","","0.4","10.0"
"56","Australia","","","0.4","10.0"
"57","Slovakia","","","0.4","9.9"
"58","Ukraine","","","0.4","9.4"
"59","Kyrgyzstan","","","0.4","9.0"
"60","Italy","","","0.4","9.0"
"61","Cameroon","","Strength","0.3","7.7"
"62","Qatar","","","0.3","7.2"
"63","Zambia","","Strength","0.3","7.0"
"64","Jordan","","","0.3","7.0"
"65","Chile","","","0.3","6.8"
"66","Burundi","","Strength","0.3","6.7"
"67","Malaysia","","","0.3","6.7"
"68","Colombia","","","0.3","6.5"
"69","Belarus","","","0.2","6.0"
"70","South Africa","","","0.2","5.1"
"71","Zimbabwe","","","0.2","5.1"
"72","Ireland","Weakness","Weakness","0.2","4.9"
"73","Mongolia","","","0.2","4.1"
"74","Dominican Republic (the)","","","0.2","4.0"
"75","Azerbaijan","","","0.1","3.6"
"76","Hong Kong, China","Weakness","Weakness","0.1","3.5"
"77","Pakistan","","","0.1","3.2"
"78","Mauritius","","","0.1","3.2"
"79","Burkina Faso","","","0.1","3.2"
"80","Egypt","","","0.1","3.1"
"81","Malawi","","","0.1","3.1"
"82","Madagascar","","","0.1","2.9"
"83","Uganda","","","0.1","2.8"
"84","Peru","","","0.1","2.3"
"85","Ecuador","","","0.1","2.2"
"86","Bangladesh","","","0.1","2.2"
"87","Niger (the)","","","0.1","2.2"
"88","Cyprus","Weakness","Weakness","0.1","2.1"
"89","Bolivia (Plurinational State of)","","","0.1","2.0"
"90","Guinea","","","0.1","1.8"
"91","Kazakhstan","","","0.1","1.7"
"92","Philippines","","","0.1","1.5"
"93","Cote d'Ivoire","","","0.1","1.5"
"94","Guatemala","","","0.0","1.1"
"95","Namibia","","","0.0","1.0"
"96","Bosnia and Herzegovina","","","0.0","0.9"
"97","Nicaragua","","","0.0","0.9"
"98","Kenya","","","0.0","0.7"
"99","Indonesia","","","0.0","0.7"
"100","Ethiopia","","","0.0","0.7"
"101","Trinidad and Tobago","Weakness","","0.0","0.6"
"102","Tajikistan","","","0.0","0.6"
"103","Mali","","","0.0","0.5"
"104","Mozambique","","","0.0","0.5"
"105","Rwanda","","","0.0","0.4"
"106","Botswana","","","0.0","0.4"
"107","Honduras","","","0.0","0.4"
"108","Algeria","","","0.0","0.4"
"109","Tunisia","","Weakness","0.0","0.2"
"110","Kuwait","Weakness","Weakness","0.0","0.2"
"111","Benin","","","0.0","0.2"
"112","Cambodia","","","0.0","0.2"
"113","El Salvador","","","0.0","0.1"
"114","United Republic of Tanzania (the)","","","0.0","0.1"
"115","Saudi Arabia","Weakness","Weakness","0.0","0.1"
"116","Paraguay","","Weakness","0.0","0.1"
"117","Thailand","","Weakness","0.0","0.0"
"118","Mexico","","Weakness","0.0","0.0"
"119","Brunei Darussalam","Weakness","Weakness","0.0","0.0"
