"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Hong Kong, China","Strength","Strength","203.8","100.0"
"2","Cyprus","Strength","Strength","199.1","97.6"
"3","United States of America (the)","Strength","Strength","192.2","94.1"
"4","Switzerland","Strength","","175.3","85.6"
"5","Japan","Strength","Strength","168.2","82.0"
"6","Denmark","","Strength","165.4","80.6"
"7","China","Strength","","155.8","75.8"
"8","New Zealand","","Strength","152.9","74.3"
"9","South Africa","Strength","Strength","147.7","71.7"
"10","Norway","","","146.3","71.0"
"11","Republic of Korea (the)","","","144.8","70.2"
"12","Thailand","Strength","Strength","143.8","69.7"
"13","Australia","","","142.5","69.1"
"14","United Kingdom (the)","","","136.2","65.9"
"15","Sweden","","","132.2","63.8"
"16","Viet Nam","Strength","Strength","130.7","63.1"
"17","Singapore","","","128.2","61.9"
"18","Malaysia","Strength","","118.8","57.1"
"19","Chile","","Strength","112.6","54.0"
"20","Netherlands (the)","","","111.9","53.6"
"21","Luxembourg","","","105.9","50.6"
"22","Spain","","","105.7","50.5"
"23","Lebanon","Strength","Strength","105.5","50.4"
"24","Portugal","","","104.1","49.7"
"25","Mauritius","Strength","Strength","102.3","48.8"
"26","France","","","101.6","48.4"
"27","Greece","","","100.4","47.8"
"28","Kuwait","","Strength","99.2","47.2"
"29","Finland","","","94.5","44.9"
"30","Iceland","","","89.8","42.5"
"31","Panama","","Strength","87.1","41.1"
"32","Cambodia","Strength","Strength","86.7","40.9"
"33","Tunisia","Strength","Strength","86.2","40.7"
"34","Austria","","","84.1","39.6"
"35","Italy","","","81.7","38.4"
"36","Nepal","Strength","Strength","79.8","37.4"
"37","Malta","","","79.6","37.3"
"38","United Arab Emirates (the)","","","78.8","36.9"
"39","Germany","Weakness","","77.7","36.4"
"40","Qatar","","","77.3","36.2"
"41","Jordan","","Strength","75.1","35.1"
"42","Oman","","","75.0","35.0"
"43","Bahrain","","","73.7","34.4"
"44","Turkey","","","70.9","33.0"
"45","Estonia","Weakness","","66.4","30.7"
"46","Belgium","Weakness","","66.3","30.6"
"47","Iran (Islamic Republic of)","","","66.1","30.5"
"48","Israel","Weakness","","66.0","30.5"
"49","Bolivia (Plurinational State of)","","Strength","64.5","29.7"
"50","Namibia","","","63.8","29.3"
"51","Morocco","","","63.0","28.9"
"52","Georgia","","","62.5","28.7"
"53","Costa Rica","","","62.0","28.4"
"54","Latvia","","","60.2","27.5"
"55","Slovakia","","","59.9","27.4"
"56","Brazil","","","59.7","27.3"
"57","Honduras","","Strength","57.4","26.1"
"58","Croatia","","","57.4","26.1"
"59","Bosnia and Herzegovina","","","54.4","24.6"
"60","Saudi Arabia","","","54.1","24.5"
"61","Mongolia","","","53.0","23.9"
"62","Russian Federation (the)","","","52.7","23.7"
"63","Poland","","","52.5","23.6"
"64","El Salvador","","","51.7","23.3"
"65","Czech Republic (the)","","","51.6","23.2"
"66","Armenia","","","51.5","23.1"
"67","Bulgaria","","","50.6","22.7"
"68","North Macedonia","","","50.0","22.4"
"69","India","","","49.7","22.2"
