"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Republic of Korea (the)","Strength","Strength","-","66.5"
"2","Finland","Strength","Strength","-","63.4"
"3","Germany","Strength","Strength","-","63.2"
"4","Denmark","Strength","Strength","-","63.1"
"5","Singapore","Strength","","-","63.0"
"6","Sweden","Strength","","-","62.1"
"7","Switzerland","Strength","","-","61.9"
"8","Austria","","Strength","-","60.2"
"9","United Kingdom (the)","","","-","59.3"
"10","Australia","","Strength","-","57.7"
"11","France","","","-","55.8"
"12","United States of America (the)","","","-","55.7"
"13","Belgium","","Strength","-","55.0"
"14","Israel","","","-","54.5"
"15","Norway","","","-","53.9"
"16","New Zealand","","","-","52.6"
"17","Netherlands (the)","","","-","52.4"
"18","United Arab Emirates (the)","","","-","52.4"
"19","Canada","","","-","50.9"
"20","Greece","","Strength","-","49.5"
"21","Japan","","","-","49.1"
"22","Ireland","","","-","48.4"
"23","Russian Federation (the)","Strength","","-","48.3"
"24","Portugal","","","-","47.7"
"25","China","Strength","","-","47.6"
"26","Spain","","","-","47.0"
"27","Slovenia","","","-","46.6"
"28","Hong Kong, China","Weakness","","-","46.1"
"29","Saudi Arabia","","Strength","-","45.5"
"30","Iceland","Weakness","","-","45.4"
"31","Italy","","","-","45.4"
"32","Tunisia","Strength","Strength","-","44.4"
"33","Malaysia","Strength","","-","44.2"
"34","Czech Republic (the)","","","-","43.4"
"35","Oman","","","-","43.3"
"36","Estonia","Weakness","","-","42.1"
"37","Bosnia and Herzegovina","Strength","","-","42.0"
"38","Luxembourg","Weakness","","-","41.7"
"39","Belarus","Strength","","-","41.6"
"40","Poland","","","-","41.2"
"41","Hungary","","","-","41.0"
"42","Argentina","","","-","38.7"
"43","Iran (Islamic Republic of)","","","-","37.6"
"44","Latvia","","","-","36.9"
"45","Malta","","","-","36.6"
"46","Turkey","","","-","36.3"
"47","Lithuania","","","-","36.3"
"48","Brazil","","","-","36.0"
"49","Cyprus","","","-","35.8"
"50","Croatia","","","-","35.6"
"51","Ukraine","Strength","","-","35.6"
"52","Thailand","","","-","34.7"
"53","India","Strength","","-","33.5"
"54","Mexico","","","-","33.4"
"55","Brunei Darussalam","Weakness","","-","33.3"
"[56]","Montenegro","","","-","33.0"
"57","Chile","Weakness","","-","32.5"
"58","Slovakia","Weakness","","-","32.4"
"59","Serbia","","","-","32.4"
"60","Kyrgyzstan","Strength","","-","31.7"
"61","Viet Nam","","","-","31.1"
"62","Bulgaria","","","-","30.6"
"63","Georgia","","","-","30.5"
"64","Republic of Moldova (the)","","","-","30.4"
"65","South Africa","","","-","30.4"
"66","Peru","","","-","30.4"
"67","Kazakhstan","","","-","29.8"
"68","Jordan","","","-","29.4"
"69","Romania","","","-","29.1"
"70","Qatar","Weakness","","-","28.9"
"71","Uruguay","Weakness","","-","28.7"
"72","Costa Rica","","","-","28.5"
"73","Botswana","","","-","28.2"
"74","Algeria","","","-","27.9"
"75","Morocco","","","-","27.8"
"76","Zimbabwe","Strength","","-","27.8"
"77","Mauritius","","","-","27.1"
"78","Colombia","","","-","27.0"
"[79]","Bolivia (Plurinational State of)","","","-","26.5"
"80","North Macedonia","","","-","26.4"
"[81]","Kuwait","Weakness","","-","25.5"
"82","Lebanon","","","-","25.3"
"83","Philippines","","","-","24.6"
"84","Mongolia","","","-","24.6"
"85","Bahrain","Weakness","","-","24.4"
"86","Jamaica","","","-","24.4"
"87","Tajikistan","Strength","","-","24.0"
"88","Albania","","","-","22.7"
"89","Paraguay","","","-","22.0"
"90","Indonesia","","","-","21.3"
"91","Ecuador","","","-","21.1"
"92","Benin","Strength","","-","21.1"
"93","Senegal","Strength","","-","20.6"
"[94]","Trinidad and Tobago","Weakness","","-","20.5"
"95","Panama","Weakness","","-","20.2"
"96","Egypt","","","-","19.7"
"97","Ghana","","","-","19.2"
"98","Cameroon","","","-","18.8"
"99","El Salvador","","","-","18.3"
"100","Honduras","","","-","18.3"
"101","Dominican Republic (the)","Weakness","","-","18.0"
"102","Rwanda","","","-","17.8"
"103","Burundi","","","-","17.7"
"104","Kenya","","","-","17.5"
"105","Mozambique","","","-","17.4"
"106","Azerbaijan","Weakness","","-","17.0"
"107","Armenia","Weakness","","-","16.9"
"108","Togo","","","-","16.0"
"109","Madagascar","","","-","15.3"
"110","Burkina Faso","","","-","14.4"
"111","Sri Lanka","","Weakness","-","14.0"
"112","Namibia","Weakness","Weakness","-","13.9"
"113","Cote d'Ivoire","","","-","13.6"
"114","Uganda","","","-","13.4"
"115","Nepal","","","-","12.9"
"116","Pakistan","","","-","12.5"
"[117]","Yemen","","","-","12.5"
"[118]","Nicaragua","Weakness","","-","11.7"
"119","Nigeria","Weakness","","-","11.3"
"120","Cambodia","Weakness","","-","11.2"
"121","Guatemala","Weakness","","-","11.1"
"122","Malawi","","","-","10.8"
"123","Mali","","Weakness","-","10.7"
"124","Ethiopia","","","-","10.6"
"125","United Republic of Tanzania (the)","Weakness","","-","10.0"
"126","Niger (the)","Weakness","","-","9.9"
"127","Bangladesh","Weakness","Weakness","-","8.8"
"128","Guinea","Weakness","Weakness","-","6.5"
"[129]","Zambia","Weakness","Weakness","-","1.4"
