"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Luxembourg","Strength","Strength","9.4","94.2"
"2","Iceland","Strength","Strength","9.3","92.9"
"3","United Kingdom (the)","Strength","Strength","9.3","92.9"
"4","Hong Kong, China","Strength","","9.1","91.4"
"5","Malta","Strength","Strength","9.1","91.3"
"6","Germany","","Strength","9.0","90.3"
"7","Republic of Korea (the)","","","9.0","90.0"
"8","Netherlands (the)","","","8.8","87.5"
"9","Singapore","","","8.7","87.2"
"10","Switzerland","","","8.7","87.1"
"11","Japan","","","8.6","86.3"
"12","New Zealand","","","8.6","86.2"
"13","Austria","","","8.5","85.2"
"14","United States of America (the)","","","8.5","84.8"
"15","United Arab Emirates (the)","","","8.5","84.8"
"16","France","","","8.3","83.4"
"17","Sweden","","","8.3","82.7"
"18","Denmark","","","8.3","82.5"
"19","Bahrain","","Strength","8.2","82.5"
"20","Estonia","","","8.2","81.6"
"21","Belgium","","","8.1","81.5"
"22","Ireland","","","8.1","81.3"
"23","Belarus","Strength","","8.1","80.8"
"24","Slovenia","","","8.1","80.6"
"25","Spain","","","8.0","80.5"
"26","Australia","","","8.0","80.4"
"27","Israel","","","8.0","80.3"
"28","Portugal","","","8.0","80.3"
"29","Canada","","","8.0","80.0"
"30","Greece","","","8.0","79.8"
"31","Cyprus","","","8.0","79.7"
"32","Qatar","","","7.9","78.9"
"33","Kuwait","","Strength","7.8","78.3"
"34","Hungary","","","7.8","77.9"
"35","Norway","","","7.8","77.6"
"36","Armenia","Strength","Strength","7.7","76.7"
"37","Serbia","Strength","","7.7","76.6"
"38","Oman","","","7.7","76.6"
"39","Brunei Darussalam","","","7.7","76.6"
"40","Croatia","","","7.6","75.8"
"41","Kazakhstan","Strength","","7.5","75.4"
"42","Uruguay","","","7.5","75.1"
"43","Malaysia","Strength","","7.5","75.0"
"44","Saudi Arabia","","","7.5","74.8"
"45","Trinidad and Tobago","","Strength","7.5","74.6"
"46","Latvia","","","7.4","74.5"
"47","Montenegro","Strength","","7.4","74.4"
"48","Italy","Weakness","","7.4","74.3"
"49","Mauritius","Strength","","7.4","74.3"
"50","Poland","Weakness","","7.4","74.0"
"51","Russian Federation (the)","Strength","","7.4","74.0"
"52","Finland","Weakness","","7.4","73.9"
"53","Slovakia","Weakness","","7.4","73.9"
"54","Lithuania","Weakness","","7.4","73.7"
"55","Argentina","Weakness","","7.3","73.1"
"56","Republic of Moldova (the)","Strength","","7.3","72.8"
"57","Chile","Weakness","","7.3","72.8"
"58","Iran (Islamic Republic of)","","","7.3","72.7"
"59","Georgia","Strength","","7.2","72.1"
"60","Czech Republic (the)","Weakness","","7.2","71.9"
"61","Romania","","","7.1","71.4"
"62","Bulgaria","","","7.0","70.3"
"63","North Macedonia","","","6.8","68.3"
"64","Azerbaijan","","","6.7","67.0"
"65","Ukraine","Strength","","6.7","66.5"
"66","Bosnia and Herzegovina","","","6.6","65.8"
"67","Costa Rica","","","6.6","65.6"
"68","Lebanon","","","6.5","65.3"
"69","Turkey","","","6.5","65.1"
"70","Morocco","Strength","","6.4","63.6"
"71","Panama","Weakness","","6.4","63.5"
"72","Brazil","","","6.2","61.9"
"73","Jordan","","","6.2","61.5"
"74","Colombia","","","6.1","61.3"
"75","China","","","6.0","60.0"
"76","Tunisia","","","5.7","57.1"
"77","Thailand","","","5.7","56.8"
"78","Egypt","","","5.6","55.6"
"79","Mexico","","","5.5","54.9"
"80","South Africa","","","5.4","53.8"
"81","Jamaica","","","5.4","53.6"
"82","Albania","","","5.3","53.1"
"83","Algeria","","","5.3","53.1"
"84","Botswana","","","5.2","52.5"
"85","Indonesia","","","5.1","51.4"
"86","Ecuador","Weakness","","5.1","51.0"
"87","Peru","Weakness","","5.1","50.8"
"88","Sri Lanka","","","5.0","49.7"
"89","Mongolia","","","4.9","49.1"
"90","Viet Nam","","","4.9","48.8"
"91","Guatemala","Weakness","","4.9","48.7"
"92","Bolivia (Plurinational State of)","","","4.8","48.4"
"93","El Salvador","","","4.8","48.3"
"94","Philippines","","","4.7","47.5"
"95","Kyrgyzstan","","","4.7","47.1"
"96","Dominican Republic (the)","Weakness","","4.6","46.1"
"97","Ghana","","","4.6","45.6"
"98","Namibia","Weakness","","4.5","45.4"
"99","Nicaragua","","","4.4","43.6"
"100","Paraguay","Weakness","","4.4","43.5"
"101","Nepal","Strength","","4.2","42.0"
"102","Cambodia","","","4.2","41.6"
"103","Honduras","","","4.1","40.7"
"104","Kenya","","","4.0","39.6"
"105","India","","Weakness","3.8","38.5"
"106","Senegal","Strength","","3.8","38.4"
"107","Cote d'Ivoire","","","3.7","37.0"
"108","Zimbabwe","Strength","","3.6","36.0"
"109","Bangladesh","Weakness","","3.6","35.7"
"110","Mali","","","3.6","35.7"
"111","Pakistan","Weakness","","3.5","35.1"
"112","Cameroon","Weakness","","3.5","34.6"
"113","Togo","","","3.4","33.5"
"114","Burkina Faso","","","3.2","32.4"
"115","Benin","","","3.1","31.4"
"116","Zambia","Weakness","","3.1","31.1"
"117","Nigeria","Weakness","","3.0","29.9"
"118","Guinea","","","3.0","29.8"
"119","Rwanda","","Weakness","2.8","27.8"
"120","Uganda","","Weakness","2.7","26.9"
"121","United Republic of Tanzania (the)","","","2.6","26.0"
"122","Burundi","","","2.4","24.0"
"123","Malawi","Weakness","Weakness","2.3","22.6"
"124","Ethiopia","Weakness","","2.3","22.5"
"125","Madagascar","Weakness","Weakness","2.2","22.3"
"126","Mozambique","Weakness","Weakness","2.1","20.8"
