"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Cyprus","Strength","Strength","8.1","100.0"
"1","Switzerland","Strength","Strength","4.2","100.0"
"3","Qatar","Strength","Strength","3.9","91.7"
"4","Finland","Strength","Strength","3.7","87.2"
"5","Niger (the)","Strength","Strength","3.5","84.2"
"6","Sweden","Strength","","3.3","78.0"
"7","Mali","Strength","Strength","3.1","74.0"
"8","Luxembourg","Strength","","3.1","72.7"
"9","Denmark","","","3.0","71.0"
"10","Norway","","","2.8","65.5"
"11","Singapore","","","2.7","64.8"
"12","Senegal","Strength","Strength","2.6","62.4"
"13","Montenegro","Strength","Strength","2.6","60.6"
"14","Madagascar","Strength","Strength","2.5","60.4"
"15","Uruguay","","Strength","2.5","60.3"
"16","Romania","Strength","Strength","2.3","55.6"
"17","Netherlands (the)","","","2.3","55.2"
"18","Austria","","","2.3","54.9"
"19","Iceland","","","2.3","54.9"
"20","Belgium","","","2.3","53.9"
"21","Burkina Faso","","Strength","2.2","52.2"
"22","France","","","2.2","52.2"
"23","Estonia","","","2.2","51.2"
"24","Israel","","","2.1","49.9"
"25","Germany","","","2.1","49.7"
"26","Serbia","Strength","Strength","2.1","48.7"
"27","Sri Lanka","Strength","Strength","2.0","48.5"
"28","Republic of Moldova (the)","Strength","Strength","1.9","45.4"
"29","Cote d'Ivoire","Strength","Strength","1.9","44.6"
"30","United Kingdom (the)","","","1.8","43.6"
"31","Lebanon","Strength","Strength","1.8","43.2"
"32","Italy","","","1.7","41.3"
"33","Latvia","","","1.7","40.3"
"34","Japan","","","1.7","39.3"
"35","Brazil","","","1.6","38.8"
"36","Mauritius","","","1.6","38.7"
"37","Burundi","","Strength","1.6","37.2"
"38","Spain","","","1.6","37.1"
"39","Argentina","","","1.5","36.5"
"40","United States of America (the)","","","1.5","36.3"
"41","Slovenia","","","1.5","36.1"
"42","Albania","","Strength","1.5","35.2"
"43","Croatia","","","1.5","35.1"
"44","Mozambique","","Strength","1.5","34.6"
"45","Russian Federation (the)","","","1.5","34.5"
"46","Ireland","","","1.5","34.5"
"47","Malawi","","Strength","1.5","34.3"
"48","Malaysia","","","1.4","33.5"
"49","New Zealand","","","1.4","33.5"
"50","Costa Rica","","","1.4","33.1"
"51","Colombia","","","1.4","32.8"
"52","North Macedonia","","","1.4","32.8"
"53","Saudi Arabia","","","1.4","32.5"
"54","Indonesia","","","1.3","31.7"
"55","Czech Republic (the)","","","1.3","31.6"
"56","Poland","","","1.3","31.1"
"57","Jamaica","","","1.3","31.0"
"58","Hungary","","","1.3","31.0"
"59","Peru","","","1.2","28.7"
"60","South Africa","","","1.2","28.1"
"61","Malta","","","1.2","27.4"
"62","India","","","1.2","27.2"
"63","Benin","","Strength","1.1","27.0"
"64","Portugal","","","1.1","26.3"
"65","Bulgaria","","","1.1","26.1"
"66","Mongolia","","","1.1","26.0"
"67","Cameroon","","Strength","1.1","25.8"
"68","Egypt","","","1.1","25.1"
"69","Greece","","","1.1","25.0"
"70","Botswana","","","1.0","24.6"
"71","Australia","Weakness","Weakness","1.0","24.3"
"72","Slovakia","","","1.0","23.0"
"73","Pakistan","","","0.9","22.0"
"74","United Arab Emirates (the)","","","0.9","21.8"
"75","Guatemala","","","0.9","21.5"
"76","Namibia","","","0.9","21.3"
"77","Canada","Weakness","Weakness","0.9","21.3"
"78","Bolivia (Plurinational State of)","","","0.9","21.0"
"79","Ukraine","","","0.9","20.7"
"80","Zimbabwe","","","0.9","20.4"
"81","Nigeria","","","0.9","20.4"
"82","Honduras","","","0.8","19.8"
"83","Philippines","","","0.8","19.5"
"84","Lithuania","","Weakness","0.8","19.4"
"85","China","","","0.8","19.3"
"86","Brunei Darussalam","","","0.8","18.0"
"87","Togo","","","0.8","17.6"
"88","Chile","","Weakness","0.7","17.0"
"89","Ethiopia","","","0.7","16.7"
"90","Georgia","","","0.7","16.6"
"91","Algeria","","","0.7","15.9"
"92","Kuwait","Weakness","","0.7","15.5"
"93","Belarus","","","0.7","15.5"
"94","Zambia","","","0.7","15.3"
"95","Kyrgyzstan","","","0.6","14.7"
"96","Rwanda","","","0.6","14.7"
"97","Cambodia","","","0.6","14.4"
"98","Uganda","","","0.6","14.2"
"99","Kazakhstan","","","0.6","14.1"
"100","El Salvador","","","0.6","13.4"
"101","Bosnia and Herzegovina","","","0.6","12.8"
"102","Armenia","","","0.5","12.5"
"103","Morocco","","Weakness","0.5","12.4"
"104","Iran (Islamic Republic of)","","","0.5","12.2"
"105","Republic of Korea (the)","Weakness","Weakness","0.5","11.8"
"106","Azerbaijan","","","0.5","11.3"
"107","Dominican Republic (the)","","","0.5","11.3"
"108","Trinidad and Tobago","Weakness","","0.5","10.5"
"109","Yemen","","","0.4","10.1"
"110","Tunisia","","Weakness","0.4","9.6"
"111","Bahrain","Weakness","","0.4","8.2"
