"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","Strength","Strength","-","63.5"
"2","Netherlands (the)","Strength","Strength","-","57.5"
"3","Sweden","Strength","Strength","-","56.9"
"4","United Kingdom (the)","Strength","Strength","-","54.4"
"5","China","Strength","","-","52.8"
"6","United States of America (the)","","","-","52.6"
"7","Finland","","","-","51.6"
"8","Israel","","","-","51.6"
"9","Germany","","","-","51.1"
"10","Ireland","","","-","50.1"
"11","Luxembourg","","","-","49.2"
"12","Denmark","","","-","47.5"
"13","Republic of Korea (the)","","","-","47.2"
"14","France","","","-","45.0"
"15","Singapore","","","-","44.6"
"16","Hong Kong, China","","","-","44.4"
"17","Japan","","","-","44.3"
"18","Iceland","","","-","44.0"
"19","Estonia","","","-","43.8"
"20","Malta","","","-","43.4"
"21","Czech Republic (the)","","","-","43.4"
"22","Canada","","","-","41.4"
"23","Cyprus","","","-","41.1"
"24","Belgium","Weakness","","-","39.6"
"25","Austria","Weakness","","-","39.1"
"26","Hungary","","","-","38.7"
"27","Norway","Weakness","","-","38.5"
"28","Spain","","","-","38.4"
"29","Italy","","","-","37.9"
"30","Slovenia","","","-","36.4"
"31","Australia","Weakness","","-","36.3"
"32","New Zealand","Weakness","","-","36.0"
"33","Slovakia","","","-","35.6"
"34","Latvia","","","-","35.2"
"35","Portugal","","","-","34.6"
"36","Ukraine","Strength","","-","34.1"
"37","Viet Nam","Strength","","-","33.9"
"38","Bulgaria","Strength","","-","32.6"
"39","Malaysia","Strength","","-","32.4"
"40","Lithuania","","","-","32.3"
"41","Poland","","","-","31.7"
"42","Philippines","Strength","","-","30.7"
"43","Thailand","","","-","30.7"
"44","Mongolia","Strength","","-","30.3"
"45","Republic of Moldova (the)","Strength","","-","30.3"
"46","Montenegro","","","-","30.0"
"47","Iran (Islamic Republic of)","","","-","29.9"
"48","Costa Rica","","","-","29.3"
"49","Turkey","","","-","28.6"
"50","Armenia","","","-","28.6"
"51","India","Strength","","-","28.5"
"52","Croatia","","","-","28.3"
"53","Romania","","","-","28.0"
"54","Greece","","","-","27.6"
"55","Mexico","","","-","27.4"
"56","Kuwait","","","-","27.2"
"57","Serbia","","","-","26.9"
"58","United Arab Emirates (the)","","","-","26.7"
"59","Russian Federation (the)","","","-","26.1"
"60","Georgia","","","-","25.8"
"61","Uruguay","Weakness","","-","25.3"
"62","Chile","Weakness","","-","25.0"
"63","North Macedonia","","","-","24.9"
"64","Kenya","","","-","24.2"
"65","Tunisia","","","-","23.5"
"66","Morocco","","","-","23.3"
"67","Brazil","","","-","22.9"
"68","South Africa","","","-","22.3"
"69","Jamaica","","","-","22.1"
"70","Qatar","Weakness","","-","22.1"
"71","Jordan","","","-","22.1"
"72","Panama","Weakness","","-","21.9"
"73","United Republic of Tanzania (the)","Strength","","-","21.8"
"74","Egypt","","","-","21.6"
"75","Argentina","Weakness","","-","21.6"
"76","Colombia","","","-","20.9"
"77","Sri Lanka","","","-","20.8"
"78","Indonesia","","","-","20.8"
"79","Bosnia and Herzegovina","","","-","20.4"
"80","Ethiopia","Strength","Strength","-","20.1"
"81","Senegal","Strength","","-","20.1"
"82","Lebanon","","","-","20.0"
"83","Tajikistan","Strength","","-","19.7"
"84","Cambodia","","","-","19.7"
"85","Saudi Arabia","Weakness","","-","19.5"
"86","Peru","","","-","19.4"
"87","Bahrain","Weakness","","-","19.3"
"88","Dominican Republic (the)","","","-","19.2"
"89","Pakistan","","","-","19.1"
"90","Azerbaijan","","","-","18.8"
"91","Cote d'Ivoire","","","-","18.7"
"92","Kazakhstan","","","-","18.3"
"93","Albania","","","-","18.3"
"94","Paraguay","","","-","18.2"
"95","Belarus","","","-","18.1"
"96","Mauritius","","","-","18.0"
"97","Ghana","","","-","17.7"
"98","Ecuador","","","-","17.7"
"99","Trinidad and Tobago","Weakness","","-","17.5"
"100","Mali","","","-","17.3"
"101","Oman","Weakness","","-","16.9"
"102","Guatemala","","","-","16.8"
"103","Namibia","","","-","16.7"
"104","Honduras","","","-","16.5"
"105","Nigeria","","","-","16.4"
"106","Cameroon","","","-","16.1"
"107","Uganda","","","-","15.5"
"108","Bangladesh","","","-","15.5"
"109","Madagascar","","","-","15.5"
"110","Zimbabwe","","","-","15.4"
"111","Kyrgyzstan","","","-","15.3"
"112","Malawi","","","-","15.3"
"113","Bolivia (Plurinational State of)","","","-","15.1"
"114","Mozambique","","","-","14.8"
"115","Burkina Faso","","","-","14.3"
"116","El Salvador","Weakness","","-","14.2"
"117","Botswana","Weakness","Weakness","-","14.0"
"118","Algeria","Weakness","","-","13.3"
"119","Nepal","","","-","13.0"
"120","Brunei Darussalam","Weakness","Weakness","-","13.0"
"121","Zambia","Weakness","","-","12.7"
"122","Nicaragua","Weakness","Weakness","-","12.1"
"123","Rwanda","","Weakness","-","11.3"
"124","Guinea","","","-","11.2"
"125","Benin","Weakness","","-","9.4"
"126","Burundi","Weakness","","-","8.8"
"127","Niger (the)","Weakness","","-","8.3"
"128","Togo","Weakness","Weakness","-","7.3"
"129","Yemen","Weakness","Weakness","-","6.4"
