"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Singapore","Strength","Strength","-","94.9"
"2","Norway","Strength","Strength","-","93.9"
"3","Finland","Strength","Strength","-","93.6"
"4","Canada","","Strength","-","92.3"
"5","New Zealand","","Strength","-","92.1"
"6","Denmark","","Strength","-","91.7"
"7","Hong Kong, China","","","-","91.1"
"8","Netherlands (the)","","","-","90.9"
"9","Sweden","","","-","90.1"
"10","Japan","","","-","89.9"
"11","United States of America (the)","","","-","89.7"
"12","Switzerland","","","-","89.1"
"13","Australia","","","-","88.8"
"14","United Kingdom (the)","","","-","87.1"
"15","Iceland","","","-","86.8"
"16","Germany","","","-","86.4"
"17","Austria","","","-","86.0"
"18","Ireland","","","-","85.5"
"19","France","","","-","83.2"
"20","Slovenia","","","-","82.3"
"21","Belgium","","","-","82.0"
"22","Portugal","","","-","81.8"
"23","Estonia","","","-","81.7"
"24","Luxembourg","","","-","80.7"
"25","Cyprus","","","-","80.3"
"26","Republic of Korea (the)","Weakness","","-","79.7"
"27","Brunei Darussalam","","","-","78.9"
"28","United Arab Emirates (the)","","","-","78.8"
"29","Czech Republic (the)","","","-","78.6"
"30","Spain","","","-","78.1"
"31","Israel","Weakness","","-","77.9"
"32","Latvia","","","-","77.2"
"33","Lithuania","","","-","76.0"
"34","Italy","","","-","75.3"
"35","Malta","","","-","75.2"
"36","Georgia","Strength","","-","74.3"
"37","Poland","","","-","73.6"
"38","Slovakia","","","-","73.1"
"39","Chile","","","-","73.0"
"40","Malaysia","Strength","","-","71.6"
"41","Hungary","","","-","71.6"
"42","Jamaica","Strength","","-","71.3"
"43","North Macedonia","Strength","","-","69.7"
"44","Uruguay","","","-","69.3"
"45","Croatia","","","-","69.3"
"46","Montenegro","Strength","","-","68.9"
"47","Serbia","Strength","","-","68.7"
"48","Bulgaria","","","-","68.3"
"49","Kazakhstan","","","-","68.3"
"50","Rwanda","Strength","Strength","-","68.1"
"51","Greece","Weakness","","-","67.2"
"52","Romania","","","-","67.1"
"53","Qatar","Weakness","","-","66.2"
"54","Bahrain","Weakness","","-","66.0"
"55","South Africa","","","-","65.9"
"56","Albania","","","-","65.8"
"57","Thailand","","","-","65.8"
"58","Botswana","","","-","65.7"
"59","Azerbaijan","","","-","64.5"
"60","China","","","-","64.1"
"61","Colombia","","","-","64.0"
"62","Mauritius","","","-","63.6"
"63","Trinidad and Tobago","Weakness","","-","63.4"
"64","Armenia","","","-","63.2"
"65","Panama","Weakness","","-","62.9"
"66","Mexico","","","-","62.8"
"67","Jordan","","","-","62.1"
"68","Costa Rica","","","-","61.9"
"69","Oman","Weakness","","-","61.5"
"70","Peru","","","-","61.2"
"71","Namibia","","","-","61.2"
"72","Morocco","Strength","","-","61.1"
"73","Tunisia","Strength","","-","61.1"
"74","Russian Federation (the)","","","-","60.9"
"75","Senegal","Strength","","-","60.4"
"76","Mongolia","","","-","59.8"
"77","India","","","-","59.5"
"78","Kenya","","","-","59.2"
"79","Bosnia and Herzegovina","","","-","58.9"
"80","Brazil","","","-","58.9"
"81","Viet Nam","","","-","58.6"
"82","Republic of Moldova (the)","","","-","58.4"
"83","Belarus","","","-","57.7"
"84","Cote d'Ivoire","","","-","57.5"
"85","Turkey","","","-","57.4"
"86","Argentina","Weakness","","-","56.7"
"87","Benin","","","-","56.6"
"88","Burkina Faso","","","-","56.4"
"89","Philippines","","","-","56.0"
"90","Kuwait","Weakness","","-","55.6"
"91","Uganda","","","-","55.2"
"92","Kyrgyzstan","","","-","54.6"
"93","Niger (the)","","","-","54.4"
"94","Dominican Republic (the)","Weakness","","-","54.3"
"95","El Salvador","","","-","53.9"
"96","Ukraine","","","-","53.9"
"97","Togo","","","-","53.4"
"98","United Republic of Tanzania (the)","","","-","53.4"
"99","Indonesia","","","-","53.2"
"100","Pakistan","","","-","53.1"
"101","Nicaragua","","","-","52.5"
"102","Lebanon","Weakness","","-","51.8"
"103","Mali","","","-","51.4"
"104","Saudi Arabia","Weakness","","-","51.3"
"105","Malawi","","","-","51.3"
"106","Algeria","Weakness","","-","51.1"
"107","Sri Lanka","","","-","50.7"
"108","Guinea","","","-","50.6"
"109","Madagascar","","","-","49.9"
"110","Nepal","","","-","49.8"
"111","Cameroon","","","-","49.6"
"112","Cambodia","","","-","49.6"
"113","Paraguay","Weakness","","-","49.4"
"114","Nigeria","","","-","49.3"
"115","Ghana","","","-","48.9"
"116","Iran (Islamic Republic of)","Weakness","Weakness","-","48.8"
"117","Guatemala","Weakness","","-","48.1"
"118","Egypt","","Weakness","-","47.9"
"119","Ethiopia","","","-","47.5"
"120","Zambia","","","-","47.1"
"121","Honduras","","Weakness","-","46.9"
"122","Tajikistan","","","-","46.0"
"123","Burundi","","","-","45.6"
"124","Bangladesh","Weakness","Weakness","-","45.5"
"125","Ecuador","Weakness","Weakness","-","44.7"
"126","Mozambique","","","-","43.7"
"127","Zimbabwe","Weakness","Weakness","-","37.6"
"128","Bolivia (Plurinational State of)","Weakness","Weakness","-","36.8"
"129","Yemen","Weakness","Weakness","-","27.5"
