"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Cyprus","Strength","Strength","27.9","100.0"
"1","Finland","Strength","Strength","3.2","100.0"
"1","Israel","Strength","Strength","2.9","100.0"
"4","Lithuania","Strength","Strength","2.8","98.0"
"5","Hong Kong, China","Strength","","2.0","70.2"
"6","Belarus","Strength","Strength","1.9","66.5"
"7","Estonia","Strength","Strength","1.9","66.0"
"8","Sweden","","","1.8","64.2"
"9","Luxembourg","","","1.6","57.2"
"10","Singapore","","","1.5","52.9"
"11","Denmark","","","1.4","48.5"
"12","Republic of Korea (the)","","","1.3","46.6"
"13","Viet Nam","Strength","Strength","1.2","42.9"
"14","France","","","1.1","37.7"
"15","Switzerland","","","1.0","34.4"
"16","Lebanon","Strength","Strength","0.9","31.1"
"17","United States of America (the)","","","0.9","30.1"
"18","United Kingdom (the)","","","0.7","25.9"
"19","Ukraine","Strength","","0.7","24.3"
"20","Republic of Moldova (the)","Strength","Strength","0.7","24.3"
"21","Serbia","Strength","","0.7","23.6"
"22","Slovenia","","","0.6","19.9"
"23","Turkey","","","0.5","19.0"
"24","Canada","","","0.5","18.8"
"25","Ireland","","","0.5","18.3"
"26","Russian Federation (the)","","","0.5","18.1"
"27","Czech Republic (the)","","","0.5","17.2"
"28","Netherlands (the)","","","0.5","16.3"
"29","Romania","","","0.5","16.1"
"30","Norway","","","0.5","16.0"
"31","New Zealand","","","0.5","15.9"
"32","Jordan","","Strength","0.4","15.6"
"33","Austria","","","0.4","14.4"
"34","Poland","","","0.4","13.8"
"35","Japan","","","0.4","13.2"
"36","Brazil","","","0.4","12.7"
"37","Australia","","","0.3","12.1"
"38","Spain","","","0.3","12.0"
"39","Malta","","","0.3","11.9"
"40","Germany","","","0.3","11.9"
"41","Latvia","","","0.3","10.9"
"42","India","","","0.3","10.7"
"43","Slovakia","","","0.3","10.1"
"44","North Macedonia","","","0.2","7.5"
"45","Bulgaria","","","0.2","7.0"
"46","Hungary","","","0.2","6.7"
"47","United Arab Emirates (the)","","","0.2","6.7"
"48","Argentina","","","0.2","5.8"
"49","Indonesia","","","0.1","4.8"
"50","Uruguay","","","0.1","4.6"
"51","Thailand","","","0.1","4.4"
"52","Georgia","","","0.1","4.3"
"53","Croatia","","","0.1","4.3"
"54","Malaysia","","","0.1","4.2"
"55","Pakistan","","","0.1","4.2"
"56","Panama","","","0.1","3.5"
"57","Greece","","","0.1","3.4"
"58","Italy","","Weakness","0.1","3.4"
"59","Portugal","","Weakness","0.1","2.8"
"60","Armenia","","","0.1","2.5"
"61","Chile","","","0.1","2.4"
"62","Belgium","Weakness","Weakness","0.1","1.8"
"63","Philippines","","","0.0","1.4"
"64","Iceland","Weakness","Weakness","0.0","1.2"
"65","Nepal","Strength","","0.0","1.2"
"66","Mexico","","","0.0","0.7"
"67","Kuwait","","","0.0","0.7"
"68","Bangladesh","","","0.0","0.5"
"69","Sri Lanka","","","0.0","0.5"
"70","Ecuador","","","0.0","0.4"
"71","Morocco","","","0.0","0.4"
"72","Colombia","","","0.0","0.4"
"73","Costa Rica","","","0.0","0.4"
"74","Cambodia","","","0.0","0.3"
"75","South Africa","","Weakness","0.0","0.3"
"76","Yemen","","","0.0","0.3"
"77","Saudi Arabia","","","0.0","0.3"
"78","Qatar","","","0.0","0.3"
"79","Tunisia","","","0.0","0.2"
"80","Bosnia and Herzegovina","","","0.0","0.1"
"81","Nigeria","","","0.0","0.1"
"82","Egypt","","","0.0","0.1"
"83","Mongolia","","","0.0","0.1"
"84","Peru","","Weakness","0.0","0.1"
"85","Kyrgyzstan","","","0.0","0.1"
"86","Honduras","","","0.0","0.1"
"87","Bahrain","","Weakness","0.0","0.1"
"88","Bolivia (Plurinational State of)","","","0.0","0.1"
"89","Kenya","","Weakness","0.0","0.0"
"90","Kazakhstan","","Weakness","0.0","0.0"
"91","Paraguay","","","0.0","0.0"
"92","Dominican Republic (the)","","Weakness","0.0","0.0"
"93","Azerbaijan","","Weakness","0.0","0.0"
"94","Algeria","","","0.0","0.0"
"95","El Salvador","","Weakness","0.0","0.0"
"96","Iran (Islamic Republic of)","","Weakness","0.0","0.0"
"97","Guatemala","","Weakness","0.0","0.0"
"98","Ethiopia","Weakness","Weakness","0.0","0.0"
