"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","China","Strength","Strength","53.7","100.0"
"1","Germany","Strength","Strength","17.5","100.0"
"1","Japan","Strength","Strength","47.8","100.0"
"1","Republic of Korea (the)","Strength","Strength","78.2","100.0"
"5","Switzerland","Strength","","16.5","94.4"
"6","United States of America (the)","Strength","","15.1","86.4"
"7","Finland","","","13.1","75.2"
"8","Denmark","","","12.5","71.8"
"9","Luxembourg","","","11.5","66.0"
"10","Sweden","","","11.2","63.8"
"11","Slovenia","","Strength","10.2","58.3"
"12","Netherlands (the)","","","10.0","57.4"
"13","Austria","","","9.7","55.8"
"14","Iran (Islamic Republic of)","Strength","Strength","9.3","53.3"
"15","France","","","8.8","50.2"
"16","United Kingdom (the)","","","6.4","36.4"
"17","Ukraine","Strength","Strength","6.2","35.3"
"18","Kyrgyzstan","Strength","Strength","6.0","34.6"
"19","Belgium","","","6.0","34.1"
"20","Russian Federation (the)","Strength","Strength","5.8","32.9"
"21","Italy","","","5.6","32.1"
"22","New Zealand","","","5.4","30.7"
"23","Malta","","","5.2","30.0"
"24","Iceland","","","5.1","28.9"
"25","Israel","","","4.5","25.9"
"26","Norway","","","4.4","25.3"
"27","Turkey","","","4.2","23.8"
"28","Poland","","","3.9","22.3"
"29","Armenia","","Strength","3.9","22.2"
"30","Belarus","","","3.1","17.9"
"31","Mongolia","Strength","","3.1","17.8"
"32","Republic of Moldova (the)","Strength","","3.1","17.6"
"33","Singapore","Weakness","","3.0","17.4"
"34","Czech Republic (the)","","","2.7","15.1"
"35","Portugal","","","2.5","14.4"
"36","Kazakhstan","","","2.4","13.6"
"37","Romania","","","2.4","13.6"
"38","Canada","Weakness","","2.3","13.0"
"39","Ireland","Weakness","","2.2","12.8"
"40","Estonia","Weakness","","2.2","12.5"
"41","Spain","","","2.2","12.3"
"42","Hungary","","","2.0","11.7"
"43","Australia","Weakness","","2.0","11.4"
"44","Greece","","","2.0","11.4"
"45","Latvia","","","1.9","11.1"
"46","Bosnia and Herzegovina","","","1.9","11.1"
"47","Cyprus","","","1.9","10.8"
"48","Georgia","","","1.9","10.7"
"49","Serbia","","","1.7","9.8"
"50","Brazil","","","1.7","9.6"
"51","North Macedonia","","","1.6","9.3"
"52","India","","","1.6","9.0"
"53","Croatia","","","1.5","8.8"
"54","Bulgaria","","","1.5","8.7"
"55","Lebanon","","","1.3","7.6"
"56","Tunisia","","","1.2","7.1"
"57","Malaysia","","","1.2","7.1"
"58","Slovakia","","","1.2","7.1"
"59","Lithuania","","","1.1","6.5"
"60","Azerbaijan","","","1.1","6.3"
"61","Sri Lanka","","","1.0","5.7"
"62","Montenegro","","","1.0","5.5"
"63","South Africa","","","0.9","5.4"
"64","Chile","","","0.9","5.3"
"65","Viet Nam","","","0.9","5.2"
"66","Colombia","","","0.8","4.7"
"67","Kenya","","","0.8","4.7"
"68","Egypt","","","0.8","4.6"
"69","Thailand","","","0.8","4.5"
"70","Hong Kong, China","Weakness","","0.7","4.0"
"71","Bolivia (Plurinational State of)","","","0.7","4.0"
"72","Indonesia","","","0.7","4.0"
"73","Saudi Arabia","","","0.7","3.9"
"74","Morocco","","","0.7","3.8"
"75","Albania","","","0.6","3.5"
"76","Mexico","","","0.5","3.1"
"77","Mozambique","Strength","","0.4","2.4"
"78","Argentina","","","0.4","2.4"
"79","Jamaica","","","0.4","2.4"
"80","Senegal","Strength","","0.4","2.4"
"81","Namibia","","","0.4","2.1"
"82","Philippines","","","0.4","2.1"
"83","Cameroon","","","0.3","1.9"
"84","Niger (the)","Strength","","0.3","1.9"
"85","Panama","","","0.3","1.8"
"86","Paraguay","","","0.3","1.7"
"87","Uruguay","","","0.3","1.6"
"88","Jordan","","","0.3","1.6"
"89","Nepal","","","0.3","1.4"
"90","Zimbabwe","","","0.2","1.4"
"91","Algeria","","","0.2","1.3"
"92","Brunei Darussalam","","","0.2","1.3"
"93","Peru","","","0.2","1.3"
"94","Costa Rica","","","0.2","1.3"
"95","Madagascar","","","0.2","1.3"
"96","Mali","","","0.2","1.2"
"97","Cote d'Ivoire","","","0.2","1.2"
"98","Yemen","","","0.2","1.1"
"99","Uganda","","","0.2","1.1"
"100","Bahrain","","","0.2","1.0"
"101","Pakistan","","","0.2","1.0"
"102","Zambia","","","0.2","1.0"
"103","Burkina Faso","","","0.2","0.9"
"104","Togo","","","0.2","0.8"
"105","Malawi","","","0.1","0.8"
"106","United Arab Emirates (the)","","Weakness","0.1","0.7"
"107","Rwanda","","","0.1","0.7"
"108","Benin","","","0.1","0.6"
"109","Dominican Republic (the)","","","0.1","0.6"
"110","Ghana","","","0.1","0.6"
"111","Bangladesh","","","0.1","0.5"
"112","Honduras","","","0.1","0.5"
"113","Tajikistan","","","0.1","0.4"
"114","Ecuador","","","0.1","0.4"
"115","Qatar","","Weakness","0.1","0.4"
"116","El Salvador","","","0.1","0.4"
"117","Botswana","","Weakness","0.1","0.4"
"118","Trinidad and Tobago","","","0.1","0.4"
"119","Nigeria","","","0.1","0.3"
"120","Oman","","Weakness","0.0","0.2"
"121","Cambodia","","Weakness","0.0","0.2"
"122","Guinea","Weakness","","0.0","0.2"
"123","Mauritius","","Weakness","0.0","0.2"
"124","Nicaragua","","Weakness","0.0","0.1"
"125","Guatemala","","Weakness","0.0","0.1"
"126","United Republic of Tanzania (the)","Weakness","Weakness","0.0","0.0"
