"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Sweden","Strength","Strength","7.2","100.0"
"2","Israel","Strength","Strength","6.9","96.1"
"3","Finland","Strength","Strength","6.5","90.6"
"4","Japan","Strength","","13.2","85.9"
"4","Republic of Korea (the)","Strength","","14.4","85.9"
"4","Luxembourg","Strength","","8.2","85.9"
"4","Switzerland","Strength","","9.6","85.9"
"8","Netherlands (the)","","","6.0","83.4"
"9","Germany","","","5.9","82.0"
"10","Denmark","","","5.8","80.7"
"11","Malta","Strength","","5.3","74.5"
"12","Austria","","Strength","4.5","62.5"
"13","Iceland","","","3.9","53.8"
"14","France","","","3.5","49.2"
"15","United States of America (the)","","","3.3","45.5"
"16","Belgium","","","2.8","39.5"
"17","United Kingdom (the)","","","2.3","32.0"
"18","Singapore","","","2.2","30.6"
"19","New Zealand","","","2.2","30.3"
"20","Canada","","","2.1","29.6"
"21","Italy","","","2.0","27.6"
"22","Ireland","","","1.8","24.8"
"23","Cyprus","","","1.7","24.3"
"24","Norway","Weakness","","1.7","23.6"
"25","Hong Kong, China","Weakness","","1.1","15.8"
"26","Slovenia","","","1.1","15.1"
"27","China","Strength","","1.0","13.9"
"28","Australia","Weakness","","1.0","13.6"
"29","Estonia","Weakness","","0.8","11.4"
"30","Czech Republic (the)","","","0.7","9.5"
"31","Portugal","","","0.7","9.4"
"32","Spain","","","0.6","8.9"
"33","Burundi","Strength","Strength","0.5","7.1"
"34","Poland","","","0.4","6.0"
"35","Hungary","","","0.4","5.6"
"36","Latvia","","","0.4","5.4"
"37","Lithuania","","","0.3","4.8"
"38","Slovakia","","","0.3","4.4"
"39","Greece","","","0.3","4.0"
"40","South Africa","","","0.3","3.8"
"41","Ukraine","Strength","","0.2","3.4"
"42","Chile","","","0.2","3.4"
"43","Turkey","","","0.2","3.3"
"44","Bulgaria","","","0.2","3.2"
"45","Mauritius","","","0.2","2.7"
"46","India","Strength","","0.2","2.7"
"47","Armenia","","","0.2","2.7"
"48","Georgia","Strength","","0.2","2.3"
"49","Uruguay","","","0.2","2.3"
"50","Malaysia","","","0.2","2.3"
"51","Republic of Moldova (the)","Strength","","0.1","2.0"
"52","Russian Federation (the)","","","0.1","1.9"
"53","Saudi Arabia","","","0.1","1.7"
"54","Kazakhstan","","","0.1","1.7"
"55","Brazil","","","0.1","1.4"
"56","Croatia","","","0.1","1.3"
"57","Serbia","","","0.1","1.3"
"58","Thailand","","","0.1","1.2"
"59","Colombia","","","0.1","1.1"
"60","Belarus","","","0.1","1.0"
"61","Lebanon","","","0.1","1.0"
"62","Argentina","","","0.1","0.9"
"63","Mexico","","","0.1","0.9"
"64","Romania","","","0.1","0.8"
"65","Mongolia","","","0.1","0.8"
"66","Panama","","","0.1","0.8"
"67","United Arab Emirates (the)","","","0.0","0.7"
"68","Qatar","","","0.0","0.6"
"69","Jamaica","","","0.0","0.6"
