"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Israel","Strength","Strength","83.7","100.0"
"2","Republic of Korea (the)","Strength","Strength","81.3","97.2"
"3","Japan","Strength","Strength","73.7","88.1"
"4","Sweden","Strength","","72.0","86.0"
"5","United States of America (the)","Strength","","71.0","84.8"
"6","Philippines","Strength","Strength","63.2","75.5"
"7","Netherlands (the)","","","62.7","74.9"
"8","United Arab Emirates (the)","","Strength","62.2","74.3"
"9","Austria","","","62.2","74.3"
"10","Slovenia","","Strength","61.8","73.8"
"11","Hungary","","Strength","61.7","73.7"
"12","China","Strength","","60.7","72.5"
"13","Denmark","","","60.5","72.3"
"14","France","","","60.3","72.0"
"15","Germany","","","59.7","71.3"
"16","Malta","","","57.0","68.1"
"17","Thailand","Strength","","56.8","67.9"
"18","Canada","","","56.7","67.7"
"19","Turkey","Strength","","55.7","66.5"
"20","Finland","","","55.5","66.2"
"21","Belgium","","","54.1","64.6"
"22","Ireland","","","53.3","63.6"
"23","Czech Republic (the)","","","51.6","61.6"
"24","Singapore","","","50.5","60.3"
"25","Switzerland","","","50.1","59.8"
"26","Norway","","","48.1","57.4"
"27","Russian Federation (the)","Strength","","47.1","56.2"
"28","Poland","","","47.1","56.2"
"29","Bulgaria","Strength","","43.4","51.8"
"30","Iceland","","","42.7","51.0"
"31","Italy","","","42.6","50.8"
"32","Luxembourg","","","41.9","50.1"
"33","United Kingdom (the)","Weakness","Weakness","37.9","45.3"
"34","Hong Kong, China","Weakness","","37.3","44.5"
"35","Spain","","","37.2","44.4"
"36","New Zealand","Weakness","","36.9","44.0"
"37","Indonesia","Strength","","35.5","42.4"
"38","Portugal","","","34.3","40.9"
"39","Estonia","Weakness","","33.9","40.5"
"40","Mali","Strength","Strength","31.4","37.5"
"41","Greece","","","30.3","36.2"
"42","Chile","","","29.5","35.2"
"43","Lithuania","","","29.0","34.5"
"44","Australia","Weakness","","27.9","33.2"
"45","Brazil","","","26.6","31.7"
"46","India","","","26.4","31.5"
"47","Cyprus","","","25.6","30.5"
"48","Romania","","","25.5","30.4"
"49","Ukraine","","","25.1","29.9"
"50","Mexico","","","24.5","29.2"
"51","Viet Nam","","","24.1","28.7"
"52","Sri Lanka","","","22.5","26.8"
"53","Malaysia","","","21.9","26.1"
"54","Slovakia","","Weakness","21.9","26.1"
"55","North Macedonia","","","21.5","25.6"
"56","Croatia","Weakness","","21.3","25.4"
"57","Qatar","Weakness","","18.6","22.2"
"58","Latvia","Weakness","Weakness","18.6","22.1"
"59","South Africa","","","17.7","21.1"
"60","Iran (Islamic Republic of)","","","15.0","17.8"
"61","Ecuador","","","15.0","17.8"
"62","Montenegro","","","12.2","14.6"
"63","Kenya","","","11.4","13.6"
"64","Serbia","","Weakness","10.6","12.6"
"65","Argentina","Weakness","","8.1","9.6"
"66","Bosnia and Herzegovina","","","7.2","8.5"
"67","Morocco","","","7.0","8.2"
"68","Namibia","","","6.9","8.2"
"69","Egypt","","","6.5","7.7"
"70","Republic of Moldova (the)","","Weakness","6.4","7.5"
"71","Zambia","","","4.9","5.7"
"72","Cambodia","","","4.3","5.1"
"73","Tunisia","","Weakness","4.0","4.6"
"74","Uganda","","","4.0","4.6"
"75","Colombia","Weakness","Weakness","2.4","2.8"
"76","Botswana","Weakness","","1.0","1.2"
"77","Ghana","","","1.0","1.1"
"78","Panama","Weakness","","0.9","0.9"
"79","Oman","Weakness","Weakness","0.8","0.8"
"80","Uruguay","Weakness","Weakness","0.7","0.7"
"81","Ethiopia","","","0.5","0.5"
"82","Algeria","Weakness","","0.5","0.4"
"83","Bahrain","Weakness","Weakness","0.4","0.4"
"84","Bolivia (Plurinational State of)","","Weakness","0.4","0.3"
"85","Mozambique","","Weakness","0.3","0.3"
"86","Senegal","Weakness","Weakness","0.1","0.0"
