"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Finland","","Strength","2.0","100.0"
"2","Norway","","Strength","2.0","99.8"
"3","Sweden","","Strength","1.9","97.6"
"4","Switzerland","","","1.9","97.4"
"5","New Zealand","","Strength","1.9","97.2"
"6","Denmark","","Strength","1.9","95.7"
"7","Netherlands (the)","","","1.8","94.8"
"8","Singapore","","","1.8","94.6"
"9","Austria","","Strength","1.8","94.3"
"10","Canada","","","1.8","94.0"
"11","Luxembourg","","","1.7","92.3"
"12","Hong Kong, China","","","1.7","91.8"
"13","Australia","","","1.7","90.9"
"14","United Kingdom (the)","","","1.7","90.8"
"15","United States of America (the)","","","1.6","89.9"
"16","Germany","","","1.6","88.9"
"17","Iceland","","","1.6","88.9"
"18","Japan","","","1.6","87.8"
"19","France","","","1.4","84.4"
"20","Ireland","","","1.4","84.2"
"21","Belgium","","","1.3","81.9"
"22","Estonia","","","1.3","80.3"
"23","Republic of Korea (the)","","","1.2","77.2"
"24","Malta","","","1.1","76.6"
"25","Portugal","","","1.1","76.3"
"26","Czech Republic (the)","","","1.1","75.9"
"27","Slovenia","","","1.0","73.5"
"28","Israel","Weakness","","1.0","73.4"
"29","Chile","","","1.0","73.1"
"30","Spain","","","1.0","73.1"
"31","Lithuania","","","1.0","72.6"
"32","Latvia","","","0.9","71.0"
"33","Cyprus","","","0.9","69.8"
"34","United Arab Emirates (the)","","","0.8","67.5"
"35","Qatar","","","0.7","65.5"
"36","Mauritius","Strength","","0.7","64.4"
"37","Brunei Darussalam","","","0.6","63.5"
"38","Uruguay","","","0.6","61.9"
"39","Slovakia","","","0.6","61.5"
"40","Hungary","","","0.5","60.4"
"41","Botswana","Strength","","0.5","60.0"
"42","Poland","","","0.5","58.9"
"43","Costa Rica","Strength","","0.5","58.4"
"44","Bahrain","Weakness","","0.4","58.2"
"45","Oman","Weakness","","0.4","57.8"
"46","Malaysia","Strength","","0.4","57.3"
"47","Romania","Strength","","0.4","56.6"
"48","Croatia","Weakness","","0.3","55.2"
"49","Georgia","Strength","","0.3","55.1"
"50","Italy","Weakness","","0.3","55.0"
"51","Jordan","Strength","","0.3","53.3"
"52","Namibia","Strength","","0.2","52.7"
"53","Ghana","Strength","","0.1","49.8"
"54","Rwanda","Strength","","0.1","49.8"
"55","Kuwait","Weakness","","0.1","49.1"
"56","Saudi Arabia","Weakness","","0.1","49.0"
"57","Greece","Weakness","","0.1","48.6"
"58","Tunisia","Strength","","0.1","48.3"
"59","Viet Nam","Strength","","0.1","48.2"
"60","Sri Lanka","Strength","","0.1","47.8"
"61","Thailand","","","0.0","47.5"
"62","Panama","Weakness","","0.0","47.4"
"63","Montenegro","","","0.0","46.7"
"64","India","Strength","","0.0","46.5"
"65","South Africa","","","0.0","46.1"
"66","Bulgaria","","","0.0","45.3"
"67","Trinidad and Tobago","Weakness","","-0.1","43.5"
"68","Senegal","Strength","","-0.1","42.4"
"69","Armenia","","","-0.2","42.3"
"70","Jamaica","","","-0.2","42.2"
"71","Morocco","","","-0.2","41.7"
"72","Serbia","","","-0.2","41.3"
"73","Bosnia and Herzegovina","","","-0.2","40.8"
"74","North Macedonia","","","-0.2","40.0"
"75","Argentina","Weakness","","-0.2","39.9"
"76","Turkey","","","-0.3","39.8"
"77","China","","","-0.3","39.4"
"78","Brazil","","","-0.3","38.9"
"79","Uganda","","","-0.3","38.5"
"80","Mongolia","","","-0.3","38.4"
"81","Zambia","","Strength","-0.3","37.7"
"82","Indonesia","","","-0.3","37.2"
"83","Colombia","","","-0.4","36.9"
