"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Denmark","Strength","Strength","35.6","100.0"
"2","Slovenia","Strength","Strength","35.4","99.4"
"3","Switzerland","Strength","Strength","34.1","95.7"
"4","Serbia","Strength","Strength","33.1","92.8"
"5","Iceland","Strength","Strength","32.6","91.3"
"6","Finland","Strength","","30.9","86.6"
"7","Sweden","Strength","","30.2","84.7"
"8","Portugal","Strength","Strength","29.3","82.0"
"9","Estonia","","Strength","28.7","80.5"
"10","Australia","","Strength","26.9","75.3"
"11","New Zealand","","","26.4","73.7"
"12","Cyprus","","","25.6","71.7"
"13","Armenia","Strength","Strength","25.2","70.5"
"14","Israel","","","24.2","67.8"
"15","Tunisia","Strength","Strength","23.8","66.5"
"16","United Kingdom (the)","","","23.8","66.5"
"17","Czech Republic (the)","","","23.4","65.5"
"18","Belgium","","","23.1","64.6"
"19","Croatia","","Strength","22.7","63.4"
"20","Austria","","","22.0","61.5"
"21","Netherlands (the)","","","20.8","58.0"
"22","Canada","","","20.6","57.5"
"23","Greece","","Strength","20.5","57.2"
"24","Republic of Korea (the)","","","20.4","56.9"
"25","Spain","","","20.0","55.7"
"26","Norway","","","19.3","53.9"
"27","Iran (Islamic Republic of)","Strength","Strength","17.6","49.1"
"28","Singapore","","","17.5","48.6"
"29","Lithuania","","","17.2","47.9"
"30","Italy","","","16.9","46.9"
"31","Montenegro","Strength","","16.8","46.6"
"32","Poland","","","16.5","45.9"
"33","France","","","15.8","43.8"
"34","Hungary","","","15.8","43.8"
"35","Germany","","","15.7","43.6"
"36","Jordan","","Strength","14.1","39.1"
"37","Georgia","Strength","","14.1","39.0"
"38","Slovakia","","","13.6","37.8"
"39","Ireland","Weakness","","13.2","36.6"
"40","Chile","","","13.2","36.5"
"41","Luxembourg","Weakness","","12.1","33.4"
"42","China","","","11.9","32.8"
"43","Romania","","","10.6","29.2"
"44","United States of America (the)","Weakness","","10.5","28.8"
"45","South Africa","","","10.3","28.4"
"46","Lebanon","","","10.3","28.2"
"47","Latvia","","","10.2","27.9"
"48","Malta","","","10.0","27.6"
"49","Bulgaria","","","10.0","27.6"
"50","Brazil","","","9.7","26.7"
"51","Malawi","Strength","Strength","9.7","26.5"
"52","Uruguay","","","9.2","25.3"
"53","Japan","Weakness","","9.2","25.2"
"54","Ukraine","","","9.2","25.1"
"55","Benin","Strength","Strength","8.6","23.5"
"56","Pakistan","","","8.5","23.3"
"57","North Macedonia","","","8.1","22.0"
"58","Bosnia and Herzegovina","","","8.0","21.9"
"59","Malaysia","","","8.0","21.7"
"60","Turkey","","","7.8","21.2"
"61","Egypt","","","7.1","19.2"
"62","Zimbabwe","Strength","Strength","7.0","19.0"
"63","Russian Federation (the)","","","6.9","18.8"
"64","Cameroon","","Strength","6.8","18.4"
"65","Argentina","Weakness","","6.8","18.4"
"66","Republic of Moldova (the)","","","6.7","18.1"
"67","Saudi Arabia","Weakness","","6.2","16.6"
"68","Kenya","","","6.0","16.2"
"69","Namibia","","","5.9","15.9"
"70","Ecuador","","","5.9","15.8"
"71","Botswana","","","5.9","15.8"
"72","Morocco","","","5.8","15.5"
"73","Nepal","","","5.7","15.4"
"74","Viet Nam","","","5.6","15.2"
"75","Burkina Faso","","Strength","5.5","14.8"
"76","Rwanda","","","5.5","14.7"
"77","India","","","5.3","14.3"
"78","Belarus","","","5.3","14.2"
"79","Ghana","","","5.2","14.0"
"80","Uganda","","","5.1","13.6"
"81","Costa Rica","","","5.0","13.5"
"82","Ethiopia","","","4.9","12.9"
"83","Algeria","","","4.6","12.1"
"84","Jamaica","","","4.6","12.1"
"85","Colombia","","","4.5","11.9"
"86","Thailand","","","4.5","11.8"
"87","Mongolia","","","4.4","11.7"
"88","Mexico","","","4.3","11.3"
"89","Burundi","","","4.3","11.3"
"90","Qatar","Weakness","","4.2","11.2"
"91","Mozambique","","","4.2","11.0"
"92","Mauritius","","","4.1","10.9"
"93","Senegal","","","4.0","10.5"
"94","Togo","","","3.8","10.0"
"95","Madagascar","","","3.6","9.4"
"96","Azerbaijan","","","3.5","9.0"
"97","Niger (the)","","","3.3","8.4"
"98","Albania","","","3.2","8.3"
"99","Kyrgyzstan","","","3.2","8.2"
"100","Panama","Weakness","","3.1","8.1"
"101","United Arab Emirates (the)","Weakness","Weakness","3.1","7.9"
"102","Brunei Darussalam","Weakness","","3.1","7.9"
"103","Yemen","","","3.1","7.9"
"104","United Republic of Tanzania (the)","","","3.1","7.9"
