"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Singapore","Strength","Strength","551.6","100.0"
"2","Hong Kong, China","Strength","Strength","532.6","91.2"
"3","Japan","Strength","Strength","528.9","89.5"
"4","Estonia","","Strength","524.3","87.3"
"5","Canada","","","523.3","86.9"
"6","Finland","","","522.7","86.6"
"7","Republic of Korea (the)","","","519.1","84.9"
"8","China","Strength","","514.3","82.7"
"9","Slovenia","","Strength","509.3","80.4"
"10","Ireland","","","509.0","80.3"
"11","Germany","","","508.1","79.8"
"12","Netherlands (the)","","","507.9","79.7"
"13","Switzerland","","","506.3","79.0"
"14","New Zealand","","","505.9","78.8"
"15","Norway","","","504.5","78.1"
"16","Denmark","","","504.3","78.0"
"17","Poland","","","503.9","77.9"
"18","Belgium","","","502.5","77.2"
"19","Australia","","","502.3","77.1"
"20","Viet Nam","Strength","","502.0","77.0"
"21","United Kingdom (the)","","","499.9","76.0"
"22","Portugal","","","497.0","74.6"
"23","Sweden","","","495.8","74.1"
"24","France","","","495.7","74.1"
"25","Austria","","","492.2","72.4"
"26","Russian Federation (the)","Strength","","491.8","72.2"
"27","Spain","","","491.4","72.1"
"28","Czech Republic (the)","","","490.8","71.8"
"29","United States of America (the)","Weakness","","487.6","70.3"
"30","Latvia","","","486.8","69.9"
"31","Italy","","","485.0","69.1"
"32","Luxembourg","Weakness","","483.3","68.3"
"33","Iceland","Weakness","","480.9","67.2"
"34","Croatia","","","475.4","64.7"
"35","Lithuania","","","475.4","64.7"
"36","Hungary","","","474.4","64.2"
"37","United Arab Emirates (the)","","","474.3","64.1"
"38","Israel","Weakness","Weakness","471.7","62.9"
"39","Argentina","","","468.9","61.7"
"40","Malta","","","463.4","59.1"
"41","Slovakia","","","462.8","58.8"
"42","Greece","","","458.5","56.8"
"43","Serbia","","","446.6","51.3"
"44","Chile","","","442.7","49.5"
"45","Bulgaria","","Weakness","439.6","48.0"
"46","Cyprus","","","437.5","47.1"
"47","Romania","","","437.5","47.1"
"48","Uruguay","","","430.0","43.6"
"49","Turkey","","","424.8","41.2"
"50","Trinidad and Tobago","","","423.0","40.4"
"51","Republic of Moldova (the)","","","421.3","39.6"
"52","Montenegro","","","418.7","38.4"
"53","Kazakhstan","","","416.4","37.3"
"54","Costa Rica","","","415.8","37.0"
"55","Mexico","","","415.7","36.9"
"56","Thailand","","Weakness","415.3","36.8"
"57","Albania","","","415.2","36.7"
"58","Malaysia","","Weakness","412.7","35.6"
"59","Colombia","","Weakness","410.1","34.4"
"60","Qatar","","","407.3","33.1"
"61","Georgia","","Weakness","405.4","32.2"
"62","Jordan","","Weakness","399.0","29.2"
"63","Indonesia","","","395.5","27.6"
"64","Brazil","","Weakness","395.0","27.4"
"65","Peru","","Weakness","393.6","26.7"
"66","Lebanon","","Weakness","376.4","18.7"
"67","Tunisia","","Weakness","371.4","16.4"
"68","North Macedonia","","Weakness","368.9","15.3"
"69","Algeria","","Weakness","361.7","11.9"
"70","Dominican Republic (the)","","Weakness","339.0","1.4"
"71","India","Weakness","Weakness","336.0","0.0"
