"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Iceland","Strength","Strength","278.3","100.0"
"1","United States of America (the)","Strength","Strength","388.9","100.0"
"3","Malta","Strength","Strength","260.8","93.7"
"4","Luxembourg","Strength","Strength","252.9","90.8"
"5","Netherlands (the)","Strength","Strength","219.6","78.9"
"6","Canada","Strength","Strength","212.8","76.5"
"7","Cyprus","Strength","Strength","209.4","75.2"
"8","Hong Kong, China","","","200.1","71.9"
"9","Panama","Strength","Strength","184.9","66.4"
"10","Australia","","Strength","175.6","63.1"
"11","Ireland","","","169.9","61.0"
"12","United Kingdom (the)","","","168.9","60.7"
"13","Switzerland","","","164.9","59.2"
"14","Germany","","","147.2","52.9"
"15","Norway","","","141.2","50.7"
"16","Denmark","","","135.5","48.7"
"17","Sweden","","","120.2","43.2"
"18","France","","","113.9","40.9"
"19","Austria","","","100.4","36.0"
"20","New Zealand","","","90.6","32.5"
"21","Finland","","","81.3","29.2"
"22","Spain","","","77.9","28.0"
"23","Singapore","","","71.3","25.6"
"24","Italy","","","64.8","23.2"
"25","Bulgaria","Strength","Strength","63.7","22.9"
"26","Israel","","","62.3","22.4"
"27","Belgium","","","59.2","21.2"
"28","Slovenia","","","58.4","21.0"
"29","Portugal","","","52.4","18.8"
"30","Czech Republic (the)","","","47.5","17.1"
"31","Japan","Weakness","","43.0","15.4"
"32","Croatia","","Strength","39.6","14.2"
"33","Mauritius","Strength","","36.8","13.2"
"34","Lithuania","","","36.5","13.1"
"35","Greece","","","33.4","12.0"
"36","Turkey","Strength","","32.7","11.7"
"37","Costa Rica","Strength","","31.6","11.3"
"38","United Arab Emirates (the)","","","30.2","10.8"
"39","Hungary","","","29.1","10.4"
"40","Estonia","Weakness","","27.5","9.8"
"41","Latvia","","","26.5","9.5"
"42","Namibia","","Strength","23.6","8.5"
"43","Republic of Korea (the)","Weakness","","22.5","8.1"
"44","Kuwait","","Strength","21.3","7.6"
"45","Brunei Darussalam","","","20.8","7.5"
"46","Poland","","","19.3","6.9"
"47","North Macedonia","","","18.8","6.7"
"48","Albania","","","18.4","6.6"
"49","Lebanon","","","18.1","6.5"
"50","Uruguay","","","18.0","6.4"
"51","Malaysia","","","17.3","6.2"
"52","Thailand","","","15.1","5.4"
"53","Peru","","","14.7","5.2"
"54","Jordan","","","14.6","5.2"
"55","Bahrain","","","13.0","4.7"
"56","Romania","","","12.8","4.6"
"57","Ukraine","Strength","","12.5","4.5"
"58","Trinidad and Tobago","","Strength","12.1","4.3"
"59","Guatemala","","","11.6","4.1"
"60","Qatar","Weakness","","10.2","3.7"
"61","Russian Federation (the)","","","9.9","3.5"
"62","Argentina","Weakness","","8.5","3.0"
"63","South Africa","","","8.5","3.0"
"64","Armenia","","","8.5","3.0"
"65","Slovakia","Weakness","","8.4","3.0"
"66","Colombia","","","8.0","2.8"
"67","Saudi Arabia","Weakness","","7.9","2.8"
"68","Nicaragua","Strength","Strength","7.9","2.8"
"69","Bosnia and Herzegovina","","","7.6","2.7"
"70","Tunisia","Strength","","7.6","2.7"
"71","Dominican Republic (the)","","","7.1","2.5"
"72","Mexico","","","7.0","2.5"
"73","El Salvador","Strength","","7.0","2.5"
"74","Viet Nam","Strength","","6.9","2.4"
"75","China","","","6.9","2.4"
"76","Chile","Weakness","","6.1","2.2"
"77","Ecuador","","","5.9","2.1"
"78","Republic of Moldova (the)","","","5.6","2.0"
"79","Iran (Islamic Republic of)","","","5.1","1.8"
"80","Bolivia (Plurinational State of)","","","5.0","1.8"
"81","Jamaica","","","5.0","1.8"
"82","Georgia","","","4.9","1.8"
"83","Belarus","","","4.9","1.7"
"84","Oman","Weakness","","4.8","1.7"
"85","Paraguay","","","4.8","1.7"
"86","Morocco","","","4.4","1.6"
"87","Brazil","","","4.4","1.5"
"88","Indonesia","","","4.3","1.5"
"89","Montenegro","","","4.2","1.5"
"90","Serbia","","","4.0","1.4"
"91","Egypt","","","3.3","1.2"
"92","Philippines","","","3.2","1.1"
"93","Botswana","","","3.0","1.1"
"94","Azerbaijan","","","2.8","1.0"
"95","Senegal","Strength","","2.8","1.0"
"96","Niger (the)","Strength","","2.8","1.0"
"97","Kenya","","","2.7","1.0"
"98","India","","","2.7","0.9"
"99","Cambodia","","","2.2","0.8"
"100","Sri Lanka","","","2.2","0.8"
"101","Mongolia","","","1.8","0.6"
"102","Ghana","","","1.8","0.6"
"103","Benin","Strength","","1.8","0.6"
"104","Togo","Strength","","1.8","0.6"
"105","Pakistan","","","1.7","0.6"
"106","Honduras","","","1.6","0.6"
"107","Nigeria","","","1.4","0.5"
"108","Algeria","","","1.4","0.5"
"109","Cote d'Ivoire","","","1.4","0.5"
"110","Nepal","","","1.3","0.5"
"111","Zimbabwe","","","1.1","0.4"
"112","Bangladesh","","","1.0","0.4"
"113","Yemen","","","1.0","0.4"
"114","Kazakhstan","","Weakness","1.0","0.3"
"115","Uganda","","","0.7","0.2"
"116","Kyrgyzstan","Weakness","","0.6","0.2"
"117","Cameroon","Weakness","","0.5","0.2"
"118","Malawi","","","0.5","0.2"
"119","United Republic of Tanzania (the)","","","0.5","0.1"
"120","Rwanda","","Weakness","0.5","0.1"
"121","Mali","","","0.5","0.1"
"122","Madagascar","","","0.4","0.1"
"123","Zambia","Weakness","Weakness","0.4","0.1"
"124","Burkina Faso","","Weakness","0.2","0.1"
"125","Tajikistan","","Weakness","0.2","0.1"
"126","Guinea","","","0.2","0.0"
"127","Burundi","","","0.2","0.0"
"128","Mozambique","","Weakness","0.1","0.0"
"129","Ethiopia","Weakness","Weakness","0.1","0.0"
