"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","United States of America (the)","Strength","Strength","5.9","80.9"
"2","Israel","Strength","Strength","5.8","79.4"
"3","Switzerland","Strength","Strength","5.7","79.1"
"4","Netherlands (the)","Strength","Strength","5.5","75.5"
"5","Finland","","","5.5","74.7"
"6","Germany","","","5.4","72.8"
"7","United Kingdom (the)","","","5.4","72.7"
"8","Malaysia","Strength","Strength","5.3","72.0"
"9","Sweden","","","5.3","71.8"
"10","Singapore","","","5.2","70.0"
"11","Ireland","","","5.2","69.9"
"12","Belgium","","Strength","5.1","68.7"
"13","Luxembourg","","","5.1","68.2"
"14","Guinea","Strength","Strength","5.0","67.2"
"15","Hong Kong, China","","","5.0","66.4"
"16","Austria","","","4.9","65.2"
"17","Qatar","","Strength","4.9","64.8"
"18","Japan","","","4.9","64.5"
"19","Denmark","","","4.8","64.0"
"20","Canada","","","4.8","63.0"
"21","New Zealand","","","4.8","62.7"
"22","Norway","","","4.7","61.7"
"23","India","Strength","","4.6","60.1"
"24","Iceland","","","4.6","59.7"
"25","Philippines","Strength","","4.5","57.5"
"26","Republic of Korea (the)","Weakness","","4.4","56.5"
"27","China","Strength","","4.4","56.5"
"28","United Arab Emirates (the)","","","4.3","55.7"
"29","Kenya","Strength","Strength","4.3","55.1"
"30","France","Weakness","","4.3","54.6"
"31","Portugal","","","4.3","54.5"
"32","Azerbaijan","Strength","Strength","4.2","54.2"
"33","South Africa","Strength","","4.2","54.2"
"34","Indonesia","Strength","Strength","4.2","53.8"
"35","Australia","Weakness","","4.2","53.1"
"36","Thailand","Strength","","4.1","52.2"
"37","Lithuania","","","4.1","51.4"
"38","Oman","","","4.1","51.0"
"39","Czech Republic (the)","","","4.1","50.9"
"40","Russian Federation (the)","","","4.0","49.6"
"41","Italy","","","4.0","49.5"
"42","Malta","","","3.9","48.8"
"43","Saudi Arabia","","","3.9","48.0"
"44","Ghana","Strength","Strength","3.8","47.3"
"45","Jamaica","","","3.8","47.1"
"46","Slovenia","","","3.8","47.1"
"47","Tajikistan","","Strength","3.8","46.5"
"48","Estonia","Weakness","","3.8","46.4"
"49","United Republic of Tanzania (the)","","Strength","3.7","45.7"
"50","Bahrain","","","3.7","45.4"
"51","Costa Rica","","","3.7","45.1"
"52","Pakistan","","","3.7","44.5"
"53","Hungary","","","3.7","44.4"
"54","Ethiopia","","Strength","3.6","43.9"
"55","Chile","","","3.6","43.8"
"56","Mexico","","","3.6","43.7"
"57","Uganda","","Strength","3.6","42.6"
"58","Brazil","","","3.6","42.5"
"59","Spain","","","3.5","42.2"
"60","Colombia","","","3.5","41.9"
"61","Montenegro","","","3.5","41.6"
"62","Guatemala","","","3.5","41.6"
"63","Rwanda","","","3.5","41.5"
"64","Ukraine","","","3.5","41.3"
"65","Lebanon","","","3.5","41.1"
"66","Jordan","","","3.4","40.6"
"67","Kazakhstan","","","3.4","40.5"
"68","Kuwait","","","3.4","40.2"
"69","Bulgaria","","","3.4","40.2"
"70","Mali","","","3.4","39.8"
"71","Senegal","","","3.4","39.8"
"72","Cyprus","Weakness","","3.3","39.2"
"73","Albania","","","3.3","38.8"
"74","Romania","","","3.3","38.7"
"75","Viet Nam","","","3.3","38.6"
"76","Serbia","","","3.3","38.5"
"77","Cameroon","","","3.3","38.4"
"78","Latvia","Weakness","Weakness","3.3","38.3"
"79","Slovakia","Weakness","Weakness","3.3","38.3"
"80","Tunisia","","","3.3","38.2"
"81","Honduras","","","3.3","37.9"
"82","Sri Lanka","","","3.3","37.9"
"83","Argentina","Weakness","","3.3","37.6"
"84","Namibia","","","3.3","37.5"
"85","Cambodia","","","3.2","37.4"
"86","Brunei Darussalam","Weakness","","3.2","37.3"
"87","Mozambique","","","3.2","37.2"
"88","Turkey","","","3.2","37.0"
"89","Armenia","","","3.2","36.3"
"90","Mauritius","","","3.1","35.7"
"91","Panama","Weakness","","3.1","35.5"
"92","Poland","Weakness","Weakness","3.1","35.1"
"93","Uruguay","Weakness","","3.1","34.9"
"94","Botswana","","","3.1","34.7"
"95","Ecuador","","","3.1","34.5"
"96","Burundi","","","3.0","33.8"
"97","Iran (Islamic Republic of)","","","3.0","33.6"
"98","Georgia","","","2.9","32.0"
"99","Burkina Faso","","","2.9","31.9"
"100","Peru","","Weakness","2.9","31.9"
"101","Dominican Republic (the)","","","2.9","31.8"
"102","Zambia","","","2.9","31.6"
"103","Morocco","","Weakness","2.9","31.2"
"104","Benin","","","2.8","30.8"
"105","Nepal","","","2.8","30.1"
"106","Egypt","","","2.8","30.0"
"107","Trinidad and Tobago","Weakness","","2.8","29.7"
"108","North Macedonia","Weakness","Weakness","2.8","29.2"
"109","Republic of Moldova (the)","","Weakness","2.7","29.1"
