"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Israel","Strength","Strength","148.4","100.0"
"2","Estonia","Strength","Strength","133.5","89.9"
"3","Sweden","Strength","Strength","106.6","71.8"
"4","Iceland","Strength","Strength","104.8","70.6"
"5","Norway","Strength","Strength","104.3","70.3"
"6","Armenia","Strength","Strength","102.5","69.0"
"7","Latvia","Strength","Strength","99.7","67.2"
"8","Finland","","","98.1","66.1"
"9","Luxembourg","","","87.7","59.1"
"10","Netherlands (the)","","","86.3","58.1"
"11","Hong Kong, China","","","84.1","56.7"
"12","Slovenia","","Strength","83.0","55.9"
"13","United Kingdom (the)","","","69.3","46.7"
"14","Uruguay","","Strength","68.1","45.9"
"15","France","","","64.7","43.6"
"16","New Zealand","","","59.7","40.2"
"17","Spain","","","58.8","39.6"
"18","Czech Republic (the)","","","56.1","37.8"
"19","Lithuania","","Strength","54.3","36.6"
"20","Austria","","","54.2","36.5"
"21","Hungary","","","53.7","36.2"
"22","Germany","","","52.1","35.1"
"23","Cyprus","","","51.2","34.5"
"24","Ireland","","","49.5","33.4"
"25","Canada","","","49.0","33.0"
"26","Denmark","","","48.0","32.3"
"27","Switzerland","","","47.4","31.9"
"28","Australia","","","47.2","31.8"
"29","North Macedonia","Strength","Strength","47.1","31.7"
"30","Bulgaria","Strength","","46.2","31.1"
"31","Georgia","Strength","","44.5","30.0"
"32","Italy","","","44.1","29.7"
"33","Malta","","","41.9","28.2"
"34","Bosnia and Herzegovina","Strength","Strength","41.7","28.1"
"35","Serbia","Strength","","40.2","27.1"
"36","Poland","","","34.3","23.1"
"37","Croatia","","","33.2","22.3"
"38","Ukraine","Strength","","31.1","21.0"
"39","Belgium","","","30.7","20.7"
"40","Slovakia","","","26.8","18.0"
"41","Azerbaijan","","Strength","26.2","17.6"
"42","United States of America (the)","Weakness","","26.1","17.6"
"43","Greece","","","24.3","16.4"
"44","Montenegro","","","24.3","16.3"
"45","Singapore","Weakness","Weakness","23.8","16.0"
"46","Portugal","","","23.4","15.8"
"47","Belarus","","","22.2","15.0"
"48","Jordan","","","21.7","14.6"
"49","Russian Federation (the)","","","19.7","13.3"
"50","Japan","Weakness","","18.6","12.6"
"51","Republic of Korea (the)","Weakness","","17.7","11.9"
"52","Kazakhstan","","","17.3","11.6"
"53","Republic of Moldova (the)","","","17.1","11.5"
"54","Kuwait","","","16.3","11.0"
"55","Bahrain","","","16.2","10.9"
"56","Chile","","","16.2","10.9"
"57","Albania","","","16.0","10.7"
"58","Mongolia","","","15.7","10.6"
"59","Panama","Weakness","","14.6","9.8"
"60","Romania","","","12.5","8.4"
"61","Argentina","Weakness","","12.1","8.1"
"62","Costa Rica","","","11.0","7.4"
"63","United Arab Emirates (the)","Weakness","","9.9","6.6"
"64","Iran (Islamic Republic of)","","","9.4","6.3"
"65","Malaysia","","","9.4","6.3"
"66","Qatar","Weakness","","8.4","5.7"
"67","Trinidad and Tobago","Weakness","","8.0","5.4"
"68","Lebanon","","","7.5","5.0"
"69","Kyrgyzstan","","","7.3","4.9"
"70","Viet Nam","","","7.1","4.8"
"71","Brazil","","","6.3","4.2"
"72","Sri Lanka","","","6.2","4.1"
"73","Nepal","Strength","","6.1","4.1"
"74","Saudi Arabia","Weakness","","6.0","4.1"
"75","Mauritius","","","5.9","4.0"
"76","Peru","","","5.8","3.9"
"77","Oman","Weakness","","5.7","3.9"
"78","Dominican Republic (the)","","","5.7","3.9"
"79","Brunei Darussalam","Weakness","","5.7","3.8"
"80","Thailand","","","5.6","3.8"
"81","Morocco","","","5.2","3.5"
"82","Ecuador","","","5.0","3.3"
"83","El Salvador","","","4.8","3.2"
"84","Colombia","","","4.7","3.2"
"85","Turkey","","","4.4","3.0"
"86","Paraguay","","","4.2","2.9"
"87","South Africa","","","4.2","2.8"
"88","Guatemala","","","3.9","2.6"
"89","Philippines","","","3.8","2.5"
"90","Algeria","","","3.7","2.5"
"91","Namibia","","","3.6","2.4"
"92","Bolivia (Plurinational State of)","","","3.5","2.4"
"93","Mexico","","","3.4","2.3"
"94","Tunisia","","","2.9","2.0"
"95","Honduras","","","2.9","1.9"
"96","Tajikistan","Strength","","2.6","1.7"
"97","Egypt","","","2.5","1.7"
"98","Jamaica","","","2.3","1.5"
"99","Indonesia","","","2.0","1.3"
"100","Cambodia","","","1.8","1.2"
"101","Pakistan","","","1.6","1.0"
"102","Yemen","","","1.1","0.7"
"103","Kenya","","","1.0","0.7"
"104","Bangladesh","","","1.0","0.7"
"105","India","","","1.0","0.7"
"106","Benin","","","0.9","0.6"
"107","Uganda","","","0.6","0.4"
"108","Cote d'Ivoire","","","0.5","0.3"
"109","Madagascar","","","0.4","0.3"
"110","Botswana","","","0.4","0.2"
"111","China","","Weakness","0.3","0.2"
"112","Nigeria","","","0.3","0.2"
"113","Zimbabwe","","","0.3","0.2"
"114","Senegal","","","0.2","0.1"
"115","United Republic of Tanzania (the)","","","0.2","0.1"
"116","Mozambique","","","0.2","0.1"
"117","Rwanda","","Weakness","0.2","0.1"
"118","Togo","","","0.2","0.1"
"119","Cameroon","","Weakness","0.1","0.1"
"120","Zambia","","","0.1","0.1"
"121","Mali","","Weakness","0.1","0.0"
"122","Burundi","","","0.1","0.0"
"123","Ethiopia","","","0.0","0.0"
"124","Malawi","","Weakness","0.0","0.0"
"125","Burkina Faso","","Weakness","0.0","0.0"
"126","Guinea","","Weakness","0.0","0.0"
"127","Niger (the)","Weakness","Weakness","0.0","0.0"
