Indicator,,"Life expectancy at birth, total (years)",,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Country,,,,,,,,
Afghanistan,,62.525,62.966,63.377,63.763,64.13,..,..
Albania,,77.554,77.813,78.025,78.194,78.333,..,..
Algeria,,75.661,75.878,76.09,76.298,76.499,..,..
American Samoa,,..,..,..,..,..,..,..
Andorra,,..,..,..,..,..,..,..
Angola,,58.054,58.776,59.398,59.925,60.379,..,..
Anguilla,,..,..,..,..,..,..,..
Antigua and Barbuda,,76.218,76.349,76.483,76.617,76.752,..,..
Argentina,,75.756,75.913,76.068,76.221,76.372,..,..
Armenia,,74.056,74.273,74.467,74.64,74.797,..,..
Aruba,,75.441,75.583,75.725,75.868,76.01,..,..
Australia,,82.14878,82.3,82.4,82.44878,82.49756,..,..
Austria,,81.13659,81.49024,81.19024,81.64146,81.64146,..,..
Azerbaijan,,71.768,72.022,72.266,72.493,72.693,..,..
Bahamas,,72.62,72.847,73.088,73.329,73.554,..,..
Bahrain,,76.484,76.624,76.762,76.899,77.032,..,..
Bangladesh,,70.93,71.231,71.514,71.785,72.052,..,..
Barbados,,78.633,78.717,78.801,78.888,78.981,..,..
Belarus,,72.47073,72.97073,73.62439,73.82683,74.12927,..,..
Belgium,,80.5878,81.2878,80.99268,81.43902,81.43902,..,..
Belize,,73.452,73.782,74.034,74.219,74.365,..,..
Benin,,60.092,60.345,60.608,60.885,61.174,..,..
Bermuda,,80.57244,80.79732,81.0122,81.22707,81.44195,..,..
Bhutan,,69.662,70.046,70.419,70.781,71.129,..,..
Bolivia (Plurinational State of),,69.468,69.891,70.277,70.626,70.945,..,..
Bosnia and Herzegovina,,76.569,76.723,76.865,76.998,77.128,..,..
Botswana,,64.976,66.265,67.338,68.178,68.812,..,..
Brazil,,74.483,74.745,74.994,75.23,75.456,..,..
British Virgin Islands,,..,..,..,..,..,..,..
Brunei Darussalam,,75.075,75.193,75.318,75.45,75.585,..,..
Bulgaria,,74.86098,74.46585,74.61463,74.8122,74.8122,..,..
Burkina Faso,,58.937,59.45,59.919,60.354,60.768,..,..
Burundi,,59.148,59.665,60.123,60.528,60.898,..,..
Cambodia,,67.888,68.273,68.637,68.977,69.289,..,..
Cameroon,,56.576,57.083,57.583,58.063,58.511,..,..
Canada,,81.74878,81.8,81.9,82.14224,82.24898,..,..
Cabo Verde,,71.661,71.886,72.117,72.347,72.57,..,..
Cayman Islands,,..,..,..,..,..,..,..
Central African Republic,,49.371,50.129,50.881,51.593,52.24,..,..
Chad,,52.386,52.789,53.137,53.438,53.712,..,..
Channel Islands,,82.071,82.252,82.429,82.6,82.766,..,..
