Indicator,,"Mortality rate, infant (per 1,000 live births)",,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Country,,,,,,,,
Afghanistan,,57.3,55.1,53.1,51.2,49.5,47.9,..
Albania,,9.5,8.9,8.5,8.2,8,7.8,..
Algeria,,22.1,21.8,21.4,21,20.6,20.1,..
American Samoa,,..,..,..,..,..,..,..
Andorra,,3.4,3.2,3.1,3,2.8,2.7,..
Angola,,63.6,60.5,57.8,55.5,53.4,51.6,..
Anguilla,,..,..,..,..,..,..,..
Antigua and Barbuda,,6.3,6,5.7,5.4,5.2,5,..
Argentina,,11.3,10.7,10.2,9.7,9.3,8.8,..
Armenia,,14.2,13.5,12.8,12.2,11.6,11,..
Aruba,,..,..,..,..,..,..,..
Australia,,3.5,3.3,3.2,3.2,3.1,3.1,..
Austria,,3.2,3.1,3,3,2.9,2.9,..
Azerbaijan,,26.8,25,23.3,21.8,20.4,19.2,..
Bahamas,,9.6,9.3,9.1,8.8,8.6,8.3,..
Bahrain,,6.7,6.6,6.5,6.4,6.2,6.1,..
Bangladesh,,33,31.3,29.6,28,26.5,25.1,..
Barbados,,12.8,12.6,12.3,12,11.6,11.3,..
Belarus,,3.4,3.2,3,2.9,2.7,2.6,..
Belgium,,3.4,3.3,3.2,3.1,3,2.9,..
Belize,,14.5,13.9,13.2,12.5,11.8,11.2,..
Benin,,67,65.7,64.4,63.2,61.9,60.5,..
Bermuda,,..,..,..,..,..,..,..
Bhutan,,29.8,28.6,27.5,26.5,25.6,24.8,..
Bolivia (Plurinational State of),,27.7,26.2,24.9,23.8,22.8,21.8,..
Bosnia and Herzegovina,,5.6,5.4,5.3,5.2,5.1,5,..
Botswana,,34.8,34.5,33.2,32.3,30.8,30,..
Brazil,,14.9,14.5,14,14.6,13.2,12.8,..
British Virgin Islands,,..,..,..,..,..,..,..
Brunei Darussalam,,8.6,8.8,9.1,9.4,9.6,9.8,..
Bulgaria,,7.7,7.3,6.9,6.5,6.2,5.9,..
Burkina Faso,,57.5,55.4,53.6,51.9,50.4,49,..
Burundi,,50.4,47.9,45.8,44,42.4,41,..
Cambodia,,30.5,28.9,27.5,26.2,25.1,24,..
Cameroon,,60,57.9,55.7,54,52.2,50.6,..
Canada,,4.7,4.7,4.6,4.5,4.4,4.3,..
Cabo Verde,,19.5,18.9,18.3,17.8,17.2,16.7,..
Cayman Islands,,..,..,..,..,..,..,..
Central African Republic,,95.6,93,90.7,88.3,86.5,84.5,..
Chad,,79.8,78.1,76.5,74.8,73.1,71.4,..
Channel Islands,,..,..,..,..,..,..,..
Chile,,7.1,6.9,6.7,6.5,6.3,6.2,..
China,,10.8,10,9.2,8.5,7.9,7.4,..
"China, Hong Kong Special Administrative Region",,..,..,..,..,..,..,..
"China, Macao Special Administrative Region",,..,..,..,..,..,..,..
Colombia,,14.4,13.9,13.5,13.1,12.6,12.2,..
Comoros,,58.9,57.4,56,54.4,52.8,51.3,..
Congo,,40.7,39.8,38.9,38,37.1,36.2,..
Cook Islands,,..,..,..,..,..,..,..
Costa Rica,,8.2,8,7.8,7.7,7.6,7.6,..
Côte d'Ivoire,,68.9,66.9,64.8,62.9,61,59.4,..
Croatia,,4.3,4.2,4.2,4.1,4,4,..
Cuba,,4.3,4.2,4.1,3.9,3.8,3.7,..
Curaçao,,..,..,..,..,..,..,..
Cyprus,,2.4,2.3,2.2,2.1,2,1.9,..
Czechia,,2.5,2.5,2.5,2.6,2.6,2.7,..
Democratic People's Republic of Korea,,18.3,17,16,15.1,14.4,13.7,..
Democratic Republic of the Congo,,77.9,75.9,73.9,71.9,70,68.2,..
Denmark,,3.5,3.5,3.6,3.6,3.6,3.6,..
Djibouti,,57.4,55.8,54.2,52.6,51.2,49.8,..
Dominica,,24.9,27.2,29.4,31.1,32.2,32.9,..
Dominican Republic,,27.1,26.6,26,25.4,24.8,24.1,..
Ecuador,,13.8,13.4,13,12.7,12.5,12.2,..
Egypt,,21.5,20.8,20,19.4,18.7,18.1,..
El Salvador,,14.3,13.7,13.2,12.7,12.2,11.8,..
Equatorial Guinea,,72.4,70.4,68.3,66.2,64.5,62.6,..
Eritrea,,36,35,34.1,33.1,32.2,31.3,..
Estonia,,2.9,2.7,2.5,2.3,2.2,2.1,..
Eswatini,,54,52.8,47.9,46.3,45.5,43,..
Ethiopia,,47.8,45.7,43.8,42.1,40.6,39.1,..
Faeroe Islands,,..,..,..,..,..,..,..
Falkland Islands (Malvinas),,..,..,..,..,..,..,..
Fiji,,20.4,20.6,20.8,21.1,21.4,21.6,..
Finland,,2.1,1.9,1.8,1.6,1.5,1.4,..
France,,3.5,3.4,3.4,3.4,3.4,3.4,..
French Guiana,,..,..,..,..,..,..,..
French Polynesia,,..,..,..,..,..,..,..
Gabon,,38.3,37.4,36.3,34.8,33.7,32.7,..
Gambia,,43.9,42.9,41.9,40.9,40,39,..
Georgia,,10.2,9.7,9.4,9.1,8.9,8.7,..
Germany,,3.3,3.3,3.2,3.2,3.2,3.1,..
Ghana,,42,40.4,38.9,37.4,36.1,34.9,..
Gibraltar,,..,..,..,..,..,..,..
Greece,,3.5,3.6,3.8,3.8,3.7,3.6,..
Greenland,,..,..,..,..,..,..,..
Grenada,,13.1,13.3,13.5,13.7,13.8,13.7,..
Guadeloupe,,..,..,..,..,..,..,..
Guam,,..,..,..,..,..,..,..
Guatemala,,25.9,25.1,24.3,23.5,22.8,22.1,..
Guinea,,70.6,69.6,68.5,67.5,66.3,64.9,..
Guinea-Bissau,,63.8,61.6,59.5,57.5,55.7,54,..
Guyana,,28.8,28.1,27.4,26.6,25.9,25.1,..
Haiti,,55.7,54.5,53.3,52.1,50.8,49.5,..
Holy See,,..,..,..,..,..,..,..
Honduras,,17.9,17.3,16.7,16.1,15.6,15.1,..
Hungary,,4.7,4.5,4.3,4.1,3.8,3.6,..
Iceland,,1.8,1.8,1.7,1.6,1.6,1.5,..
India,,38.9,36.9,35,33.2,31.5,29.9,..
Indonesia,,25.3,24.3,23.5,22.6,21.9,21.1,..
Iran (Islamic Republic of),,14.9,14.3,13.8,13.3,12.8,12.4,..
Iraq,,26.2,25.4,24.6,23.9,23.2,22.5,..
Ireland,,3.3,3.3,3.3,3.2,3.2,3.1,..
Isle of Man,,..,..,..,..,..,..,..
Israel,,3.3,3.2,3.1,3.1,3,3,..
Italy,,3.1,3,2.9,2.8,2.7,2.6,..
