Indicator,,Rural population (% of total population),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Country,,,,,,,,
Afghanistan,,75.627,75.413,75.197,74.98,74.75,74.505,..
Albania,,44.613,43.577,42.566,41.579,40.617,39.681,..
Algeria,,30.424,29.779,29.152,28.541,27.948,27.371,..
American Samoa,,12.652,12.712,12.762,12.802,12.83,12.847,..
Andorra,,11.463,11.559,11.655,11.752,11.85,11.938,..
Angola,,37.998,37.269,36.554,35.851,35.161,34.486,..
Anguilla,,..,..,..,..,..,..,..
Antigua and Barbuda,,74.65,74.825,75,75.154,75.287,75.401,..
Argentina,,8.751,8.623,8.497,8.373,8.251,8.13,..
Armenia,,36.836,36.888,36.915,36.918,36.897,36.851,..
Aruba,,57.01,56.959,56.892,56.808,56.707,56.589,..
Australia,,14.498,14.398,14.299,14.2,14.096,13.988,..
Austria,,42.664,42.474,42.285,42.095,41.906,41.703,..
Azerbaijan,,45.855,45.578,45.286,44.979,44.657,44.32,..
Bahamas,,17.404,17.332,17.254,17.168,17.075,16.975,..
Bahrain,,11.165,11.085,11.001,10.91,10.814,10.713,..
Bangladesh,,67.238,66.465,65.692,64.917,64.142,63.368,..
Barbados,,68.571,68.672,68.751,68.807,68.841,68.853,..
Belarus,,23.801,23.307,22.819,22.339,21.866,21.405,..
Belgium,,2.211,2.167,2.124,2.081,2.039,1.999,..
Belize,,54.718,54.665,54.594,54.505,54.399,54.276,..
Benin,,55.358,54.834,54.305,53.771,53.232,52.688,..
Bermuda,,..,..,..,..,..,..,..
Bhutan,,62.851,62.082,61.322,60.572,59.833,59.105,..
Bolivia (Plurinational State of),,32.301,31.953,31.607,31.262,30.92,30.575,..
Bosnia and Herzegovina,,53.481,53.16,52.827,52.482,52.124,51.755,..
Botswana,,34.428,33.632,32.845,32.067,31.3,30.554,..
Brazil,,14.791,14.508,14.23,13.958,13.691,13.431,..
British Virgin Islands,,54.144,53.784,53.417,53.043,52.663,52.277,..
Brunei Darussalam,,24.003,23.668,23.337,23.01,22.688,22.371,..
Bulgaria,,26.687,26.349,26.01,25.671,25.331,24.992,..
Burkina Faso,,73.654,73.066,72.47,71.866,71.257,70.642,..
Burundi,,88.518,88.224,87.922,87.612,87.294,86.968,..
Cambodia,,78.585,78.201,77.812,77.418,77.02,76.612,..
Cameroon,,46.627,46.024,45.422,44.821,44.223,43.626,..
