country_iso,global_innovation_index
ABW,
AFG,
AGO,
ALB,30.3
AND,
ANT,
ARB,
ARE,42.2
ARG,31.9
ARM,34.0
ASM,
ATG,
AUS,50.3
AUT,50.9
AZE,30.2
BDI,17.6
BEL,50.2
BEN,20.4
BFA,23.3
BGD,23.3
BGR,40.3
BHR,31.1
BHS,
BIH,31.4
BLR,32.1
BLZ,
BMU,
BOL,24.8
BRA,33.8
BRB,
BRN,32.3
BTN,
BWA,27.4
CAF,
CAN,53.9
CEB,
CHE,67.2
CHI,
CHL,36.6
CHN,54.8
CIV,25.6
CMR,23.9
COD,
COG,
COL,33.0
COM,
CPV,
CRI,36.1
CSS,
CUB,
CUW,
CYM,
CYP,48.3
CZE,49.4
DEU,58.2
DJI,
DMA,
DNK,58.4
DOM,28.6
DZA,24.0
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,26.6
EGY,27.5
EMU,
ERI,
ESP,47.9
EST,50.0
ETH,24.2
EUU,
FCS,
FIN,59.8
FJI,
FRA,54.2
FRO,
FSM,
GAB,
GBR,61.3
GEO,37.0
GHA,25.3
GIB,
GIN,19.5
GLP,
GMB,
GNB,
GNQ,
GRC,38.9
GRD,
GRL,
GTM,25.1
GUF,
GUM,
GUY,
HIC,
HKG,55.5
HND,25.5
HPC,
HRV,37.8
HTI,
HUN,44.5
IBD,
IBT,
IDA,
IDB,
IDN,29.7
IDX,
IMN,
IND,36.6
IRL,56.1
IRN,34.4
IRQ,
ISL,51.5
ISR,57.4
ITA,46.3
JAM,30.8
JOR,29.6
JPN,54.7
KAZ,31.0
KEN,31.1
KGZ,28.4
KHM,26.6
KIR,
KNA,
KOR,56.6
KWT,34.6
LAC,
LAO,
LBN,28.5
LBR,
LBY,
LCA,
LCN,
LDC,
LIC,
LIE,
LKA,28.5
LMC,
LMY,
LSO,
LTE,
LTU,41.5
LUX,53.5
LVA,43.2
MAC,
MAF,
MAR,31.6
MCO,
MDA,35.5
MDG,22.4
MDV,
MEA,
MEX,36.1
MHL,
MIC,
MKD,35.3
MLI,24.0
MLT,49.0
MMR,
MNA,
MNE,37.7
MNG,36.3
MNP,
MOZ,22.9
MRT,
MTQ,
MUS,30.6
MWI,23.0
MYS,42.7
MYT,
NAC,
NAM,25.9
NCL,
NER,18.1
NGA,23.9
NIC,22.5
NLD,61.4
NOR,51.9
NPL,24.9
NRU,
NZL,49.6
OED,
OMN,31.0
OSS,
PAK,25.4
PAN,31.5
PER,32.9
PHL,36.2
PLW,
PNG,
POL,41.3
PRE,
PRI,
PRK,
PRT,44.6
PRY,27.1
PSE,
PSS,
PST,
PYF,
QAT,33.9
REU,
ROU,36.8
RUS,37.6
RWA,27.4
SAS,
SAU,32.9
SDN,
SEN,26.8
SGP,58.4
SLB,
SLE,
SLV,24.9
SMR,
SOM,
SRB,35.7
SSA,
SSD,
SSF,
SST,
STP,
SUR,
SVK,42.0
SVN,45.3
SWE,63.7
SWZ,
SXM,
SYC,
SYR,
TCA,
TCD,
TEA,
TEC,
TGO,18.5
THA,38.6
TJK,26.4
TKM,
TLA,
TLS,
TMN,
TON,
TSA,
TSS,
TTO,28.1
TUN,32.8
TUR,36.9
TUV,
TWN,
TZA,26.6
UGA,25.6
UKR,37.4
UMC,
URY,34.3
USA,61.7
UZB,
VAT,
VCT,
VEN,
VGB,
VIR,
VNM,38.8
VUT,
WLD,
WSM,
XKX,
YEM,14.5
ZAF,34.0
ZMB,20.4
ZWE,22.3
