country_iso,gii_innovation_output,prediction
ALB,18.3,21.008432052848836
ARE,26.7,31.228594881786023
ARG,21.6,23.47806876107867
ARM,28.6,20.765648211011353
AUS,36.3,37.62564956894742
AUT,39.1,42.09086768239435
AZE,18.8,24.621775883406386
BDI,8.8,15.790657750574397
BEL,39.6,44.709232355368876
BEN,9.4,15.306984666643816
BFA,14.3,16.87872740012388
BGD,15.5,16.09435232971889
BGR,32.6,28.54426135974591
BHR,19.3,27.213063260362297
BIH,20.4,21.16932232653138
BLR,18.1,27.850766869963678
BOL,15.1,14.413357343377168
BRA,22.9,21.275482860038384
BRN,13.0,20.955748783111872
BWA,14.0,18.940532282142044
CAN,41.4,42.688477803818316
CHE,63.5,58.73165604491689
CHL,25.0,26.085906746700402
CHN,52.8,40.717955073292245
CIV,18.7,14.98193624234476
CMR,16.1,15.574881484592575
COL,20.9,19.74932985990427
CRI,29.3,24.3097576142681
CYP,41.1,40.75510138661017
CZE,43.4,44.665763487137426
DEU,51.1,48.20468687326262
DNK,47.5,51.596454946315106
DOM,19.2,19.621943482831746
DZA,13.3,16.677256542274723
ECU,17.7,15.839831326239118
EGY,21.6,18.360560546919217
ESP,38.4,33.59192665090954
EST,43.8,37.48373280789528
ETH,20.1,17.07080818376047
FIN,51.6,48.57605752463279
FRA,45.0,44.93969854563645
GBR,54.4,46.39264859534455
GEO,25.8,21.77608779457024
GHA,17.7,18.7495712701251
GIN,11.2,18.193679849815283
GRC,27.6,30.115320829303602
GTM,16.8,17.26983700112504
HKG,44.4,54.16115567846287
HND,16.5,16.824035113348003
HRV,28.3,27.775739125044918
HUN,38.7,37.90786006141191
IDN,20.8,23.059854066634866
IND,28.5,25.53333537611598
IRL,50.1,39.604243208380964
IRN,29.9,17.832829007800985
ISL,44.0,45.43796030096646
ISR,51.6,46.29691792611399
ITA,37.9,35.30013091451108
JAM,22.1,20.701792026943405
JOR,22.1,19.029344677621708
JPN,44.3,49.49498707758102
KAZ,18.3,21.17035272089752
KEN,24.2,18.43071429618226
KGZ,15.3,14.951492524523879
KHM,19.7,15.963753501653159
KOR,47.2,54.925365721334714
KWT,27.2,17.642366060146486
LBN,20.0,21.08858209938014
LKA,20.8,20.504346412060144
LTU,32.3,34.94247764034232
LUX,49.2,47.613954584751
LVA,35.2,33.22178575746437
MAR,23.3,17.170360983702412
MDA,30.3,20.774869810540412
MDG,15.5,15.061656852443297
MEX,27.4,30.92431724223131
MKD,24.9,24.743326364653026
MLI,17.3,18.649356062242582
MLT,43.4,40.10765342365019
MNE,30.0,27.90482497788886
MNG,30.3,17.913888654330616
MOZ,14.8,16.33089499359121
MUS,18.0,25.544927112015927
MWI,15.3,15.792657278768946
MYS,32.4,38.28105361051554
NAM,16.7,18.9166065440172
NER,8.3,18.9968019281984
NGA,16.4,13.481331871952836
NIC,12.1,14.199119841544965
NLD,57.5,56.1935055602476
NOR,38.5,45.55480737929105
NPL,13.0,15.243377832579315
NZL,36.0,38.10645934939993
OMN,16.9,21.530836562157077
PAK,19.1,17.568773964002215
PAN,21.9,22.56983078835047
PER,19.4,17.346424863211254
PHL,30.7,30.637523848403987
POL,31.7,31.609714651315223
PRT,34.6,35.82201480847717
PRY,18.2,16.48461323876179
QAT,22.1,28.375827861053843
ROU,28.0,28.211579288454587
RUS,26.1,25.525785515692196
RWA,11.3,17.356316868168744
SAU,19.5,24.70744312923256
SEN,20.1,19.321965598423276
SGP,44.6,45.88113254505001
SLV,14.2,17.155123580894628
SRB,26.9,23.85893280928267
SVK,35.6,38.35384345177809
SVN,36.4,34.907192188024496
SWE,56.9,52.02874350329449
TGO,7.3,17.15721968271594
THA,30.7,32.08599973594718
TJK,19.7,16.074090230222595
TTO,17.5,21.118355061218637
TUN,23.5,22.201106257886345
TUR,28.6,24.604849468241696
TZA,21.8,17.52128684822773
UGA,15.5,17.35013178126724
UKR,34.1,21.619109488257955
URY,25.3,29.273908613016875
USA,52.6,46.937261905896456
VNM,33.9,27.02774241430941
YEM,6.4,12.623476081245952
ZAF,22.3,21.693349177306843
ZMB,12.7,15.822434160818728
ZWE,15.4,14.546491332190646
