country_iso,gii_human_capital,gii_domestic_credit,mobile_subscriptions,broadband_subscriptions_per100,gii_ict_services_imports,diversity_ethnicFractionalization,diversity_linguisticFractionalization,diversity_religiousFractionalization,literacy_rate,electrification,gii_scientific_publications,rd_in_gdp,creative_svc_audiovisual,creative_svc_other_personal_cultural_recreational,creative_svc_advertising_mktresearch_polling,creative_svc_architectural_engineering_technical,creative_svc_personal_cultural_recreational,creative_svc_research,rural_population,school_enrollment_tertiary,gii_creative_services,gii_rule_of_law,population,mortality_rate,secure_internet_servers,gii_institutions,gii_top_level_domains,gii_patent_applications,feature_films_produced,gii_patent_families,gii_mobile_apps,gii_research_talent_in_business,cultural_occupation,gii_creative_goods,life_expectancy,ease_of_business,gii_wikipedia_edits,gii_ict_access,gii_stem_assessment,poverty_ratio,foreign_investment,total_hospital_density_per_100k,gii_university_industry,gii_innovation_output,gdp_per_capta_usd
ABW,30.4,52.1,38.400523546268296,14.66450202281818,1.1,0.0,0.3889,0.4107,97.30710333333333,99.38890555571429,6.8,0.4982216666666667,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.1733255692,0.7565329588680556,56.82749999999999,28.385224436111113,0.4,0.0,75759.38983050847,15.308333333333334,613.8511596341111,62.9,8.4,0.9,25.0,0.1,0.1,28.45,0.885,0.4,75.7254,96.0,9.4,6.75,474.4,9.796271929824563,3.20068610725,1.09,3.5,23.5,25444.983298
AFG,30.4,52.1,12.360731860489361,0.011756274357142858,1.1,0.7693,0.6141,0.2717,30.97284017,57.85828379846156,6.8,0.4982216666666667,0.6871064605,0.083968166,0.014596231000000001,0.1035193325,0.7710746265,3.664091667,75.07866666666666,2.39107650085,0.4,0.0,18028707.440677967,52.349999999999994,12.8737309351108,62.9,8.4,0.9,25.0,0.1,0.1,28.45,0.885,0.4,63.352199999999996,173.0,9.4,6.75,474.4,9.796271929824563,0.8240113995384614,0.37,3.5,23.5,575.6524283333333
AGO,30.4,52.1,11.679963662553192,0.18313831746153844,1.1,0.7867,0.787,0.6276,66.71776499999999,32.58331577117647,6.8,0.03229,0.22882860283333334,2.1331649332500002,0.690170558,1.29678962,2.1331649332500002,0.7565329588680556,36.219833333333334,2.9144768748125003,0.4,0.0,13518108.254237289,57.06666666666666,6.144484436464484,62.9,8.4,0.9,5.0,0.1,0.1,28.45,0.885,0.4,59.30640000000001,177.0,9.4,6.75,474.4,31.2,4.331601951307693,1.09,3.5,23.5,4310.7573483333335
ALB,22.7,35.0,31.171650244085107,5.630488015538462,1.5,0.2204,0.0399,0.4719,97.37700799999999,100.0,3.2,0.4982216666666667,0.7137174311111112,0.9423176499,0.773038271,0.7182141754444444,1.5846494434000002,0.13644387659999999,42.1055,23.684489035350005,1.2,-0.4,2705824.3898305083,8.483333333333333,145.32039793708617,65.8,18.4,0.6,5.0,0.0,0.1,28.45,0.885,0.2,77.9838,82.0,16.0,5.3,415.2,1.1400000000000001,4.359190729,1.36,3.3,18.3,4475.868233333333
AND,30.4,52.1,33.02212087174468,26.791823931294115,1.1,0.7139,0.6848,0.2326,85.04728531183721,100.0,6.8,0.4982216666666667,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.5081323985,0.7565329588680556,11.702833333333333,16.816667416959184,0.4,0.0,51113.542372881355,3.033333333333333,2032.3474652548757,62.9,8.4,0.9,25.0,0.1,0.1,28.45,0.885,0.4,73.64059999999999,96.0,9.4,6.75,474.4,9.796271929824563,2.1161067391836736,1.09,3.5,23.5,39559.167381666666
ANT,30.4,52.1,31.169246283657937,4.071443595583333,1.1,0.39949999999999997,0.33294999999999997,0.46099999999999997,85.04728531183721,95.54375,6.8,0.4982216666666667,0.22882860283333334,0.02136202557142857,0.04439698342857142,0.30996985785714287,0.02136202557142857,0.7565329588680556,41.218833333333336,16.816667416959184,0.4,0.0,7005570.322033898,15.308333333333334,156.81355077349306,62.9,8.4,0.9,25.0,0.1,0.1,28.45,0.885,0.4,73.64059999999999,96.0,9.4,6.75,474.4,9.796271929824563,2.1161067391836736,1.09,3.5,23.5,6569.8270225
ARB,30.4,52.1,32.759840078459455,4.071443595583333,1.1,0.39949999999999997,0.33294999999999997,0.46099999999999997,62.33136182560976,84.4995732175,6.8,0.4982216666666667,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.5081323985,0.7565329588680556,41.218833333333336,16.12261385144898,0.4,0.0,227764651.27118644,15.308333333333334,48.357706565009934,62.9,8.4,0.9,25.0,0.1,0.1,28.45,0.885,0.4,73.64059999999999,96.0,9.4,6.75,474.4,9.796271929824563,1.2371355264285715,1.09,3.5,23.5,6569.8270225
ARE,52.4,78.8,70.7742545842973,8.6662299729,0.9,0.6252,0.4874,0.331,71.59467643,100.0,3.1,0.963865,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.5081323985,0.7565329588680556,14.191666666666665,16.816667416959184,0.4,0.8,2975819.4576271186,6.666666666666667,599.0348843336853,78.8,30.2,0.1,42.75,0.0,0.2,62.2,0.885,4.2,77.28,16.0,9.9,8.5,474.3,9.796271929824563,1.306515432068182,1.09,4.3,26.7,41050.005065000005
ARG,38.7,16.1,41.02642522917021,9.164629173555555,1.5,0.255,0.0618,0.2236,98.26321490615383,98.12433047764705,6.8,0.5949416666666667,2.7017253817,0.11871407640000001,2.9645655649,1.7492368957,2.8204370253,2.1792806856999998,8.4375,47.59338829774998,1.1,-0.2,32087002.355932202,10.0,516.2024342500919,56.7,8.5,0.4,168.85714285714286,0.1,0.2,8.1,0.885,0.1,76.066,126.0,12.1,7.3,468.9,3.1965517241379318,1.501876783571429,1.09,3.3,21.6,13039.79759
ARM,16.9,51.5,28.26119854780851,4.617005639529412,0.5,0.1272,0.1291,0.4576,99.4081501875,99.56618457333333,25.2,0.22889714285714288,0.639131854,0.47737385066666665,0.2844998153333334,1.29678962,1.5208904752999999,0.7565329588680556,36.884166666666665,36.2158194025,0.6,-0.2,2911608.2372881356,12.549999999999999,116.55901362773567,63.2,8.5,3.9,27.857142857142858,0.2,0.1,28.45,0.72,0.6,74.44659999999999,47.0,102.5,7.7,474.4,5.5388888888888905,4.459721398481482,4.03,3.2,28.6,3858.352601666667
ASM,30.4,52.1,1.2152267813999997,4.071443595583333,1.1,0.0,0.1733,0.6395,97.34416199,95.54375,6.8,0.4982216666666667,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.5081323985,0.7565329588680556,12.767499999999998,16.816667416959184,0.4,0.0,42908.372881355936,15.308333333333334,239.6085823290606,62.9,8.4,0.9,25.0,0.1,0.1,28.45,0.885,0.4,73.64059999999999,96.0,9.4,6.75,474.4,9.796271929824563,2.1161067391836736,1.09,3.5,23.5,11597.510876
ATG,30.4,52.1,57.39060810535,8.996232951642856,1.1,0.1643,0.1063,0.684,98.95,98.719257346875,6.8,0.4982216666666667,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.5081323985,0.7565329588680556,75.05283333333334,17.9171725,0.4,0.0,70487.83050847458,5.599999999999999,748.6846994572542,62.9,8.4,0.9,25.0,0.1,0.1,28.45,0.885,0.4,76.4838,113.0,9.4,6.75,474.4,9.796271929824563,8.989442986214286,1.11,3.5,23.5,14920.970121666667
AUS,57.7,142.5,40.960103056063836,19.846896312411765,1.0,0.0929,0.3349,0.8211,85.04728531183721,100.0,26.9,2.049065,0.3944188802,1.0765208841666667,0.5129007215,2.681633976,1.5514827759000003,1.0590291223333332,14.2465,42.618423997741935,0.4,1.7,16963628.169491526,3.233333333333334,9225.084220737994,88.8,175.6,2.0,38.142857142857146,1.0,0.3,27.9,0.885,0.6,82.359024,14.0,47.2,8.0,502.3,0.7500000000000001,2.360303837204081,1.09,4.2,36.3,58138.03124166667
AUT,60.2,84.1,51.963952968212766,18.315363236049997,2.3,0.1068,0.1522,0.4146,85.04728531183721,100.0,22.0,3.04773,0.161242181875,0.38138871825,1.7622542184999999,4.9911028465,0.5545716922999999,3.561398401,42.18783333333334,41.64501799846154,1.2,1.8,7827490.322033898,3.016666666666667,4359.011639287254,86.0,100.4,9.7,47.0,4.5,0.4,62.2,1.375,0.9,81.41999799999999,27.0,54.2,8.5,492.2,0.34615384615384615,1.5530341016530609,1.09,4.9,39.1,48434.656886666664
AZE,17.0,22.2,27.653457168702126,9.770705340866666,0.5,0.2047,0.2054,0.4899,99.67516285909092,99.4993909868421,3.5,0.20456428571428573,0.22882860283333334,0.741582254,0.24232745375,1.29678962,0.741582254,0.043977624714285714,45.11249999999999,22.1925979988,0.1,-0.6,7005570.322033898,22.749999999999996,86.87444503517915,64.5,2.8,1.1,61.42857142857143,0.0,0.0,28.45,0.885,0.0,72.24839999999999,34.0,26.2,6.7,474.4,1.6666666666666667,15.218701656999995,7.97,4.2,18.8,5669.3995233333335
BDI,17.7,15.5,7.755367079382979,0.018110264909090908,1.6,0.2951,0.2977,0.5158,49.537668415000006,5.3846033576500005,4.3,0.4982216666666667,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.040292975,0.7565329588680556,87.75633333333333,1.6757307927368421,0.3,-1.4,5694381.355932203,45.25,1.687831852876886,45.6,0.2,0.9,6.75,0.5,0.1,28.45,0.885,0.1,60.0724,166.0,0.1,2.4,474.4,78.675,0.3110051062708334,0.5,3.0,8.8,281.3286766666667
BEL,55.0,66.3,40.985140174446805,23.04230135533333,2.3,0.5554,0.5409,0.2127,85.04728531183721,100.0,23.1,2.4326600000000003,0.6422982169999999,0.13645190744444446,4.259518532777777,1.8004612872222223,0.7796083077,3.3545011955555553,2.1035,46.91088139166667,1.4,1.3,10122532.016949153,3.15,3577.0308622287416,82.0,59.2,6.0,68.14285714285714,2.8,0.1,54.1,1.045,1.6,81.14926400000002,46.0,30.7,8.1,502.5,0.12307692307692307,7.403358093653059,1.09,5.1,39.6,44331.531500000005
BEN,21.1,22.7,19.449555977872343,0.21858053605882355,1.1,0.7872,0.7905,0.5544,30.399870115000002,28.984979473181816,8.6,0.4982216666666667,0.009971127666666668,0.005746549,0.11459455762500001,0.2640094025,0.008914983,0.29264420999999996,54.03133333333333,4.836279771217391,0.0,-0.6,5605437.644067797,63.78333333333333,2.1880044764310664,56.6,1.8,0.1,25.0,0.0,0.1,28.45,0.885,0.0,60.620799999999996,149.0,0.9,3.1,474.4,50.46666666666667,0.5472634015510204,0.41,2.8,9.4,860.147735
