country_iso,mobile_subscriptions,gii_ict_services_imports,diversity_linguisticFractionalization,diversity_religiousFractionalization,creative_svc_audiovisual,creative_svc_other_personal_cultural_recreational,creative_svc_advertising_mktresearch_polling,creative_svc_architectural_engineering_technical,creative_svc_research,school_enrollment_tertiary,gii_creative_services,population,secure_internet_servers,gii_patent_applications,feature_films_produced,cultural_occupation,gii_creative_goods,foreign_investment,total_hospital_density_per_100k,gdp_per_capta_usd
ABW,38.400523546268296,1.1,0.3889,0.4107,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,28.385224436111113,0.4,75759.38983050847,613.8511596341111,0.9,25.0,0.885,0.4,3.20068610725,1.09,25444.983298
AFG,12.360731860489361,1.1,0.6141,0.2717,0.6871064605,0.083968166,0.014596231000000001,0.1035193325,3.664091667,2.39107650085,0.4,18028707.440677967,12.8737309351108,0.9,25.0,0.885,0.4,0.8240113995384614,0.37,575.6524283333333
AGO,11.679963662553192,1.1,0.787,0.6276,0.22882860283333334,2.1331649332500002,0.690170558,1.29678962,0.7565329588680556,2.9144768748125003,0.4,13518108.254237289,6.144484436464484,0.9,5.0,0.885,0.4,4.331601951307693,1.09,4310.7573483333335
ALB,31.171650244085107,1.5,0.0399,0.4719,0.7137174311111112,0.9423176499,0.773038271,0.7182141754444444,0.13644387659999999,23.684489035350005,1.2,2705824.3898305083,145.32039793708617,0.6,5.0,0.885,0.2,4.359190729,1.36,4475.868233333333
AND,33.02212087174468,1.1,0.6848,0.2326,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,51113.542372881355,2032.3474652548757,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,39559.167381666666
ANT,31.169246283657937,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.02136202557142857,0.04439698342857142,0.30996985785714287,0.7565329588680556,16.816667416959184,0.4,7005570.322033898,156.81355077349306,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,6569.8270225
ARB,32.759840078459455,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.12261385144898,0.4,227764651.27118644,48.357706565009934,0.9,25.0,0.885,0.4,1.2371355264285715,1.09,6569.8270225
ARE,70.7742545842973,0.9,0.4874,0.331,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,2975819.4576271186,599.0348843336853,0.1,42.75,0.885,4.2,1.306515432068182,1.09,41050.005065000005
ARG,41.02642522917021,1.5,0.0618,0.2236,2.7017253817,0.11871407640000001,2.9645655649,1.7492368957,2.1792806856999998,47.59338829774998,1.1,32087002.355932202,516.2024342500919,0.4,168.85714285714286,0.885,0.1,1.501876783571429,1.09,13039.79759
ARM,28.26119854780851,0.5,0.1291,0.4576,0.639131854,0.47737385066666665,0.2844998153333334,1.29678962,0.7565329588680556,36.2158194025,0.6,2911608.2372881356,116.55901362773567,3.9,27.857142857142858,0.72,0.6,4.459721398481482,4.03,3858.352601666667
