country_iso,clusters_3,clusters_4,clusters_5,clusters_6,clusters_7,clusters_8
ABW,0,1,1,1,1,1
AFG,1,3,2,2,2,2
AGO,1,3,2,2,2,2
ALB,0,1,1,1,1,1
AND,0,1,1,5,1,1
ANT,0,1,1,1,6,6
ARB,0,1,1,1,6,6
ARE,0,0,3,5,5,5
ARG,0,0,3,5,1,3
ARM,0,0,1,1,1,1
ASM,0,1,1,1,6,6
ATG,0,1,1,1,1,1
AUS,2,2,0,0,0,7
AUT,2,2,0,0,0,0
AZE,0,1,1,1,6,6
BDI,1,3,2,2,2,2
BEL,2,2,0,0,0,0
BEN,1,3,2,2,2,2
BFA,1,3,2,2,2,2
BGD,1,3,2,2,2,2
BGR,0,0,3,5,1,1
BHR,0,1,1,5,1,1
BHS,0,1,1,1,1,1
BIH,0,1,1,1,6,6
BLR,0,1,1,5,1,1
BLZ,0,1,1,1,6,6
BMU,0,0,1,5,1,1
BOL,0,1,1,1,6,6
BRA,0,1,1,1,1,6
BRB,0,1,1,1,1,1
BRN,0,1,1,1,6,1
BTN,0,1,1,1,6,6
BWA,1,1,1,1,6,6
CAF,1,3,2,2,2,2
CAN,2,2,0,0,0,0
CEB,0,1,1,1,1,1
CHE,2,2,0,0,0,0
CHI,0,1,1,1,6,6
CHL,0,0,1,5,1,1
CHN,2,2,3,3,5,5
CIV,1,3,2,2,2,2
CMR,1,3,2,2,2,2
COD,1,3,2,2,2,2
COG,1,3,2,2,2,2
COL,0,1,1,1,1,6
COM,1,3,2,1,6,6
CPV,0,1,1,1,6,6
CRI,0,0,1,5,1,1
CSS,0,1,1,1,6,6
CUB,0,1,1,1,6,6
CUW,0,0,1,5,1,1
CYM,0,0,3,5,1,1
CYP,2,2,4,4,4,4
CZE,2,2,3,3,3,7
DEU,2,2,0,0,0,0
DJI,1,3,2,1,6,6
DMA,0,1,1,1,6,6
DNK,2,2,0,0,0,0
DOM,0,1,1,1,6,6
DZA,0,1,1,1,6,6
EAP,0,1,1,1,6,6
EAR,0,1,1,1,6,6
EAS,0,1,1,1,6,6
ECA,0,1,1,1,1,1
ECS,0,1,1,1,1,1
ECU,0,1,1,1,6,6
EGY,0,1,1,1,6,6
EMU,0,1,1,1,1,1
ERI,1,3,2,2,2,2
ESP,2,0,3,3,3,7
EST,2,2,3,3,3,7
ETH,1,3,2,2,2,2
EUU,0,1,1,1,1,1
FCS,0,1,1,1,6,6
FIN,2,2,0,0,0,0
FJI,0,1,1,1,6,6
FRA,2,2,0,0,0,0
FRO,0,0,1,5,1,1
FSM,1,1,1,1,6,6
GAB,0,1,1,1,6,6
GBR,2,2,0,0,0,0
GEO,0,1,1,5,1,1
GHA,1,3,2,2,2,2
GIB,0,0,1,5,1,1
GIN,1,3,2,2,2,2
GLP,0,1,1,1,6,6
GMB,1,3,2,2,2,2
GNB,1,3,2,2,2,2
GNQ,1,1,1,1,6,6
GRC,0,0,3,5,1,3
GRD,0,1,1,1,1,1
GRL,0,1,1,5,1,1
GTM,1,1,1,1,6,6
GUF,0,1,1,1,6,6
GUM,0,1,1,1,6,6
GUY,0,1,1,1,6,6
HIC,0,1,1,1,1,1
HKG,2,2,0,0,0,7
HND,0,1,1,1,6,6
HPC,0,1,1,1,6,6
HRV,0,0,3,3,3,3
HTI,1,3,2,2,2,2
HUN,2,0,3,3,3,3
IBD,0,1,1,1,6,6
IBT,0,1,1,1,6,6
IDA,0,1,1,1,6,6
IDB,0,1,1,1,6,6
IDN,0,1,1,1,6,6
IDX,0,1,1,1,6,6
IMN,0,1,1,1,1,1
IND,1,3,2,1,5,5
IRL,2,2,0,0,0,7
IRN,0,1,1,1,6,6
IRQ,0,1,1,1,6,6
ISL,2,2,0,0,0,7
ISR,2,2,0,0,0,0
ITA,2,0,3,3,3,7
JAM,0,1,1,1,6,6
JOR,0,1,1,1,6,6
JPN,2,2,0,0,0,0
KAZ,0,1,1,1,1,1
KEN,1,3,2,2,2,2
KGZ,0,1,1,1,6,6
KHM,1,3,2,1,6,6
KIR,0,1,1,1,6,6
KNA,0,1,1,1,1,1
KOR,2,2,0,0,0,0
KWT,0,1,1,1,6,6
LAC,0,1,1,1,6,6
LAO,1,3,2,2,2,2
LBN,0,1,1,1,1,1
LBR,1,3,2,2,2,2
LBY,0,1,1,1,6,6
LCA,0,1,1,1,6,6
LCN,0,1,1,1,6,6
LDC,0,1,1,1,6,6
LIC,1,1,1,1,6,6
LIE,0,0,3,5,1,1
LKA,0,1,1,1,6,6
LMC,0,1,1,1,6,6
LMY,0,1,1,1,6,6
LSO,1,3,2,2,2,2
LTE,0,1,1,1,6,6
LTU,0,0,3,3,3,3
LUX,2,2,0,0,0,0
LVA,0,0,3,3,3,3
MAC,0,0,1,5,1,1
MAF,0,1,1,1,6,6
MAR,0,1,1,1,6,6
MCO,0,0,1,5,1,1
MDA,0,1,1,1,1,6
MDG,1,3,2,2,2,2
MDV,0,1,1,1,6,6
MEA,0,1,1,1,6,6
MEX,0,1,1,5,5,5
MHL,0,1,1,1,6,6
MIC,0,1,1,1,6,6
MKD,0,0,1,5,1,3
MLI,1,3,2,2,2,2
MLT,2,2,3,3,3,3
MMR,1,1,1,1,6,6
MNA,0,1,1,1,6,6
MNE,0,0,3,5,1,1
MNG,0,1,1,1,6,6
MNP,0,1,1,1,6,6
MOZ,1,3,2,2,2,2
MRT,1,3,2,2,2,2
MTQ,0,1,1,1,6,6
MUS,0,1,1,1,6,6
MWI,1,3,2,2,2,2
MYS,0,0,3,5,5,5
MYT,0,1,1,1,6,6
NAC,0,1,1,5,1,1
NAM,1,3,2,2,2,2
NCL,0,1,1,1,6,6
NER,1,3,2,2,2,2
NGA,1,3,2,2,2,2
NIC,0,1,1,1,6,6
NLD,2,2,0,0,0,0
NOR,2,2,0,0,0,7
NPL,1,3,2,2,2,2
NRU,0,1,1,1,6,6
NZL,2,2,0,0,0,7
OED,0,1,1,1,1,1
OMN,0,1,1,1,6,6
OSS,0,1,1,1,6,6
PAK,1,3,2,2,2,2
PAN,0,1,1,1,6,6
PER,0,1,1,1,6,6
PHL,0,1,1,1,5,5
PLW,0,1,1,1,1,1
PNG,1,3,2,2,2,2
POL,0,0,3,3,3,3
PRE,0,1,1,1,6,6
PRI,0,0,1,5,1,1
PRK,0,1,1,1,6,6
PRT,2,0,3,3,3,7
PRY,0,1,1,1,6,6
PSE,0,1,1,1,6,6
PSS,0,1,1,1,6,6
PST,0,1,1,1,1,1
PYF,0,1,1,1,6,6
QAT,0,0,1,5,1,1
REU,0,1,1,1,6,6
ROU,0,0,3,5,1,3
RUS,0,0,3,3,3,3
RWA,1,3,2,2,2,2
SAS,0,1,1,1,6,6
SAU,0,0,1,5,1,1
SDN,1,3,2,2,2,2
SEN,1,3,2,2,2,2
SGP,2,2,0,0,0,7
SLB,1,1,1,1,6,6
SLE,1,3,2,2,2,2
SLV,0,1,1,1,6,6
SMR,0,0,1,5,1,1
SOM,1,3,2,2,2,2
SRB,0,0,3,3,3,3
SSA,0,1,1,1,6,6
SSD,1,3,2,2,2,2
SSF,0,1,1,1,6,6
SST,0,1,1,1,6,6
STP,0,1,1,1,6,6
SUR,0,1,1,1,6,6
SVK,0,0,3,3,5,5
SVN,2,2,3,3,3,7
SWE,2,2,0,0,0,0
SWZ,0,1,1,1,6,6
SXM,0,0,1,5,1,1
SYC,0,0,1,5,1,1
SYR,0,1,1,1,6,6
TCA,0,1,1,1,6,6
TCD,1,3,2,2,2,2
TEA,0,1,1,1,6,6
TEC,0,1,1,1,1,1
TGO,1,3,2,2,2,2
THA,0,1,1,5,5,5
TJK,0,1,1,1,6,6
TKM,0,1,1,1,6,6
TLA,0,1,1,1,6,6
TLS,1,3,2,2,6,6
TMN,0,1,1,1,6,6
TON,0,1,1,1,6,6
TSA,0,1,1,1,6,6
TSS,0,1,1,1,6,6
TTO,0,1,1,1,6,6
TUN,0,1,1,1,6,6
TUR,0,0,1,5,5,5
TUV,0,1,1,1,6,6
TWN,0,1,1,1,6,6
TZA,1,3,2,2,2,2
UGA,1,3,2,2,2,2
UKR,0,1,1,1,1,1
UMC,0,1,1,1,6,6
URY,0,0,1,5,1,1
USA,2,2,0,0,0,0
UZB,0,1,1,1,6,6
VAT,0,1,1,1,6,6
VCT,0,1,1,1,6,6
VEN,0,1,1,1,6,6
VGB,0,0,1,5,1,1
VIR,0,1,1,1,6,6
VNM,0,1,1,1,5,5
VUT,1,1,1,1,6,6
WLD,0,1,1,1,6,6
WSM,0,1,1,1,6,6
XKX,0,1,1,1,6,6
YEM,1,3,2,2,2,2
ZAF,0,1,1,1,6,6
ZMB,1,3,2,2,2,2
ZWE,1,3,2,2,2,2
