country_iso,clusters_3,clusters_4,clusters_5,clusters_6,clusters_7,clusters_8
ABW,0,0,1,1,1,0
AFG,0,0,1,1,1,0
AGO,0,0,1,1,1,0
ALB,0,0,1,0,1,0
AND,0,0,1,1,1,0
ANT,0,0,1,1,1,0
ARB,0,0,1,1,1,0
ARE,0,0,1,1,1,0
ARG,1,0,1,1,3,0
ARM,1,1,3,1,3,0
ASM,0,0,1,1,1,0
ATG,0,0,1,1,1,0
AUS,1,1,3,2,3,2
AUT,2,2,0,2,2,4
AZE,0,0,2,0,5,3
BDI,0,0,2,0,5,3
BEL,2,2,0,2,2,4
BEN,0,0,2,0,5,3
BFA,0,0,2,0,5,3
BGD,0,0,2,0,5,3
BGR,0,0,1,1,1,0
BHR,0,0,1,0,1,0
BHS,0,0,1,1,1,0
BIH,0,0,1,1,1,0
BLR,0,0,1,1,1,0
BLZ,0,0,1,1,1,0
BMU,0,0,1,1,1,0
BOL,0,0,1,0,1,0
BRA,0,1,1,1,3,0
BRB,0,0,1,1,1,0
BRN,0,0,1,0,1,0
BTN,0,0,1,1,1,0
BWA,0,0,1,0,1,0
CAF,0,0,1,1,1,0
CAN,2,2,0,2,2,4
CEB,0,0,1,1,1,0
CHE,2,2,0,5,2,4
CHI,0,0,1,1,1,0
CHL,0,0,1,1,1,0
CHN,2,2,0,5,2,7
CIV,0,0,2,0,5,3
CMR,0,0,2,0,5,3
COD,0,0,1,1,1,0
COG,0,3,1,1,0,1
COL,0,0,1,1,1,0
COM,0,0,1,1,1,0
CPV,0,0,1,1,1,0
CRI,0,0,1,1,1,0
CSS,0,0,1,1,1,0
CUB,0,0,1,1,1,0
CUW,0,0,1,1,1,0
CYM,0,0,1,1,1,0
CYP,1,1,4,4,4,5
CZE,1,1,3,2,3,2
DEU,2,2,0,2,2,4
DJI,0,0,1,1,1,0
DMA,0,0,1,1,1,0
DNK,2,2,0,2,2,4
DOM,0,0,2,0,5,3
DZA,0,0,1,1,1,0
EAP,0,0,1,1,1,0
EAR,0,0,1,1,1,0
EAS,0,0,1,1,1,0
ECA,0,0,1,1,1,0
ECS,0,0,1,1,1,0
ECU,0,0,2,0,5,3
EGY,0,0,2,0,5,3
EMU,0,0,1,1,1,0
ERI,0,0,1,1,1,0
ESP,1,1,3,2,3,2
EST,1,1,3,2,3,2
ETH,0,0,2,0,5,3
EUU,0,0,1,1,1,0
FCS,0,0,1,1,1,0
FIN,2,2,0,2,2,4
FJI,0,0,1,1,1,0
FRA,2,2,0,2,2,4
FRO,0,3,1,1,0,1
FSM,0,0,1,1,1,0
GAB,0,0,1,1,1,0
GBR,2,2,0,2,2,4
GEO,0,0,1,1,1,0
GHA,0,0,2,0,5,3
GIB,0,0,1,1,1,0
GIN,0,0,2,0,5,3
GLP,0,0,1,1,1,0
GMB,0,0,1,1,1,0
GNB,1,1,3,1,3,2
GNQ,0,0,1,1,1,0
GRC,1,1,3,1,3,0
GRD,0,0,1,1,1,0
GRL,0,0,1,1,1,0
GTM,0,0,2,0,5,3
GUF,0,0,1,1,1,0
GUM,0,0,1,1,1,0
GUY,0,0,1,1,1,0
HIC,0,0,1,1,1,0
HKG,1,1,3,2,3,2
HND,0,0,2,0,5,3
HPC,0,0,1,1,1,0
HRV,1,1,3,2,3,2
HTI,0,0,1,1,1,0
HUN,1,2,3,2,3,4
IBD,0,0,1,1,1,0
IBT,0,0,1,1,1,0
IDA,0,0,1,1,1,0
IDB,0,0,1,1,1,0
IDN,0,0,2,0,5,3
IDX,0,0,1,1,1,0
IMN,0,0,1,1,1,0
IND,1,1,1,1,1,3
IRL,1,1,3,2,3,2
IRN,0,0,1,1,1,0
IRQ,0,0,1,1,1,0
ISL,2,2,3,2,2,2
ISR,2,2,0,2,2,4
ITA,1,1,3,2,3,2
JAM,0,0,1,1,1,0
JOR,0,0,1,1,1,0
JPN,2,2,0,5,2,7
KAZ,0,0,1,1,1,0
KEN,0,0,2,0,5,3
KGZ,0,3,1,0,0,1
KHM,0,0,2,0,5,3
KIR,0,0,1,1,1,0
KNA,0,0,1,1,1,0
