country_iso,clusters_3,clusters_4,clusters_5,clusters_6,clusters_7,clusters_8
ABW,0,3,2,2,6,6
AFG,1,2,3,5,5,7
AGO,1,2,3,3,3,7
ALB,0,1,0,0,0,5
AND,0,3,2,2,2,6
ANT,0,1,0,0,6,1
ARB,0,1,0,0,6,1
ARE,2,3,2,2,2,6
ARG,0,3,2,2,0,6
ARM,0,3,2,0,6,6
ASM,0,1,0,0,6,1
ATG,0,3,2,0,6,6
AUS,2,0,4,4,4,2
AUT,2,0,4,4,4,2
AZE,0,1,0,0,6,1
BDI,1,2,3,3,3,4
BEL,2,0,4,4,4,2
BEN,1,2,3,3,3,4
BFA,1,2,3,3,3,4
BGD,1,1,0,5,0,7
BGR,0,3,2,2,2,6
BHR,0,3,2,2,2,6
BHS,0,3,2,0,6,1
BIH,0,1,0,0,6,1
BLR,0,3,2,2,2,6
BLZ,0,1,0,5,5,1
BMU,0,3,2,2,2,6
BOL,0,1,0,0,0,1
BRA,0,1,0,0,0,5
BRB,0,3,2,2,6,6
BRN,0,3,2,2,2,6
BTN,0,1,0,5,5,7
BWA,1,1,0,5,5,7
CAF,1,2,3,3,3,4
CAN,2,0,4,4,4,2
CEB,0,3,2,2,6,6
CHE,2,0,4,4,4,2
CHI,0,1,0,0,6,1
CHL,0,3,2,2,2,6
CHN,0,1,0,0,6,1
CIV,1,2,3,3,3,4
CMR,1,2,3,3,3,4
COD,1,2,3,3,3,4
COG,1,2,3,3,3,7
COL,0,1,0,0,0,5
COM,1,1,0,5,5,7
CPV,0,1,0,0,0,1
CRI,0,3,2,0,2,5
CSS,0,1,0,0,6,1
CUB,0,1,0,0,6,1
CUW,0,3,2,2,2,6
CYM,0,3,1,1,1,0
CYP,2,0,4,4,4,2
CZE,2,3,2,2,2,6
DEU,2,0,4,4,4,2
DJI,1,1,0,5,5,7
DMA,0,1,0,0,6,1
DNK,2,0,4,4,4,2
DOM,0,1,0,0,0,5
DZA,0,1,0,0,0,5
EAP,0,1,0,0,6,1
EAR,0,1,0,0,6,1
EAS,0,1,0,0,6,1
ECA,0,3,2,2,6,6
ECS,0,3,2,2,6,6
ECU,0,1,0,0,0,1
EGY,0,1,0,0,0,1
EMU,0,3,2,2,6,6
ERI,1,2,3,5,5,7
ESP,2,0,2,2,2,2
EST,2,0,2,2,2,2
ETH,1,2,3,3,3,4
EUU,0,3,2,2,6,6
FCS,0,1,0,5,5,7
FIN,2,0,4,4,4,2
FJI,0,1,0,0,6,1
FRA,2,0,4,4,4,2
FRO,0,3,2,2,2,6
FSM,1,1,0,5,5,7
GAB,0,1,0,5,5,7
GBR,2,0,4,4,4,2
GEO,0,3,2,2,2,5
GHA,1,2,3,3,3,4
GIB,0,3,2,2,2,6
GIN,1,2,3,3,3,4
GLP,0,1,0,0,6,1
GMB,1,2,3,3,3,7
GNB,1,2,3,3,3,3
GNQ,1,1,0,5,5,7
GRC,0,3,2,2,2,6
GRD,0,1,0,0,6,6
GRL,0,3,2,2,2,6
GTM,0,1,0,5,0,1
GUF,0,1,0,0,6,1
GUM,0,1,0,0,6,1
GUY,0,1,0,5,5,7
HIC,0,3,2,2,6,6
HKG,2,0,4,4,4,2
HND,0,1,0,0,0,1
HPC,0,1,0,5,5,7
HRV,0,3,2,2,2,6
HTI,1,2,3,5,5,7
HUN,0,3,2,2,2,6
IBD,0,1,0,0,6,1
IBT,0,1,0,0,6,1
IDA,0,1,0,5,5,7
IDB,0,1,0,5,5,1
IDN,0,1,0,0,0,5
IDX,0,1,0,5,5,7
IMN,0,3,2,0,6,6
IND,1,2,3,5,5,5
IRL,2,0,4,4,4,2
IRN,0,1,0,0,0,1
IRQ,0,1,0,5,5,1
ISL,2,0,4,4,4,2
ISR,2,0,4,4,4,2
ITA,2,3,2,2,2,6
JAM,0,1,0,0,6,1
JOR,0,1,0,0,0,5
JPN,2,0,4,4,4,2
KAZ,0,3,2,2,6,5
KEN,1,2,3,3,3,4
KGZ,0,1,0,0,0,1
KHM,1,1,0,5,0,7
KIR,0,1,0,5,5,7
KNA,0,3,2,2,6,6
KOR,2,0,4,4,4,2
KWT,0,3,2,0,6,1
LAC,0,1,0,0,6,1
LAO,1,2,3,5,5,7
LBN,0,1,0,0,0,5
LBR,1,2,3,3,3,4
LBY,0,1,0,0,0,1
LCA,0,1,0,0,6,1
LCN,0,1,0,0,6,1
LDC,0,1,0,5,5,7
LIC,1,1,0,5,5,7
LIE,0,3,1,1,1,0
LKA,0,1,0,0,6,1
LMC,0,1,0,5,5,1
LMY,0,1,0,0,6,1
LSO,1,2,3,3,3,7
LTE,0,1,0,0,6,1
LTU,0,3,2,2,2,6
LUX,2,0,4,4,4,2
LVA,0,3,2,2,2,6
MAC,0,3,2,2,2,6
MAF,0,1,0,0,6,1
MAR,0,1,0,0,0,1
MCO,0,3,2,2,2,6
MDA,0,1,0,0,6,5
MDG,1,2,3,3,3,4
MDV,0,1,0,0,6,1
MEA,0,1,0,0,6,1
MEX,0,1,0,0,0,5
MHL,0,1,0,0,6,1
MIC,0,1,0,0,6,1
MKD,0,3,2,0,2,5
MLI,1,2,3,3,3,4
MLT,2,0,4,4,4,2
MMR,1,1,0,5,5,7
MNA,0,1,0,0,6,1
MNE,0,3,2,2,2,6
MNG,0,1,0,0,0,1
MNP,0,1,0,0,6,1
MOZ,1,2,3,3,3,4
MRT,1,2,3,5,5,7
MTQ,0,1,0,0,6,1
MUS,0,3,2,2,6,6
MWI,1,2,3,3,3,4
MYS,0,3,2,2,2,5
MYT,0,1,0,0,6,1
NAC,0,3,2,2,2,6
NAM,1,2,3,5,5,7
NCL,0,1,0,0,6,1
NER,1,2,3,3,3,4
NGA,1,2,3,3,3,4
NIC,0,1,0,0,0,1
NLD,2,0,4,4,4,2
NOR,2,0,4,4,4,2
NPL,1,2,3,3,3,7
NRU,0,1,0,0,6,1
NZL,2,0,4,4,4,2
OED,0,3,2,2,6,6
OMN,0,1,2,0,6,1
OSS,0,1,0,0,6,1
PAK,1,2,3,3,3,4
PAN,0,1,2,0,6,1
PER,0,1,0,0,0,5
PHL,0,1,0,0,6,1
PLW,0,3,2,2,6,6
PNG,1,2,3,5,5,7
POL,0,3,2,2,2,6
PRE,0,1,0,5,5,7
PRI,0,3,2,2,2,6
PRK,0,1,0,0,6,1
PRT,2,0,2,2,2,2
PRY,0,1,0,0,0,1
PSE,0,1,2,0,6,1
PSS,0,1,0,0,6,1
PST,0,3,2,2,6,6
PYF,0,1,0,0,6,1
QAT,0,3,2,2,2,5
REU,0,1,0,0,6,1
ROU,0,3,2,2,2,6
RUS,0,3,2,2,2,6
RWA,1,2,3,3,3,7
SAS,0,1,0,5,5,1
SAU,0,3,2,2,2,6
SDN,1,2,3,5,5,7
SEN,1,2,3,3,3,4
SGP,2,0,4,4,4,2
SLB,1,1,0,5,5,7
SLE,1,2,3,3,3,4
SLV,0,1,0,0,0,1
SMR,0,3,2,2,2,6
SOM,1,2,3,3,3,7
SRB,0,3,2,2,2,6
SSA,0,1,0,5,5,7
SSD,1,2,3,3,3,7
SSF,0,1,0,5,5,7
SST,0,1,0,0,6,1
STP,0,1,0,5,5,7
SUR,0,1,0,0,6,1
SVK,0,3,2,2,2,6
SVN,2,0,2,2,2,2
SWE,2,0,4,4,4,2
SWZ,0,1,0,5,5,7
SXM,0,3,2,2,2,6
SYC,0,3,2,2,2,6
SYR,0,1,0,0,6,1
TCA,0,1,0,0,6,1
TCD,1,2,3,3,3,4
TEA,0,1,0,0,6,1
TEC,0,3,2,2,6,6
TGO,1,2,3,3,3,4
THA,0,1,2,0,2,5
TJK,0,1,0,0,0,1
TKM,0,1,0,5,5,1
TLA,0,1,0,0,6,1
TLS,1,2,3,5,5,7
TMN,0,1,0,0,6,1
TON,0,1,0,0,6,1
TSA,0,1,0,5,5,1
TSS,0,1,0,5,5,7
TTO,0,1,0,0,6,1
TUN,0,1,0,0,0,5
TUR,0,1,0,0,0,5
TUV,0,1,0,0,6,1
TWN,0,1,0,0,6,1
TZA,1,2,3,3,3,4
UGA,1,2,3,3,3,4
UKR,0,3,2,2,6,6
UMC,0,1,0,0,6,1
URY,0,3,2,2,2,6
USA,2,0,4,4,4,2
UZB,0,1,0,0,6,1
VAT,0,1,0,0,6,1
VCT,0,1,0,0,6,1
VEN,0,1,0,0,0,1
VGB,0,3,2,2,2,6
VIR,0,1,0,0,6,1
VNM,0,1,0,0,6,1
VUT,1,1,0,5,5,7
WLD,0,1,0,0,6,1
WSM,0,1,0,0,6,1
XKX,0,1,0,0,6,1
YEM,1,1,0,5,0,7
ZAF,0,1,0,5,5,7
ZMB,1,2,3,3,3,4
ZWE,1,2,3,3,3,4
