country_iso,clusters_3,clusters_4,clusters_5,clusters_6,clusters_7,clusters_8
ABW,0,0,3,4,6,2
AFG,0,0,1,0,0,3
AGO,0,0,1,3,0,3
ALB,0,0,3,4,6,2
AND,0,0,1,0,0,3
ANT,0,0,1,4,0,1
ARB,0,0,1,4,0,1
ARE,0,0,3,5,6,5
ARG,2,3,4,2,3,0
ARM,0,0,3,0,6,2
ASM,0,0,1,4,0,1
ATG,0,0,3,4,6,2
AUS,2,3,3,5,6,2
AUT,2,3,4,2,3,0
AZE,0,0,3,4,0,1
BDI,0,0,1,4,0,1
BEL,2,3,4,2,3,0
BEN,0,0,1,4,0,3
BFA,0,0,1,4,0,3
BGD,0,0,1,0,0,1
BGR,0,0,3,5,6,2
BHR,0,0,3,4,6,2
BHS,0,0,3,4,6,2
BIH,0,0,1,4,0,3
BLR,0,0,3,5,6,2
BLZ,0,0,1,4,0,3
BMU,2,3,3,5,6,2
BOL,0,0,1,0,0,1
BRA,2,3,3,5,3,0
BRB,0,0,3,5,6,2
BRN,0,0,3,4,0,2
BTN,0,0,1,4,0,3
BWA,0,0,1,4,0,1
CAF,0,0,1,4,0,3
CAN,2,3,4,2,3,0
CEB,0,0,3,5,6,2
CHE,2,3,4,2,3,4
CHI,0,0,1,4,0,1
CHL,0,0,3,0,6,2
CHN,1,1,0,1,5,0
CIV,0,0,1,4,0,3
CMR,0,0,1,4,0,3
COD,0,0,1,4,0,3
COG,0,0,0,3,0,6
COL,0,0,3,0,0,1
COM,0,0,1,0,0,1
CPV,0,0,1,0,0,1
CRI,2,3,3,5,4,4
CSS,0,0,3,4,0,2
CUB,0,0,3,4,0,1
CUW,2,3,3,5,6,2
CYM,2,3,4,5,3,5
CYP,2,3,4,5,3,4
CZE,2,3,0,2,3,5
DEU,2,3,4,2,3,0
DJI,0,0,1,0,0,3
DMA,0,0,3,4,0,1
DNK,2,3,4,5,3,0
DOM,0,0,3,0,6,1
DZA,0,0,3,0,0,1
EAP,0,2,2,4,2,1
EAR,0,2,2,4,2,1
EAS,0,2,2,4,2,1
ECA,0,0,3,5,6,2
ECS,0,0,3,5,6,2
ECU,0,0,3,0,0,1
EGY,0,0,3,0,0,1
EMU,0,0,3,5,6,2
ERI,0,0,1,4,0,3
ESP,2,3,4,2,3,0
EST,2,3,4,2,3,0
ETH,0,0,1,4,0,3
EUU,0,0,3,5,6,2
FCS,0,0,1,4,0,1
FIN,2,3,4,2,3,0
FJI,0,0,1,4,0,3
FRA,2,3,4,2,3,0
FRO,0,0,3,3,6,6
FSM,0,0,1,4,0,3
GAB,0,0,1,4,0,3
GBR,2,3,4,2,3,0
GEO,0,0,3,4,6,2
GHA,0,0,1,4,0,3
GIB,0,0,1,4,0,2
GIN,0,0,1,0,0,3
GLP,0,0,3,0,0,1
GMB,0,0,1,0,0,3
GNB,0,0,3,2,0,7
GNQ,0,0,1,0,0,1
GRC,2,3,3,5,6,2
GRD,0,0,3,5,6,2
GRL,0,0,3,5,6,2
GTM,0,0,1,4,0,1
GUF,0,0,3,4,0,1
GUM,0,0,1,4,0,3
GUY,0,0,3,4,0,1
HIC,0,0,3,5,6,2
HKG,2,3,0,5,6,5
HND,0,0,1,0,0,1
HPC,0,0,1,4,0,1
HRV,2,3,4,2,3,0
HTI,0,0,1,4,0,1
HUN,2,3,4,2,3,0
IBD,0,2,2,4,2,1
IBT,0,2,2,4,2,1
IDA,0,0,1,4,0,1
IDB,0,0,1,4,0,1
IDN,0,0,1,0,0,3
IDX,0,0,1,4,0,1
IMN,0,0,3,5,6,2
IND,1,1,0,1,1,3
IRL,2,3,3,5,6,2
IRN,0,0,1,0,0,3
IRQ,0,0,1,4,0,1
ISL,2,3,4,2,3,0
ISR,2,3,4,2,4,4
ITA,2,3,4,5,3,0
JAM,0,0,3,4,6,2
JOR,0,0,3,0,0,1
JPN,1,1,4,1,5,0
KAZ,0,0,3,4,6,2
KEN,0,0,1,4,0,3
KGZ,0,0,0,3,6,6
KHM,0,0,1,0,0,1
KIR,0,0,1,4,0,1
KNA,0,0,3,5,6,2
KOR,1,1,4,1,5,0
KWT,0,0,3,4,6,2
LAC,0,0,3,4,6,2
LAO,0,0,1,4,0,3
LBN,0,0,3,4,6,2
LBR,0,0,1,4,0,3
LBY,0,0,3,0,0,1
LCA,0,0,1,0,0,1
LCN,0,0,3,4,6,2
LDC,0,0,1,4,0,1
LIC,0,0,1,4,0,1
LIE,2,3,4,5,3,5
LKA,0,0,1,4,0,3
LMC,0,2,2,4,2,1
LMY,0,2,2,4,2,1
LSO,0,0,1,4,0,1
LTE,0,2,2,4,2,1
LTU,2,3,3,5,6,2
LUX,2,3,4,2,4,4
LVA,2,3,4,2,3,0
MAC,2,3,3,5,6,2
MAF,0,0,1,4,0,1
