country_iso,clusters_3,clusters_4,clusters_5,clusters_6,clusters_7,clusters_8
ABW,1,0,0,0,0,0
AFG,1,0,0,0,0,4
AGO,1,0,3,0,0,0
ALB,1,0,0,0,0,0
AND,1,0,0,0,0,0
ANT,1,0,0,0,0,0
ARB,1,0,0,0,0,0
ARE,1,0,0,5,5,0
ARG,2,3,2,2,2,4
ARM,1,0,0,0,0,0
ASM,1,0,0,0,0,0
ATG,1,0,0,0,0,0
AUS,1,0,0,0,0,0
AUT,2,3,2,2,2,4
AZE,1,0,0,0,0,0
BDI,1,0,0,0,0,0
BEL,2,3,2,2,2,4
BEN,1,0,0,0,0,0
BFA,1,0,0,0,0,0
BGD,1,0,0,0,0,0
BGR,1,0,0,0,0,0
BHR,1,0,0,0,0,0
BHS,1,0,0,0,0,0
BIH,1,0,0,0,0,0
BLR,1,0,0,0,0,0
BLZ,1,0,0,0,0,0
BMU,1,0,0,0,0,0
BOL,1,0,0,0,0,0
BRA,2,3,2,2,2,3
BRB,1,0,0,0,0,0
BRN,1,0,0,0,0,0
BTN,1,0,0,0,0,0
BWA,1,0,0,0,0,0
CAF,1,0,0,0,0,0
CAN,2,3,2,2,2,4
CEB,1,0,0,0,0,0
CHE,0,0,0,5,5,0
CHI,1,0,0,0,0,0
CHL,1,0,0,0,0,0
CHN,0,1,1,1,6,7
CIV,1,0,0,0,0,0
CMR,1,0,0,0,0,0
COD,1,0,0,0,0,0
COG,1,0,3,3,3,6
COL,1,0,0,0,0,0
COM,1,0,0,0,0,0
CPV,1,0,0,0,0,0
CRI,1,0,4,4,4,4
CSS,1,0,0,0,0,0
CUB,1,0,0,0,0,0
CUW,1,0,0,0,0,0
CYM,1,0,0,0,0,0
CYP,1,0,0,0,0,0
CZE,0,3,2,5,5,5
DEU,2,3,2,2,2,4
DJI,1,0,0,0,0,0
DMA,1,0,0,0,0,0
DNK,1,0,0,0,0,0
DOM,1,0,0,0,0,0
DZA,1,0,0,0,0,3
EAP,1,0,0,0,0,0
EAR,1,0,0,0,0,0
EAS,1,0,0,0,0,0
ECA,1,0,0,0,0,0
ECS,1,0,0,0,0,0
