country_iso,unsup_all_3clusters,unsup_economic_3clusters,unsup_creative_3clusters,global_innovation_index,global_innovation_index_3clusters,gii_innovation_output,gii_innovation_output_3clusters,supervised_prediction,supervised_prediction_3clusters
ABW,1,1,0,,,,,,
AFG,0,0,0,,,,,,
AGO,0,0,0,,,,,,
ALB,1,1,0,30.3,1,18.3,0,21.00843205,1
AND,1,1,0,,,,,,
ANT,1,1,0,,,,,,
ARB,1,1,0,,,,,,
ARE,1,2,0,42.2,1,26.7,1,31.22859488,1
ARG,1,1,1,31.9,1,21.6,1,23.47806876,1
ARM,1,1,1,34,1,28.6,1,20.76564821,1
ASM,1,1,0,,,,,,
ATG,1,1,0,,,,,,
AUS,2,2,1,50.3,2,36.3,2,37.62564957,2
AUT,2,2,2,50.9,2,39.1,2,42.09086768,2
AZE,1,1,0,30.2,1,18.8,0,24.62177588,1
BDI,0,0,0,17.6,0,8.8,0,15.79065775,0
BEL,2,2,2,50.2,2,39.6,2,44.70923236,2
BEN,0,0,0,20.4,0,9.4,0,15.30698467,0
BFA,0,0,0,23.3,0,14.3,0,16.8787274,0
BGD,0,0,0,23.3,0,15.5,0,16.09435233,0
BGR,1,1,0,40.3,1,32.6,1,28.54426136,1
BHR,1,1,0,31.1,1,19.3,0,27.21306326,1
BHS,1,1,0,,,,,,
BIH,1,1,0,31.4,1,20.4,0,21.16932233,1
BLR,1,1,0,32.1,1,18.1,0,27.85076687,1
BLZ,1,1,0,,,,,,
BMU,1,1,0,,,,,,
BOL,1,1,0,24.8,0,15.1,0,14.41335734,0
BRA,1,1,0,33.8,1,22.9,1,21.27548286,1
BRB,1,1,0,,,,,,
BRN,1,1,0,32.3,1,13,0,20.95574878,1
BTN,1,1,0,,,,,,
BWA,0,0,0,27.4,1,14,0,18.94053228,0
CAF,0,0,0,,,,,,
CAN,2,2,2,53.9,2,41.4,2,42.6884778,2
CEB,1,1,0,,,,,,
CHE,2,2,2,67.2,2,63.5,2,58.73165604,2
CHI,1,1,0,,,,,,
CHL,1,1,0,36.6,1,25,1,26.08590675,1
CHN,2,1,2,54.8,2,52.8,2,40.71795507,2
CIV,0,0,0,25.6,0,18.7,0,14.98193624,0
CMR,0,0,0,23.9,0,16.1,0,15.57488148,0
COD,0,0,0,,,,,,
COG,0,0,0,,,,,,
COL,1,1,0,33,1,20.9,0,19.74932986,1
COM,0,0,0,,,,,,
CPV,1,1,0,,,,,,
CRI,1,1,0,36.1,1,29.3,1,24.30975761,1
CSS,1,1,0,,,,,,
CUB,1,1,0,,,,,,
CUW,1,1,0,,,,,,
CYM,1,1,0,,,,,,
CYP,2,2,1,48.3,2,41.1,2,40.75510139,2
CZE,2,2,1,49.4,2,43.4,2,44.66576349,2
DEU,2,2,2,58.2,2,51.1,2,48.20468687,2
DJI,0,0,0,,,,,,
DMA,1,1,0,,,,,,
DNK,2,2,2,58.4,2,47.5,2,51.59645495,2
DOM,1,1,0,28.6,1,19.2,0,19.62194348,1
DZA,1,1,0,24,0,13.3,0,16.67725654,0
EAP,1,1,0,,,,,,
EAR,1,1,0,,,,,,
EAS,1,1,0,,,,,,
ECA,1,1,0,,,,,,
ECS,1,1,0,,,,,,
ECU,1,1,0,26.6,0,17.7,0,15.83983133,0
EGY,1,1,0,27.5,1,21.6,1,18.36056055,0
EMU,1,1,0,,,,,,
ERI,0,0,0,,,,,,
ESP,2,2,1,47.9,2,38.4,2,33.59192665,2
EST,2,2,1,50,2,43.8,2,37.48373281,2
ETH,0,0,0,24.2,0,20.1,0,17.07080818,0
EUU,1,1,0,,,,,,
FCS,1,1,0,,,,,,
FIN,2,2,2,59.8,2,51.6,2,48.57605752,2
FJI,1,1,0,,,,,,
FRA,2,2,2,54.2,2,45,2,44.93969855,2
FRO,1,1,0,,,,,,
FSM,0,0,0,,,,,,
GAB,1,1,0,,,,,,
GBR,2,2,2,61.3,2,54.4,2,46.3926486,2
GEO,1,1,0,37,1,25.8,1,21.77608779,1
GHA,0,0,0,25.3,0,17.7,0,18.74957127,0
GIB,1,1,0,,,,,,
GIN,0,0,0,19.5,0,11.2,0,18.19367985,0
GLP,1,1,0,,,,,,
GMB,0,0,0,,,,,,
GNB,0,0,1,,,,,,
GNQ,0,0,0,,,,,,
GRC,1,1,1,38.9,1,27.6,1,30.11532083,1
GRD,1,1,0,,,,,,
GRL,1,1,0,,,,,,
GTM,0,1,0,25.1,0,16.8,0,17.269837,0
GUF,1,1,0,,,,,,
GUM,1,1,0,,,,,,
GUY,1,1,0,,,,,,
HIC,1,1,0,,,,,,
HKG,2,2,1,55.5,2,44.4,2,54.16115568,2
HND,1,1,0,25.5,0,16.5,0,16.82403511,0
HPC,1,1,0,,,,,,
HRV,1,1,1,37.8,1,28.3,1,27.77573913,1
HTI,0,0,0,,,,,,
HUN,2,1,1,44.5,2,38.7,2,37.90786006,2
IBD,1,1,0,,,,,,
IBT,1,1,0,,,,,,
IDA,1,1,0,,,,,,
IDB,1,1,0,,,,,,
IDN,1,1,0,29.7,1,20.8,0,23.05985407,1
IDX,1,1,0,,,,,,
IMN,1,1,0,,,,,,
IND,0,0,1,36.6,1,28.5,1,25.53333538,1
IRL,2,2,1,56.1,2,50.1,2,39.60424321,2
IRN,1,1,0,34.4,1,29.9,1,17.83282901,0
IRQ,1,1,0,,,,,,
ISL,2,2,2,51.5,2,44,2,45.4379603,2
ISR,2,2,2,57.4,2,51.6,2,46.29691793,2
ITA,2,2,1,46.3,2,37.9,2,35.30013091,2
JAM,1,1,0,30.8,1,22.1,1,20.70179203,1
JOR,1,1,0,29.6,1,22.1,1,19.02934468,0
JPN,2,2,2,54.7,2,44.3,2,49.49498708,2
KAZ,1,1,0,31,1,18.3,0,21.17035272,1
